Mutation type,Lung-AdenoCA::S.1,Lung-AdenoCA::S.2,Lung-AdenoCA::S.3,Lung-AdenoCA::S.4,Lung-AdenoCA::S.5,Lung-AdenoCA::S.6,Lung-AdenoCA::S.7,Lung-AdenoCA::S.8,Lung-AdenoCA::S.9,Lung-AdenoCA::S.10,Lung-AdenoCA::S.11,Lung-AdenoCA::S.12,Lung-AdenoCA::S.13,Lung-AdenoCA::S.14,Lung-AdenoCA::S.15,Lung-AdenoCA::S.16,Lung-AdenoCA::S.17,Lung-AdenoCA::S.18,Lung-AdenoCA::S.19,Lung-AdenoCA::S.20,Lung-AdenoCA::S.21,Lung-AdenoCA::S.22,Lung-AdenoCA::S.23,Lung-AdenoCA::S.24,Lung-AdenoCA::S.25,Lung-AdenoCA::S.26,Lung-AdenoCA::S.27,Lung-AdenoCA::S.28,Lung-AdenoCA::S.29,Lung-AdenoCA::S.30,Lung-AdenoCA::S.31,Lung-AdenoCA::S.32,Lung-AdenoCA::S.33,Lung-AdenoCA::S.34,Lung-AdenoCA::S.35,Lung-AdenoCA::S.36,Lung-AdenoCA::S.37,Lung-AdenoCA::S.38,Lung-AdenoCA::S.39,Lung-AdenoCA::S.40,Lung-AdenoCA::S.41,Lung-AdenoCA::S.42,Lung-AdenoCA::S.43,Lung-AdenoCA::S.44,Lung-AdenoCA::S.45,Lung-AdenoCA::S.46,Lung-AdenoCA::S.47,Lung-AdenoCA::S.48,Lung-AdenoCA::S.49,Lung-AdenoCA::S.50,Lung-AdenoCA::S.51,Lung-AdenoCA::S.52,Lung-AdenoCA::S.53,Lung-AdenoCA::S.54,Lung-AdenoCA::S.55,Lung-AdenoCA::S.56,Lung-AdenoCA::S.57,Lung-AdenoCA::S.58,Lung-AdenoCA::S.59,Lung-AdenoCA::S.60,Lung-AdenoCA::S.61,Lung-AdenoCA::S.62,Lung-AdenoCA::S.63,Lung-AdenoCA::S.64,Lung-AdenoCA::S.65,Lung-AdenoCA::S.66,Lung-AdenoCA::S.67,Lung-AdenoCA::S.68,Lung-AdenoCA::S.69,Lung-AdenoCA::S.70,Lung-AdenoCA::S.71,Lung-AdenoCA::S.72,Lung-AdenoCA::S.73,Lung-AdenoCA::S.74,Lung-AdenoCA::S.75,Lung-AdenoCA::S.76,Lung-AdenoCA::S.77,Lung-AdenoCA::S.78,Lung-AdenoCA::S.79,Lung-AdenoCA::S.80,Lung-AdenoCA::S.81,Lung-AdenoCA::S.82,Lung-AdenoCA::S.83,Lung-AdenoCA::S.84,Lung-AdenoCA::S.85,Lung-AdenoCA::S.86,Lung-AdenoCA::S.87,Lung-AdenoCA::S.88,Lung-AdenoCA::S.89,Lung-AdenoCA::S.90,Lung-AdenoCA::S.91,Lung-AdenoCA::S.92,Lung-AdenoCA::S.93,Lung-AdenoCA::S.94,Lung-AdenoCA::S.95,Lung-AdenoCA::S.96,Lung-AdenoCA::S.97,Lung-AdenoCA::S.98,Lung-AdenoCA::S.99,Lung-AdenoCA::S.100
AC>CA,-0.042466391624903996,-0.09760505172962694,0.41482086257932593,1.0993272891946733,0.5235054753682589,-0.10857306130879302,-5.115970603266278,2.9946594745991284,-0.07945889793398032,-2.419078312489582,0.3101873536741636,0.6724224640097307,0.5150205715790538,-1.8240474254666381,0.9717083536696556,-0.214757045005825,-2.481963565275864,-0.11740597777121795,-0.288709462170553,-0.045072391459376734,-0.08230642031534391,0.6622171457470527,1.2417640300994908,-0.1410702910631662,-0.16306326303886734,1.1716402947794775,1.0291752047901361,-0.8952633347757404,-1.0422165460386763,-0.02660901740632712,3.043849518407308,1.611384804720087,-0.11383272823240442,-0.0652629920473513,-0.7456295619865794,1.379187227790866,0.45984876493670335,-0.09545363032959546,-0.17981571886101422,-0.09130548762615068,-0.010790840754614651,-0.03480761151465196,-0.6249296369451123,0.7776848430443093,-0.4282622254184198,-0.0910980462195454,-0.5284843077296092,0.20164478086051463,-1.0419685761007247,0.9252235176371177,-0.04962147072516834,0.8466907247025015,0.8905761373883941,-1.4200933606352841,-0.050290140912597175,-0.3091149600823532,-0.26545780538377534,-0.4210240756485603,-0.07654768276160162,-0.7181884699143485,-0.18603186933287866,-0.1760711563607138,-0.6049592508480313,-0.38420677271396936,-0.2473746783294924,-0.44282398289334096,-0.06105633146732825,-0.10153453653757988,-0.16118826246001147,-0.06331572692733234,0.6472603479511438,-1.9989961993155312,-0.04433155684259046,0.7121678304850465,-1.2045642861449053,-0.06961107940465056,-0.2956393863090466,-0.40874203991344576,-0.21101361505141908,-1.004933767125005,3.0268282989862074,-0.28350278511854843,-0.6355853741772188,-0.19571148785014164,0.7209830039995326,-0.6811105458838731,-0.8099593428821148,1.5445087949098202,-0.1425888721576443,2.939031589906827,-0.3634954763951367,-0.7146757625459397,-0.3244948956799602,2.1416739052575213,-1.3809948373430516,-2.2678376004990657,-0.7154729822418875,-1.8197133586271752,0.5000355844045969,2.44520819833983
AC>CG,-0.0032006993719980873,-0.007520078809345985,-0.04958893350398009,-0.0552277081558059,-0.049565245602667535,-0.004472310280291481,-0.28080073907652825,-0.0695038951511365,-0.007185112467397774,-0.20499622407544862,-0.058455729641410006,-0.017706543088714555,-0.03713966996795437,-0.12650902824275878,-0.08713893372435214,-0.018198825185815434,-0.511576630465443,-0.013493455679723855,-0.024465660865235765,-0.0032740382296668107,-0.011271498839087894,-0.03172468533989303,-0.039261334055323546,-0.00998706160862384,-0.013818218714047285,-0.05584784930311888,-0.08226910895332987,-0.11469191887787561,-0.22654931076720228,-0.002254886940407159,-0.055675783531204795,-0.035863070124982084,-0.010191589981255928,-0.003847672453534208,-0.1479271948304357,-0.05260857968244554,-0.04683177969783215,-0.0027230591082004936,-0.01879070192982929,-0.009629857576443857,-0.0009144315824231898,-0.0029496477616077544,-0.03463752536804687,-0.01330048474344493,-0.05588784683644594,-0.003918168304949675,-0.03139203952009527,-0.11458473041085744,-0.05890668417922583,-0.005578075948259843,-0.003794752228820389,-0.01098672060630688,-0.00826215099578222,-0.256789542508993,-0.0031169909610280068,-0.022778294981603844,-0.02249528155995305,-0.0356781941730473,-0.17596967898102478,-0.1038123214848821,-0.015764611907784862,-0.014920526564267515,-0.051265129162242705,-0.02161657171862327,-0.013910825242442432,-0.04089533092272455,-0.00781271763725316,0.991395815300401,-0.013659328430578469,-0.00558838116629378,-0.03518344589626412,-0.169397853176207,-0.0032353008698340693,-0.03508699509715504,-0.10207653429033305,-0.004331388675607166,-0.03298175084832653,-0.034637396553284815,-0.017881601472229086,-0.08515955297641048,-0.11778010922415381,-0.036820520500365196,-0.16577921845583224,-0.012676031485635498,-0.20778602345384545,-0.05771830095920589,-0.0686371359241311,0.8928247984982634,-0.01208318897184104,-0.005532603290894521,-0.03707779117683915,-0.03200846780794189,-0.013880545433613967,0.8228953884601042,-0.09306106233722922,-0.12520688984339373,-0.5334468987317664,-0.154205163798239,-0.038750591519675054,-0.13175532471116363
AC>CT,-0.011018694380549325,-0.026676943657669067,-0.1971465149118643,-0.1494757722453524,-0.18373355390432666,-0.013914567179498159,-0.46159225792330916,0.7909420614497863,0.9737756883949465,0.18501390752187497,-0.23239748389646622,-0.05290491934834171,-0.1306844519581122,-0.38264475367277884,-0.34643086436842035,-0.07235152497453508,-0.2305460232030292,-0.049851574841302676,-0.09726605179378763,-0.012143575512971481,-0.04761686584795849,-0.12551738948736582,-0.1057696574107868,-0.03127039280308623,-0.05493591955442389,0.8394820128751515,-0.32707031527007263,-0.2591336214239709,-0.4034122639926476,-0.00896456266368117,0.8873278631227348,-0.14200318531523534,-0.03471652966690615,-0.008082747277662429,-0.5881015956749313,-0.20915146598232062,-0.15091253611163455,-0.006616410416651921,-0.06528039598556094,-0.03791364326101075,-0.0036354280453642696,-0.011726664304483927,-0.08480619616598059,-0.049253683504245235,-0.22866481883777023,-0.013089822220927434,-0.06738971881256917,-0.48617696339619665,-0.10819145873154712,-0.019674072268845693,-0.013327780529554358,-0.03227119902586229,-0.024027559976427477,0.8968953542693903,-0.011643026190933162,-0.07591112115113796,-0.08943258199230925,-0.14184276899200735,-0.6995877202820697,0.5806712505286828,-0.06267402980764678,-0.05931827133485621,-0.2038104237517338,-0.03903276916613783,-0.025072230117646192,0.8380764422327829,-0.029297929067474093,-0.03420692697591038,-0.05430423293755561,-0.01995032236537694,-0.1388385552406391,-0.6734606701021401,-0.012520090509199562,-0.14080335225843793,-0.40581701536302217,-0.012324350138901619,-0.12956854982693725,-0.13770495821516798,-0.07109036557541372,-0.33856160829520765,-0.2928867185909907,-0.13886993647267096,-0.6768209004258406,-0.04141354522213377,-0.8495164910605506,0.7705342487386171,-0.2728748368804565,0.7031643185546711,-0.048038109039565006,-0.017496787011271314,-0.13967353023626722,-0.08862941684340442,-0.02730281196737845,-0.6038403971892188,-0.26723196414128236,-0.21066457038137903,-0.2635181982255679,-0.613060384164059,-0.13855101438527934,-0.5238084639550101
AC>GA,-0.06146070183226026,0.8729388997982216,-0.370821977511624,-1.8619620025350698,-0.6205924435467949,0.9029271499587043,-14.501888608838208,-1.9992474816731152,-0.10997720772125419,-0.5329449500657759,-0.43712715178221584,-0.509940241146629,0.34903404918986836,1.4077320471257782,-0.6516177993488225,0.8639106779085947,-0.7161254425052024,-0.17008506012245006,-0.18295220530296966,-0.03203757478335867,-0.03993810149664516,-0.19708920230908977,-1.3844894181710599,-0.2602025534495496,-0.10333150618816747,-1.7706254195542321,-0.6152016491289226,-5.18726243939538,-7.631791361605204,-0.016861859596956377,5.1932973446148605,1.7697731851199525,-0.1724820270701295,-0.18745329255617382,-1.1061874301121384,-0.3934026439660478,-0.9727814595209079,-0.10769481042433236,-0.34097106559693635,-0.04750694823741049,-0.006838044372663002,-0.022057224034357042,-1.4154089516301682,-0.173542062871739,-0.3035752743769527,-0.08014654332920391,-0.4975942259595496,-0.40395342766585773,-0.2119522261232447,-0.08451738482336657,-0.06706082883526826,0.7079484298271453,-0.23850158844811864,-0.4905592162126997,-0.03861861835165683,-0.49249906271429844,-0.1682178704664628,-0.2667986097388285,-1.3158868265757704,-0.8283161845778759,-0.11788647484985494,-0.11157447388200675,-0.38335643116434176,-1.1933935271923406,-0.768999682759792,-0.2621795088484723,-0.04685139325317697,-0.06434138747760047,-0.10214333768039831,-0.09523645642969625,0.8054197432962189,-1.266743252221447,-0.033701334941772784,-0.2879107399513678,0.23668004878474924,-0.12320388917080637,-0.14397105647291641,0.740984389496651,-0.13371714917955538,-0.6368161524624008,-3.5535580605109196,-0.20049337095352393,-0.9591693424524023,0.7102271335989319,-0.3674820202483895,0.568387279420197,1.486737127103619,-0.7111238201533174,-0.09035709608122772,-0.11696338124578438,-0.31403157632364076,-0.06548217875681583,-0.7085295577537591,-0.7347438517848301,-2.955823632742217,-4.251514348250554,-1.732845520295025,-1.15313356714109,-0.6308508619019151,2.0147444882403365
AC>GG,-0.0005211789734641192,-0.0009836696043604536,-6.52321301929328e-15,-0.15454782731355832,-0.13749957211632505,-0.026221511987564006,-0.2000222862283941,-0.020547969954480667,-0.0009499122102923017,-2.6966380264814537e-14,-7.689602290368446e-15,-0.003933921320978887,-0.005183696231487877,-0.036752163680203336,-1.1462755635033073e-14,-2.3939779503107373e-15,-1.397684589604854e-14,-0.0476353429990853,-3.2183534955215503e-15,-0.017521874529250955,-7.222333406866359e-16,-0.08954651454406395,-0.01224510554724691,-0.0025765826985218337,-1.817727824529249e-15,-0.018791038523627523,-1.0822150925406486e-14,-0.06013141176136333,-0.15190708806493697,-2.9662077417974306e-16,-0.03319839158284236,-0.084659121446514,-0.0540972823067003,-0.0022038254833985672,-1.945919250608571e-14,-6.920434614378483e-15,-0.26672404367578345,-0.0002518850150387108,-0.04823831918056992,-0.05465827621565441,-1.2028958040077923e-16,-3.880136014480864e-16,-0.01474949350043924,-1.758541439105623e-15,-0.10181107440610612,-5.215401893328224e-16,-0.017538959984346063,-4.957402025756549e-15,-0.03849112051683025,-0.019280600640465627,-0.0005372596671571534,-0.06818128478452025,-0.03154339299203685,-0.2344332656061347,-4.1187017643193286e-16,-0.004474362831243243,-2.959158489116853e-15,-4.693314501627989e-15,-2.31480618722673e-14,-0.00772524642407532,-2.0737675601092393e-15,-1.9627317278547487e-15,-6.7437094197650506e-15,-0.014329336866948466,-0.009235465989495411,-0.09732452514975248,-0.08459612782643049,-1.1318438548052902e-15,-1.7968264844010166e-15,-0.0008694167518911343,-0.15283466715194297,-2.2283566174914298e-14,-2.808840322466687e-16,-0.019353183518513353,-1.3427733375100595e-14,-0.02664266745482319,-0.22899720941000598,-4.556402007167119e-15,-2.3522485217411767e-15,-1.1202376527180812e-14,0.6795741419542816,-0.40328447121835015,-1.6997399377569575e-14,-0.01984165871015669,-0.16729239433410978,-7.592596687693645e-15,-9.028922927559203e-15,-0.0427757943814664,-1.5894920508699414e-15,-0.040386114131363136,-0.22502085595111124,-0.007189119588305837,-0.00683928709150556,-0.04075042213158859,-0.03138674252880769,-0.08770857515079315,-3.1483731695438487e-14,-2.0285032587970243e-14,-0.004737024589084657,-1.733185186263572e-14
AC>GT,-0.02247468001157047,-0.055485922435720064,0.5618981978488593,3.497530242456146,1.492712625215269,-0.07788707776139704,-0.2538745881271502,0.6147227000530806,-0.03923243791104537,-1.8110737387490872,-0.5164370090739321,-0.10238539960257564,-0.270405067900637,-0.7084927151688762,-0.7698436164008938,-0.16078059251464621,-0.02075993857724523,0.8562264505478763,-0.2161460099765635,-0.05836934533057748,-0.04967604771459615,1.5606854441578921,-0.18778978816067668,-0.05954652843246215,-0.12207938532609995,-0.2841910924453297,-0.7268203275823536,-0.3438044242351666,-0.31026183882474023,-0.019921179231655792,1.8777303499461981,-0.46719564846482464,-0.16464294073598817,0.9905429255107588,-0.30688776836015763,0.5352206240603781,-0.755215967977871,-0.013731254375208437,-0.14639310147698256,0.8178485542207842,-0.008078700143276218,-0.026059160961138996,-0.13153977900053065,-0.10945244502213487,1.622578837344085,-0.029088531232789913,-0.08207187208596406,-0.33242171506507145,-0.09188807948455716,-0.07529279148384382,-0.027543909141664574,-0.17718138132434094,-0.09500796058516514,2.8054823704838605,-0.025873341687874345,-0.15142429415276282,-0.19873836146368745,-0.31520502782048754,-1.5546338273106253,0.7362327789573413,-0.1392751244884013,0.8681820899349465,-0.45291043558512717,-0.03144252999106354,-0.02007637465259421,0.4658518328423853,-0.21457231796623794,-0.076015121854416,-0.12067564230092667,-0.029392526962275737,-0.5822733395268024,2.5034260768872127,0.9830204357639671,-0.1076047421870407,0.0981876303843412,-0.06875497244714049,-0.6980891999583309,-0.30600992559357704,-0.15797802607921155,-0.7523564431236764,1.0502478761604532,-1.022664485287054,-0.14895650961937035,-0.06821937404803585,2.2496463831592646,-0.5099220709253703,0.3936136388083208,-0.27901102000149103,-0.10675097224810189,1.8960892398982192,-0.7026879999023007,-0.16921173329349004,0.965719672230958,-0.5216164336831686,-0.47272582682764724,-0.1296760403771387,-1.174011393440753,2.637648455262744,-0.28960995296895,-1.1640146524695199
AC>TA,-0.1659129973585255,1.6177865341603563,6.684317257978634,1.3960662008463292,-0.33958419956562147,-0.08679083383371954,-0.42530175562211525,-2.894145293531886,-0.28123573674126,-4.5728257239684424,-2.7297405839957283,0.0734507726665139,0.10207312796053825,3.9324583425499124,-4.069176542533024,-0.8498409308293378,-2.320329478502449,-0.27105139503689096,3.8575130652239826,-0.08039870869269011,0.781286674195293,0.8685750736186344,-2.165587506449036,0.45231300072723113,2.3547227508123822,1.7990066309881074,0.15823244536181047,-4.253547094042838,-11.373403610026907,-0.10529774294684364,-3.647646163703998,-0.3437824539180778,0.6765434940004336,0.7507715667422199,8.092159319841425,-0.45669288376845474,12.492380243632397,-0.11716074813333355,1.5274291411655967,1.7639703765488637,-0.04270173372465677,-0.13774138570753502,0.9415110744686856,-0.6018839746573273,0.4457129127140995,-0.1697796585468822,-0.019451571011608326,0.7837958473060784,1.03444311642123,-0.20020503882177368,-0.19416132032926525,3.6559171455263733,-0.35595383187031826,1.1132786590330617,-0.14158460195566688,-0.2048993865840869,1.9495249926858427,-0.6660850047598164,-3.217356574177847,-1.593953889637476,-0.7361690835031146,-0.696752348262793,-1.393957007745962,-1.461667093871013,-0.9410677902071211,-1.5292672524804822,-0.04704733376811032,-0.4017945257166387,-0.6378574588976311,-0.22490971017459127,-1.045544785212232,-7.910468272202856,-0.08697437901207525,0.6498044341799426,-3.7667262052027066,-0.1324705071785696,-0.6450086252537217,-1.6174822840373093,0.16497264605173945,0.023255730436305022,-2.8987749947116024,-0.19484354663394868,1.2043607371292158,1.6922342496930776,-1.0583404716120248,-2.6953044557673485,-1.2051875265381167,1.8264056797557435,-0.5642555746521428,0.8536421641590117,0.0807865241887249,1.3584182375103007,0.1650946401068316,3.076746878479712,-0.33627326303216876,-7.6148902506635,-7.259861230406729,-7.201006581629735,-1.9590562931735138,4.8473463725818045
AC>TG,-0.002745461593412891,-0.005478518658431561,-0.009949073094173923,-0.10085595869363045,-0.07658671742270748,-0.004035914025259169,-0.8635597148298138,-0.09686929836860295,-0.009583345253856488,-0.04112857997223512,-0.01172802651480655,-0.020437638793447233,-0.028371013572875622,-0.17370094457525878,-0.017482763990122385,-0.0036512469457976714,-0.20534281567961443,0.9743438441137666,-0.004908567921227113,-0.0023799281209836375,-0.017989229253088237,-0.014327739780953943,-0.05953364090030332,-0.012401931043163814,-0.0027723618618719476,-0.08703909140556282,-0.016505726591267443,-0.26568081789445197,-0.6584985084153223,-0.00045240002968421244,-0.14514778170644876,-0.014723423734301674,-0.01342073298911732,-0.009665857529247809,-0.02967876842654799,-0.010554907469411788,-0.07354266591653655,-0.002303525617534986,-0.040784632467986345,-0.006792450927426015,-0.0001834632449278072,-0.0005917905288272972,0.9325162747817459,-0.0034614661234897053,-0.11175178279436074,-0.0013303716420245471,-0.07707953372097635,0.7659835017679193,-0.16715566704024598,-0.005046263227931532,-0.0029295432113071794,-0.020187720815249544,-0.014859620431435901,-0.5421136267332674,-0.0007892436911672089,-0.022627047688524166,-0.004513248918653042,-0.007158148736295927,-0.03530495767568825,-0.23081881704883017,-0.003162868508943588,-0.002993518894282063,-0.010285369762519357,-0.06216531756517508,-0.040062163786916495,-0.01685930251598405,-0.010525714554294982,-0.0017262654476167013,-0.0027404835589425573,-0.007875884961763266,-0.02064947645489457,-0.033986446252387274,-0.0038802779913582053,-0.0812409776286743,-0.020479708456987957,-0.007903555733379745,-0.026980386193168587,-0.006949332557693736,-0.003587602061936183,-0.01708563901987289,0.7526617406103459,-0.04902053738058623,-0.13274069396201135,-0.026894500845452828,-0.4906494864307645,-0.011580075523676639,-0.013770731371529144,-0.2545197979661533,-0.002424261257441925,-0.00980540478156719,-0.034946935497485045,-0.038736852729334574,-0.03158784298512106,-0.3857307798221582,0.8546627794479751,-0.37908256559384196,-0.9071641222355253,-0.030938323083810733,-0.026891598316445324,-0.026434191330063115
AC>TT,-0.24341664689395812,-0.5956969910051951,-4.568780182729569,15.848169548813352,-1.0255723639690557,0.8458372593240351,-5.116083957292698,-2.374212350837629,-0.42098808389551856,-7.886929399583238,-3.385705242707748,-0.1397159984926628,-2.9098302565326053,-8.025883056759778,-8.028376603664034,4.323286548373947,-3.461880903182905,1.6414895835748538,-2.2540961988928436,-0.1675617648126782,-0.5011748193994249,-0.3237731596334905,-2.179073946596513,-0.6656656240172594,-1.2731147730026295,4.710439835719722,-6.5797047461531974,3.371885168246349,-2.8697703725602848,-0.20774963363148508,-1.8507832693759867,9.26224523471954,1.576125684925954,1.863160191484337,-9.628985107611278,2.153010574921618,-1.5870549073698181,-0.15032826048417935,1.5486524469038268,0.4784679695833376,-0.08424937979159786,-0.2717600740129753,0.36869077053940535,-1.144391701978982,2.6681031564090256,-0.3053823523793591,-1.160031524376096,-0.24735005689740852,-1.6257263732160587,0.678068565305392,0.703439634956588,0.7447498712533909,0.6923781412638794,-6.042536228223293,-0.27043355107683015,-1.656729247607641,-1.0725591242607875,-2.2871412021860276,-13.212624980637308,-1.6928122974793975,0.5475580662179556,0.6253262317641055,-4.723213217778264,-0.5763821192190561,-0.36951781278710716,-1.11665330476845,-0.12031902388958192,1.207270135363617,1.7415242750075954,1.6818842819320512,-1.2190041581657676,-11.607142559867109,-0.17453497073415913,2.352522079770793,-4.404623451923152,0.906007078259855,-1.5065827753637406,-2.191249332702258,-1.647486660208794,6.1539898014240375,4.09115624266086,-0.559526853057265,-8.87524432174343,-0.2909110141142126,4.235548087282016,-4.31776368173104,-2.323749357995708,0.4133440430098432,-1.1132611737716225,4.879544919954023,-0.735639327410025,6.09837948098733,-0.48057686826184265,-2.9470597681764144,9.525871376927707,1.1267322779225175,-18.813309714362763,2.79260640119605,-0.10236434655944393,-11.139021228620484
AT>CA,-0.0035154511187150636,-0.008398761020501872,-0.05913128348424124,-0.6451739169154727,-0.5842191652319338,-0.12914863909891108,-0.21925497649445705,-0.07100511560022117,-0.006161424944293458,-0.24444344700479362,-0.06970430853139742,-0.038890759846400016,-0.041291096729125405,-0.1296163326120527,-0.10390699352619907,-0.021700807319363517,-0.13461060872757752,-0.19870707921813702,-0.029173564060123402,-0.07920521058677917,-0.0066597406173076355,-0.4059120622740627,-0.08423430977724075,-0.010420021201558546,-0.01647724502810686,-0.05573646752460371,-0.0981000731367782,0.897984090638913,-0.18236666761828632,-0.0026887926292552245,-0.04720621150306408,-0.39075707144509747,-0.22672148436306924,-0.003314627740297317,-0.17639268027099275,-0.0627319972238625,-1.1041922241655413,-0.017816990313461616,-0.1953483868793574,-0.2361567907136711,-0.0010903947575897973,-0.0035172455958603507,-0.05285418778235805,-0.03161454477900218,-0.4606947327895926,-0.015485462359261936,0.9727018544127639,-0.07563594701537311,-0.04800050462779537,-0.08631448547980683,-0.004214524990447417,-0.28526920979374354,-0.12716104463456654,-1.067323948867289,-0.006972691815619077,-0.024576054405728978,-0.026824026591994492,-0.04254371418741918,-0.2098313522234302,-0.04223280636551364,-0.018798180760702454,-0.017791668899978297,0.9388699721661585,-0.01749622819787644,-0.01125109179732821,-0.44881906462699683,0.6446553487002933,-0.010259879547155865,0.9837122203572282,-0.004761918115430012,-0.670183526497112,-0.20199491640569794,-0.006391870899082845,-0.10219521169078233,-0.1217190219613435,-0.11393885810328024,-0.9806257191921391,-0.041302636899500506,-0.02132254055679052,-0.10154672247660303,-1.290988181917241,-0.6947579449678289,-0.1547911069642939,-0.09953917046693471,-0.7085182802490412,-0.06882497716902153,-0.08184491286852226,-0.07704621279183753,-0.014408345209324646,-0.16654190195593493,0.039742250614654306,-0.09961901151440078,-0.03647905838454027,-0.10755833116135159,-0.0928323380546136,-0.0986192024034032,-0.29113462538436274,-0.18387871266793168,-0.04347010906354316,-0.15710887299943171
