Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Breast-AdenoCA::S.1	150	0.73	143.503	95.669%	44.711	78.332%	1.27484	0.707
Breast-AdenoCA::S.2	85	0.87	65.751	77.354%	15.26	49.432%	2.25812	0.854
Breast-AdenoCA::S.3	209	0.964	122.594	58.657%	43.0	47.021%	1.10943	0.965
Breast-AdenoCA::S.4	123	0.894	77.008	62.608%	18.904	49.39%	0.49597	0.88
Breast-AdenoCA::S.5	145	0.877	92.736	63.956%	17.208	48.079%	0.47485	0.841
Breast-AdenoCA::S.6	131	0.741	133.746	102.096%	45.455	104.144%	6.50145	0.726
Breast-AdenoCA::S.7	99	0.908	65.315	65.975%	17.86	45.497%	0.59102	0.901
Breast-AdenoCA::S.8	96	0.665	89.874	93.619%	18.512	75.956%	2.89672	0.56
Breast-AdenoCA::S.9	130	0.889	83.777	64.444%	16.16	48.592%	0.60943	0.864
Breast-AdenoCA::S.10	171	0.9	120.047	70.203%	22.073	45.141%	1.34252	0.882
Breast-AdenoCA::S.11	146	0.86	95.309	65.28%	22.739	53.897%	1.2798	0.835
Breast-AdenoCA::S.12	129	0.794	91.066	70.594%	18.272	61.214%	0.55723	0.719
Breast-AdenoCA::S.13	160	0.929	90.816	56.76%	19.246	36.971%	0.43954	0.919
Breast-AdenoCA::S.14	120	0.884	76.388	63.657%	14.466	48.007%	0.59204	0.855
Breast-AdenoCA::S.15	208	0.734	197.145	94.781%	72.328	92.38%	5.96571	0.718
Breast-AdenoCA::S.16	95	0.876	67.232	70.771%	15.503	52.231%	0.68271	0.859
Breast-AdenoCA::S.17	135	0.975	57.896	42.886%	13.43	27.374%	0.40091	0.973
Breast-AdenoCA::S.18	208	0.991	74.984	36.05%	15.536	14.238%	1.61088	0.991
Breast-AdenoCA::S.19	59	0.946	34.399	58.303%	8.834	38.628%	0.66738	0.942
Breast-AdenoCA::S.20	105	0.938	57.697	54.95%	13.016	35.948%	0.53035	0.931
Breast-AdenoCA::S.21	157	0.804	121.374	77.308%	23.365	60.348%	1.75853	0.747
Breast-AdenoCA::S.22	125	0.795	117.144	93.715%	25.665	61.651%	3.3919	0.766
Breast-AdenoCA::S.23	176	0.904	96.083	54.593%	19.169	42.863%	0.71789	0.878
Breast-AdenoCA::S.24	110	0.841	77.761	70.692%	15.519	54.195%	0.47114	0.799
