Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
ColoRect-AdenoCA::MSI-H.S.1	432	0.927	238.52	55.213%	47.158	41.604%	0.34088	0.913
ColoRect-AdenoCA::MSI-H.S.2	283	0.788	193.231	68.28%	58.066	70.358%	0.49178	0.756
ColoRect-AdenoCA::MSI-H.S.3	128	0.77	99.005	77.348%	17.677	66.434%	0.76318	0.668
ColoRect-AdenoCA::MSI-H.S.4	202	0.891	117.879	58.356%	20.522	49.198%	0.3842	0.851
ColoRect-AdenoCA::MSI-H.S.5	90	0.748	78.115	86.794%	14.908	66.406%	0.73331	0.667
ColoRect-AdenoCA::MSI-H.S.6	130	0.968	90.258	69.429%	21.586	42.68%	0.75076	0.968
ColoRect-AdenoCA::MSI-H.S.7	150	0.633	123.971	82.647%	31.014	78.222%	0.70871	0.522
ColoRect-AdenoCA::MSI-H.S.8	308	0.903	167.452	54.368%	33.6	44.63%	0.37445	0.877
ColoRect-AdenoCA::MSI-H.S.9	220	0.901	158.993	72.27%	29.835	45.351%	1.12146	0.885
ColoRect-AdenoCA::MSI-H.S.10	115	0.886	80.173	69.716%	14.923	46.386%	0.45369	0.862
ColoRect-AdenoCA::MSI-H.S.11	106	0.601	101.977	96.205%	18.991	86.863%	0.88032	0.413
ColoRect-AdenoCA::MSI-H.S.12	402	0.96	198.765	49.444%	65.282	32.656%	0.30066	0.959
ColoRect-AdenoCA::MSI-H.S.13	184	0.881	103.039	55.999%	20.032	49.709%	0.61177	0.839
ColoRect-AdenoCA::MSI-H.S.14	84	0.803	68.365	81.387%	11.937	60.601%	0.61532	0.738
ColoRect-AdenoCA::MSI-H.S.15	91	0.838	66.475	73.049%	11.097	54.737%	0.70564	0.774
ColoRect-AdenoCA::MSI-H.S.16	143	0.879	97.956	68.501%	17.257	51.588%	0.50248	0.847
ColoRect-AdenoCA::MSI-H.S.17	210	0.97	111.973	53.32%	24.337	26.225%	0.46987	0.968
ColoRect-AdenoCA::MSI-H.S.18	217	0.659	201.497	92.856%	41.263	80.568%	0.8458	0.55
ColoRect-AdenoCA::MSI-H.S.19	230	0.974	135.301	58.827%	27.162	22.727%	4.6552	0.973
ColoRect-AdenoCA::MSI-H.S.20	369	0.888	206.922	56.076%	40.947	47.462%	0.35762	0.853
ColoRect-AdenoCA::MSI-H.S.21	158	0.691	132.11	83.614%	25.533	80.104%	0.91264	0.556
ColoRect-AdenoCA::MSI-H.S.22	214	0.557	225.018	105.149%	42.876	105.172%	6.45629	0.377
ColoRect-AdenoCA::MSI-H.S.23	143	0.807	112.774	78.863%	19.359	63.652%	0.58624	0.735
ColoRect-AdenoCA::MSI-H.S.24	179	0.8	176.031	98.341%	31.94	69.06%	6.46468	0.761
ColoRect-AdenoCA::MSI-H.S.25	201	0.713	222.63	110.761%	61.296	127.341%	3.15961	0.691
ColoRect-AdenoCA::MSI-H.S.26	133	0.895	173.651	130.565%	65.79	171.886%	4.86773	0.918
ColoRect-AdenoCA::MSI-H.S.27	268	0.571	257.557	96.103%	92.433	100.163%	0.82589	0.527
ColoRect-AdenoCA::MSI-H.S.28	167	0.798	126.698	75.867%	25.977	66.828%	0.9119	0.742
ColoRect-AdenoCA::MSI-H.S.29	159	0.846	150.326	94.545%	26.425	54.897%	7.14444	0.82
ColoRect-AdenoCA::MSI-H.S.30	139	0.678	135.109	97.201%	22.457	81.193%	0.96829	0.529
ColoRect-AdenoCA::MSI-H.S.31	164	0.883	109.513	66.776%	17.59	47.112%	0.44748	0.842
ColoRect-AdenoCA::MSI-H.S.32	287	0.914	146.963	51.207%	23.469	41.314%	0.23886	0.871
ColoRect-AdenoCA::MSI-H.S.33	173	0.879	112.812	65.209%	22.413	49.442%	0.57171	0.851
ColoRect-AdenoCA::MSI-H.S.34	180	0.746	142.145	78.969%	24.166	70.35%	0.61651	0.603
ColoRect-AdenoCA::MSI-H.S.35	179	0.73	148.978	83.228%	29.863	70.922%	1.0704	0.639
