Samples	DBS2	DBS3	DBS4	DBS6	DBS7	DBS8	DBS9	DBS10
ColoRect-AdenoCA::S.1	0	0	0	31	88	0	0	0
ColoRect-AdenoCA::S.2	0	0	41	0	68	0	0	0
ColoRect-AdenoCA::S.3	49	0	0	0	87	0	0	0
ColoRect-AdenoCA::S.4	18	0	0	45	44	0	0	0
ColoRect-AdenoCA::S.5	15	0	0	25	0	0	35	0
ColoRect-AdenoCA::S.6	84	0	0	0	176	0	0	0
ColoRect-AdenoCA::S.7	39	0	0	0	112	0	0	0
ColoRect-AdenoCA::S.8	0	0	18	0	44	0	69	0
ColoRect-AdenoCA::S.9	23	0	0	0	56	0	0	0
ColoRect-AdenoCA::S.10	0	0	0	0	391	0	0	0
ColoRect-AdenoCA::S.11	0	0	0	0	358	0	0	0
ColoRect-AdenoCA::S.12	0	0	0	0	110	0	0	0
ColoRect-AdenoCA::S.13	0	0	51	0	0	0	82	0
ColoRect-AdenoCA::S.14	24	0	21	0	0	0	0	0
ColoRect-AdenoCA::S.15	123	0	0	0	87	0	0	0
ColoRect-AdenoCA::S.16	0	0	0	0	245	72	0	0
ColoRect-AdenoCA::S.17	13	0	56	0	0	0	0	0
ColoRect-AdenoCA::S.18	71	0	0	0	92	0	0	0
ColoRect-AdenoCA::S.19	18	0	17	0	55	0	0	0
ColoRect-AdenoCA::S.20	99	0	0	0	0	0	0	0
ColoRect-AdenoCA::S.21	39	0	0	54	0	0	0	0
ColoRect-AdenoCA::S.22	0	0	0	0	312	0	0	0
ColoRect-AdenoCA::S.23	69	0	0	0	61	0	0	0
ColoRect-AdenoCA::S.24	0	0	12	28	0	0	33	0
ColoRect-AdenoCA::S.25	0	0	0	0	197	0	0	0
ColoRect-AdenoCA::S.26	18	0	10	0	0	0	0	0
ColoRect-AdenoCA::S.27	0	0	75	0	157	0	0	0
ColoRect-AdenoCA::S.28	0	0	0	0	150	0	0	0
ColoRect-AdenoCA::S.29	0	0	0	0	239	0	0	0
ColoRect-AdenoCA::S.30	25	0	16	0	83	0	0	0
ColoRect-AdenoCA::S.31	28	0	0	0	86	0	0	0
ColoRect-AdenoCA::S.32	10	0	6	0	0	0	0	0
ColoRect-AdenoCA::S.33	0	0	76	38	0	0	0	0
ColoRect-AdenoCA::S.34	0	0	35	0	92	0	0	0
ColoRect-AdenoCA::S.35	0	0	0	0	300	0	0	0
ColoRect-AdenoCA::POLE.S.1	0	906	0	0	0	0	0	855
ColoRect-AdenoCA::POLE.S.2	0	759	0	0	0	0	0	761
ColoRect-AdenoCA::POLE.S.3	0	200	0	0	0	0	0	0
ColoRect-AdenoCA::POLE.S.4	0	1501	0	0	0	0	0	0
ColoRect-AdenoCA::POLE.S.5	0	1568	0	0	0	0	0	2806
ColoRect-AdenoCA::POLE.S.6	0	2950	0	0	0	0	0	0
ColoRect-AdenoCA::POLE.S.7	0	1683	0	0	0	0	0	0
ColoRect-AdenoCA::POLE.S.8	0	0	0	0	0	0	0	515
ColoRect-AdenoCA::POLE.S.9	0	4769	0	0	0	0	0	0
ColoRect-AdenoCA::POLE.S.10	0	2386	0	0	0	0	0	671
ColoRect-AdenoCA::POLE.S.11	0	1987	0	0	0	0	0	0
ColoRect-AdenoCA::POLE.S.12	0	237	0	0	0	0	0	273
ColoRect-AdenoCA::POLE.S.13	0	0	0	0	0	0	0	1416
ColoRect-AdenoCA::POLE.S.14	0	1028	0	0	0	0	0	0
ColoRect-AdenoCA::POLE.S.15	0	766	0	0	0	0	0	0
ColoRect-AdenoCA::POLE.S.16	0	3828	0	0	0	0	0	0
ColoRect-AdenoCA::POLE.S.17	97	547	0	0	0	0	0	0
ColoRect-AdenoCA::POLE.S.18	0	1898	0	0	0	0	0	0
ColoRect-AdenoCA::POLE.S.19	0	4252	0	0	0	0	0	0
ColoRect-AdenoCA::POLE.S.20	0	2402	0	0	0	0	0	0
ColoRect-AdenoCA::POLE.S.21	0	2371	0	0	0	0	0	0
ColoRect-AdenoCA::POLE.S.22	0	0	0	0	0	0	0	123
ColoRect-AdenoCA::POLE.S.23	0	2713	0	0	0	0	0	0
ColoRect-AdenoCA::POLE.S.24	0	0	0	0	0	0	0	452
ColoRect-AdenoCA::POLE.S.25	0	634	0	0	0	0	0	0
ColoRect-AdenoCA::POLE.S.26	0	1128	0	0	0	0	0	741
ColoRect-AdenoCA::POLE.S.27	0	3097	0	0	0	0	0	0
ColoRect-AdenoCA::POLE.S.28	0	505	0	0	0	0	0	0
ColoRect-AdenoCA::POLE.S.29	0	1205	0	0	0	0	0	0
ColoRect-AdenoCA::POLE.S.30	0	894	0	0	0	0	0	260
