Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Kidney-RCC::S.1	103	0.977	43.338	42.076%	18.123	22.015%	0.50303	0.977
Kidney-RCC::S.2	77	0.851	51.469	66.843%	11.268	52.942%	0.43836	0.819
Kidney-RCC::S.3	129	0.828	100.119	77.612%	22.104	69.656%	0.77164	0.798
Kidney-RCC::S.4	73	0.849	49.418	67.696%	10.094	53.725%	0.49525	0.811
Kidney-RCC::S.5	123	0.861	96.067	78.103%	22.175	52.634%	0.51284	0.845
Kidney-RCC::S.6	100	0.782	86.135	86.135%	18.211	62.611%	0.63617	0.737
Kidney-RCC::S.7	75	0.891	47.265	63.02%	16.671	52.122%	0.38313	0.884
Kidney-RCC::S.8	165	0.991	55.365	33.555%	16.216	13.276%	0.49687	0.991
Kidney-RCC::S.9	2	0.793	1.6	80.0%	0.93	65.761%	0.61942	0.787
Kidney-RCC::S.10	205	0.821	133.819	65.278%	33.427	58.092%	0.40829	0.783
Kidney-RCC::S.11	82	0.719	71.294	86.944%	14.146	74.556%	3.28297	0.63
Kidney-RCC::S.12	118	0.937	77.74	65.881%	20.542	37.467%	0.78082	0.933
Kidney-RCC::S.13	101	0.968	42.45	42.03%	12.948	25.437%	0.24482	0.966
Kidney-RCC::S.14	79	0.933	44.151	55.887%	11.2	35.98%	0.37318	0.927
Kidney-RCC::S.15	61	0.618	60.79	99.656%	13.416	82.105%	3.66522	0.519
Kidney-RCC::S.16	157	0.876	88.761	56.536%	16.954	48.639%	0.32553	0.83
Kidney-RCC::S.17	134	0.861	87.125	65.019%	17.8	53.816%	0.43647	0.826
Kidney-RCC::S.18	39	0.962	28.599	73.331%	9.126	39.982%	0.9505	0.962
Kidney-RCC::S.19	102	0.873	74.87	73.402%	15.637	55.424%	0.49636	0.853
Kidney-RCC::S.20	129	0.978	49.018	37.998%	18.505	27.57%	0.27536	0.977
Kidney-RCC::S.21	279	0.798	205.996	73.834%	45.502	62.343%	2.94173	0.75
Kidney-RCC::S.22	147	0.74	118.978	80.937%	34.593	68.384%	2.16208	0.704
Kidney-RCC::S.23	114	0.914	87.425	76.689%	19.681	56.72%	0.63863	0.909
Kidney-RCC::S.24	89	0.937	48.602	54.609%	13.276	36.119%	3.16931	0.932
Kidney-RCC::S.25	141	0.782	107.257	76.069%	23.003	68.765%	0.54033	0.724
Kidney-RCC::S.26	108	0.786	90.602	83.891%	18.256	62.108%	2.85957	0.734
Kidney-RCC::S.27	135	0.824	104.081	77.097%	22.92	57.175%	0.6612	0.791
Kidney-RCC::S.28	159	0.82	117.198	73.709%	26.78	57.265%	0.46486	0.785
Kidney-RCC::S.29	95	0.871	61.856	65.112%	12.691	49.437%	0.81329	0.841
Kidney-RCC::S.30	79	0.703	74.189	93.91%	14.775	73.237%	0.78335	0.62
Kidney-RCC::S.31	158	0.894	113.792	72.02%	25.519	49.057%	1.04744	0.886
Kidney-RCC::S.32	220	0.916	160.461	72.937%	33.444	47.612%	2.26631	0.907
Kidney-RCC::S.33	72	0.952	45.221	62.807%	10.021	30.693%	0.56831	0.948
