Samples	DBS2	DBS4	DBS5	DBS9
Liver-HCC::S.1	48	82	27	0
Liver-HCC::S.2	124	0	0	0
Liver-HCC::S.3	166	139	0	0
Liver-HCC::S.4	794	0	0	0
Liver-HCC::S.5	42	0	0	0
Liver-HCC::S.6	112	0	0	0
Liver-HCC::S.7	40	0	0	0
Liver-HCC::S.8	40	26	0	0
Liver-HCC::S.9	92	139	0	0
Liver-HCC::S.10	90	0	0	0
Liver-HCC::S.11	0	107	0	0
Liver-HCC::S.12	250	0	0	0
Liver-HCC::S.13	45	160	0	0
Liver-HCC::S.14	460	0	0	0
Liver-HCC::S.15	74	0	0	0
Liver-HCC::S.16	67	66	0	0
Liver-HCC::S.17	60	87	0	0
Liver-HCC::S.18	45	41	0	0
Liver-HCC::S.19	65	163	0	0
Liver-HCC::S.20	143	70	0	0
Liver-HCC::S.21	245	0	69	0
Liver-HCC::S.22	0	0	442	0
Liver-HCC::S.23	407	0	0	0
Liver-HCC::S.24	80	0	0	0
Liver-HCC::S.25	59	0	0	0
Liver-HCC::S.26	258	188	0	0
Liver-HCC::S.27	112	0	0	0
Liver-HCC::S.28	0	185	0	0
Liver-HCC::S.29	60	0	0	0
Liver-HCC::S.30	68	0	151	0
Liver-HCC::S.31	19	0	0	0
Liver-HCC::S.32	52	0	0	0
Liver-HCC::S.33	148	40	0	0
Liver-HCC::S.34	107	123	0	0
Liver-HCC::S.35	87	209	279	0
Liver-HCC::S.36	0	65	0	0
Liver-HCC::S.37	18	35	0	0
Liver-HCC::S.38	35	0	0	0
Liver-HCC::S.39	206	0	0	0
Liver-HCC::S.40	217	81	0	0
Liver-HCC::S.41	20	11	0	0
Liver-HCC::S.42	51	0	0	0
Liver-HCC::S.43	0	103	0	0
Liver-HCC::S.44	168	0	0	0
Liver-HCC::S.45	170	0	0	0
Liver-HCC::S.46	275	62	0	0
Liver-HCC::S.47	34	131	0	0
Liver-HCC::S.48	214	161	0	0
Liver-HCC::S.49	104	0	0	0
Liver-HCC::S.50	47	70	43	0
Liver-HCC::S.51	27	179	0	0
Liver-HCC::S.52	34	12	0	0
Liver-HCC::S.53	43	0	0	0
Liver-HCC::S.54	0	50	0	0
Liver-HCC::S.55	203	0	0	0
Liver-HCC::S.56	27	70	0	0
Liver-HCC::S.57	157	31	0	0
Liver-HCC::S.58	114	0	0	0
Liver-HCC::S.59	21	27	0	0
Liver-HCC::S.60	313	0	0	0
Liver-HCC::S.61	278	0	0	0
Liver-HCC::S.62	53	108	0	0
Liver-HCC::S.63	103	138	0	0
Liver-HCC::S.64	360	0	0	0
Liver-HCC::S.65	19	76	0	0
Liver-HCC::S.66	182	0	0	0
Liver-HCC::S.67	30	0	0	0
Liver-HCC::S.68	0	236	0	0
Liver-HCC::S.69	133	52	161	0
Liver-HCC::S.70	0	104	0	0
Liver-HCC::S.71	215	0	0	0
Liver-HCC::S.72	201	0	0	0
Liver-HCC::S.73	105	0	0	0
Liver-HCC::S.74	0	82	0	0
Liver-HCC::S.75	264	62	0	0
Liver-HCC::S.76	0	126	0	0
Liver-HCC::S.77	120	29	0	0
Liver-HCC::S.78	30	24	0	0
Liver-HCC::S.79	35	0	0	0
Liver-HCC::S.80	396	0	0	0
Liver-HCC::S.81	307	264	0	0
Liver-HCC::S.82	0	79	103	0
Liver-HCC::S.83	390	0	0	0
Liver-HCC::S.84	33	102	0	0
Liver-HCC::S.85	47	0	0	0
Liver-HCC::S.86	284	0	0	0
Liver-HCC::S.87	50	84	0	0
Liver-HCC::S.88	46	0	0	0
Liver-HCC::S.89	308	0	0	0
Liver-HCC::S.90	258	0	0	0
Liver-HCC::S.91	0	111	260	0
Liver-HCC::S.92	343	0	0	0
Liver-HCC::S.93	389	0	0	0
Liver-HCC::S.94	102	94	0	0
Liver-HCC::S.95	55	0	0	0
Liver-HCC::S.96	145	134	74	0
Liver-HCC::S.97	181	0	0	0
Liver-HCC::S.98	81	132	0	0
Liver-HCC::S.99	149	106	0	0
