Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Ovary-AdenoCA::S.1	69	0.826	51.906	75.226%	20.143	62.311%	2.2602	0.817
Ovary-AdenoCA::S.2	176	0.886	124.485	70.73%	29.972	46.786%	2.54415	0.873
Ovary-AdenoCA::S.3	322	0.857	224.289	69.655%	56.352	69.832%	2.21686	0.838
Ovary-AdenoCA::S.4	123	0.911	60.778	49.413%	19.42	41.66%	0.35462	0.902
Ovary-AdenoCA::S.5	38	0.967	16.148	42.495%	4.221	26.912%	0.28767	0.965
Ovary-AdenoCA::S.6	121	0.956	70.169	57.991%	20.393	39.297%	1.53042	0.954
Ovary-AdenoCA::S.7	56	0.966	23.999	42.855%	7.157	25.859%	0.36829	0.965
Ovary-AdenoCA::S.8	403	0.991	109.627	27.203%	27.075	15.576%	0.28158	0.99
Ovary-AdenoCA::S.9	233	0.928	118.493	50.855%	39.823	38.279%	0.39806	0.923
Ovary-AdenoCA::S.10	57	0.995	16.892	29.635%	5.634	12.386%	0.24722	0.995
Ovary-AdenoCA::S.11	69	0.969	26.308	38.128%	7.269	25.846%	0.30029	0.966
Ovary-AdenoCA::S.12	97	0.869	63.205	65.16%	27.434	50.331%	0.42218	0.864
Ovary-AdenoCA::S.13	264	0.811	177.531	67.247%	75.869	58.699%	0.39802	0.799
Ovary-AdenoCA::S.14	123	0.895	101.124	82.215%	33.694	85.009%	2.40292	0.896
Ovary-AdenoCA::S.15	26	0.561	30.563	117.55%	17.397	96.95%	1.1348	0.549
Ovary-AdenoCA::S.16	73	0.898	43.37	59.411%	16.484	47.685%	1.85746	0.892
Ovary-AdenoCA::S.17	170	0.969	78.903	46.414%	16.163	26.739%	0.35182	0.966
Ovary-AdenoCA::S.18	228	0.767	199.59	87.539%	75.424	76.33%	5.45625	0.754
Ovary-AdenoCA::S.19	964	0.929	747.711	77.563%	358.938	46.393%	0.4974	0.929
Ovary-AdenoCA::S.20	128	0.921	109.949	85.898%	47.867	85.751%	5.99642	0.924
