Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Stomach-AdenoCA::MSI-H.S.1	223	0.85	162.687	72.954%	34.668	52.973%	0.49564	0.822
Stomach-AdenoCA::MSI-H.S.2	347	0.84	241.824	69.69%	44.425	62.336%	0.51403	0.785
Stomach-AdenoCA::MSI-H.S.3	239	0.846	170.014	71.136%	40.342	53.808%	0.54224	0.822
Stomach-AdenoCA::MSI-H.S.4	53	0.611	62.978	118.826%	13.077	80.331%	3.14101	0.53
Stomach-AdenoCA::MSI-H.S.5	168	0.656	140.834	83.83%	30.747	76.581%	0.9847	0.527
Stomach-AdenoCA::MSI-H.S.6	207	0.882	116.706	56.38%	19.578	47.78%	0.3378	0.821
Stomach-AdenoCA::MSI-H.S.7	126	0.732	122.006	96.83%	25.436	68.225%	5.96285	0.676
Stomach-AdenoCA::MSI-H.S.8	201	0.565	178.173	88.643%	42.922	87.45%	0.72422	0.422
Stomach-AdenoCA::MSI-H.S.9	150	0.736	137.394	91.596%	26.804	67.777%	0.96456	0.662
Stomach-AdenoCA::MSI-H.S.10	199	0.76	154.306	77.541%	26.196	65.551%	0.57054	0.623
Stomach-AdenoCA::MSI-H.S.11	200	0.831	130.926	65.463%	22.981	56.135%	1.59672	0.749
Stomach-AdenoCA::MSI-H.S.12	313	0.86	244.524	78.123%	40.757	51.022%	3.15199	0.822
Stomach-AdenoCA::MSI-H.S.13	123	0.794	103.772	84.367%	17.452	61.896%	0.8522	0.72
Stomach-AdenoCA::MSI-H.S.14	158	0.596	166.786	105.561%	35.225	116.26%	1.48614	0.48
Stomach-AdenoCA::MSI-H.S.15	94	0.441	102.019	108.531%	21.27	115.694%	5.24275	0.219
Stomach-AdenoCA::MSI-H.S.16	146	0.866	103.523	70.906%	24.807	52.485%	0.4701	0.851
Stomach-AdenoCA::MSI-H.S.17	343	0.774	267.092	77.869%	45.497	76.029%	0.8128	0.66
Stomach-AdenoCA::MSI-H.S.18	169	0.887	98.133	58.067%	17.785	47.114%	1.38706	0.848
Stomach-AdenoCA::MSI-H.S.19	136	0.703	111.998	82.351%	20.653	74.916%	3.01603	0.556
Stomach-AdenoCA::MSI-H.S.20	244	0.899	173.949	71.291%	32.871	45.109%	1.17672	0.883
Stomach-AdenoCA::MSI-H.S.21	77	0.65	73.893	95.965%	13.559	78.414%	2.64313	0.504
Stomach-AdenoCA::MSI-H.S.22	93	0.816	74.839	80.472%	14.739	61.359%	2.20502	0.774
Stomach-AdenoCA::MSI-H.S.23	184	0.747	143.985	78.253%	27.894	66.909%	0.56668	0.644
Stomach-AdenoCA::MSI-H.S.24	145	0.655	138.067	95.219%	25.837	80.938%	1.00233	0.522
Stomach-AdenoCA::MSI-H.S.25	85	0.614	85.351	100.413%	23.094	84.724%	1.49734	0.553
Stomach-AdenoCA::MSI-H.S.26	154	0.813	108.443	70.418%	18.725	58.63%	0.50541	0.721
Stomach-AdenoCA::MSI-H.S.27	274	0.892	142.787	52.112%	22.997	45.118%	0.33446	0.823
Stomach-AdenoCA::MSI-H.S.28	164	0.827	124.816	76.107%	22.565	56.237%	1.34141	0.773
Stomach-AdenoCA::MSI-H.S.29	247	0.678	223.923	90.657%	40.786	75.594%	0.75787	0.535
Stomach-AdenoCA::MSI-H.S.30	262	0.87	162.891	62.172%	30.711	49.354%	1.05745	0.828
Stomach-AdenoCA::MSI-H.S.31	298	0.938	157.069	52.708%	26.177	35.381%	0.29059	0.922
Stomach-AdenoCA::MSI-H.S.32	240	0.875	165.489	68.954%	37.117	48.813%	1.29147	0.855
Stomach-AdenoCA::MSI-H.S.33	142	0.944	94.748	66.724%	21.491	37.411%	1.0274	0.94
Stomach-AdenoCA::MSI-H.S.34	195	0.749	174.394	89.433%	36.987	72.86%	0.90947	0.694
