"Mutation type","Skin-Melanoma::MSI-H.S.1"
"DEL_C_1_0",79
"DEL_C_1_1",3
"DEL_C_1_2",0
"DEL_C_1_3",36
"DEL_C_1_4",40
"DEL_C_1_5+",216
"DEL_T_1_0",69
"DEL_T_1_1",0
"DEL_T_1_2",47
"DEL_T_1_3",327
"DEL_T_1_4",143
"DEL_T_1_5+",12962
"INS_C_1_0",0
"INS_C_1_1",1
"INS_C_1_2",0
"INS_C_1_3",10
"INS_C_1_4",30
"INS_C_1_5+",271
"INS_T_1_0",17
"INS_T_1_1",1
"INS_T_1_2",5
"INS_T_1_3",75
"INS_T_1_4",341
"INS_T_1_5+",15065
"DEL_repeats_2_0",3
"DEL_repeats_2_1",16
"DEL_repeats_2_2",20
"DEL_repeats_2_3",8
"DEL_repeats_2_4",6
"DEL_repeats_2_5+",0
"DEL_repeats_3_0",1
"DEL_repeats_3_1",109
"DEL_repeats_3_2",28
"DEL_repeats_3_3",8
"DEL_repeats_3_4",0
"DEL_repeats_3_5+",0
"DEL_repeats_4_0",0
"DEL_repeats_4_1",27
"DEL_repeats_4_2",5
"DEL_repeats_4_3",0
"DEL_repeats_4_4",0
"DEL_repeats_4_5+",5
"DEL_repeats_5+_0",0
"DEL_repeats_5+_1",20
"DEL_repeats_5+_2",10
"DEL_repeats_5+_3",2
"DEL_repeats_5+_4",1
"DEL_repeats_5+_5+",0
"INS_repeats_2_0",2
"INS_repeats_2_1",5
"INS_repeats_2_2",6
"INS_repeats_2_3",6
"INS_repeats_2_4",73
"INS_repeats_2_5+",177
"INS_repeats_3_0",1
"INS_repeats_3_1",20
"INS_repeats_3_2",1
"INS_repeats_3_3",2
"INS_repeats_3_4",1
"INS_repeats_3_5+",29
"INS_repeats_4_0",0
"INS_repeats_4_1",11
"INS_repeats_4_2",2
"INS_repeats_4_3",2
"INS_repeats_4_4",7
"INS_repeats_4_5+",23
"INS_repeats_5+_0",0
"INS_repeats_5+_1",27
"INS_repeats_5+_2",1
"INS_repeats_5+_3",7
"INS_repeats_5+_4",0
"INS_repeats_5+_5+",1
"DEL_MH_2_1",25
"DEL_MH_3_1",1
"DEL_MH_3_2",39
"DEL_MH_4_1",4
"DEL_MH_4_2",3
"DEL_MH_4_3",4
"DEL_MH_5+_1",3
"DEL_MH_5+_2",0
"DEL_MH_5+_3",1
"DEL_MH_5+_4",6
"DEL_MH_5+_5+",26
