Mutation type,ColoRect-AdenoCA::MSI-H.S.1,ColoRect-AdenoCA::MSI-H.S.2,ColoRect-AdenoCA::MSI-H.S.3,ColoRect-AdenoCA::MSI-H.S.4,ColoRect-AdenoCA::MSI-H.S.5,ColoRect-AdenoCA::MSI-H.S.6,ColoRect-AdenoCA::MSI-H.S.7,ColoRect-AdenoCA::MSI-H.S.8,ColoRect-AdenoCA::MSI-H.S.9,ColoRect-AdenoCA::MSI-H.S.10,ColoRect-AdenoCA::MSI-H.S.11,ColoRect-AdenoCA::MSI-H.S.12,ColoRect-AdenoCA::MSI-H.S.13,ColoRect-AdenoCA::MSI-H.S.14,ColoRect-AdenoCA::MSI-H.S.15
DEL_C_1_0,183.24335596652156,89.12915206516428,242.60312164955698,356.7973303463347,399.07165994417466,613.3648507358062,62.34253341053119,224.71976341844362,305.11842573568725,385.0444723572438,1065.1041906521825,254.75052306120295,311.7756679683526,246.75600800298886,377.168870086212
DEL_C_1_1,65.5129029002204,11.900255048368933,86.37170679037341,108.33847880626533,8.24806419284472,4.753895998412233,42.05801426321166,157.63885016257933,29.0388193236069,4.487388925372112,40.77336365659335,118.92077638933458,17.748642558893202,106.8569006780638,57.25174997484862
DEL_C_1_2,54.86240597747755,0.05592675070912131,60.056890294635835,97.91886740021644,0.2564163015152852,0.3951633470935503,23.348134537150184,140.8351810036201,0.19301621029192542,0.24786632419964713,0.6818612854290877,101.97687780072862,0.19881796782793665,94.30865166974381,0.23574643472393314
DEL_C_1_3,114.02218529161195,72.82259410708348,180.57579233283315,198.18446735307072,219.6673711845527,318.90600171051904,74.14316045839503,144.19231556001927,221.65581822150864,203.74666556372904,630.6010188474103,162.00046197592042,198.32273151361332,148.06157773661664,324.449303501299
DEL_C_1_4,120.42483453562798,79.85809904385722,176.26955808531503,232.2150046951965,323.8686247762312,491.8516788189847,49.388175604191815,105.45948421622677,264.6275665041013,309.88817528394094,878.4255443757479,153.2827853664098,261.4807124004742,148.317280824823,343.09360297167046
DEL_C_1_5+,444.74489296012337,312.94337809016736,668.3001309300274,851.4433491081556,1233.0234704746347,1865.54511433017,195.01496706662732,361.21633525979547,1027.6200157655373,1176.722962759957,3360.9349353257103,557.0229875049498,1005.5162328067239,537.1549545177314,1350.0266720521222
DEL_T_1_0,442.64022714184716,161.6765152748689,573.0165614906284,826.9009445962122,662.7347540912025,1007.8485764995443,182.1074749915215,721.0328054897509,537.5819210933845,634.7260864460042,1794.2876361667306,678.775623448546,533.1168202200106,641.7101799967331,693.5305891725855
DEL_T_1_1,218.50493252167306,1.2025440652069848e-13,239.0930425349303,389.90821064404196,3.531708329881647e-13,5.102219812080468e-13,93.03832616997512,561.5426982416648,3.635406628196445e-13,3.264791322874136e-13,1.019769861713328e-12,406.3711229672288,3.2242098100637013e-13,375.78334343206586,5.372394309362963e-13
DEL_T_1_2,441.16845702508607,140.46076438401684,557.3234242056385,822.8009344132067,587.9248892328684,896.4182141947913,177.92798590316886,765.9295573296009,470.1967190948693,564.1012017434482,1586.216212184239,692.6789517049058,469.605095522583,653.9695832561642,600.6623632298345
DEL_T_1_3,772.8487021864382,398.0199012625842,1052.7116698287487,1485.8424687639153,1687.4062673121348,2576.845641814585,293.23496098036776,933.2872577225335,1337.9483878815076,1620.7955950433657,4543.0630207694085,1071.117009749524,1342.06446620482,1030.73715280086,1698.8022635643988
DEL_T_1_4,1472.3764818794173,911.1683412945742,2073.4585535093415,2887.808771171448,3920.6397869355164,5997.955106838173,524.0404521528702,1345.2000645326257,3077.902926148978,3770.571468387012,10530.27396415639,1888.9586415182941,3102.9405337285484,1844.8084320893154,3880.150581210467
DEL_T_1_5+,23074.513613168172,14650.600873891097,31851.10450027807,46513.56796995905,67170.94848941364,103517.197134774,6679.328936792663,18056.438463124134,50562.6274246894,64931.19195888297,178620.73904746238,28470.982522348033,52082.45886403159,28326.70190478293,61756.25937123186
INS_C_1_0,1.1167311234203103,1.2025440652069848e-13,1.2219524699541955,1.9927359491536094,3.531708329881647e-13,5.102219812080468e-13,0.47549862287271716,2.86992243616118,3.635406628196445e-13,3.264791322874136e-13,1.019769861713328e-12,2.0768743086920325,3.2242098100637013e-13,1.9205468289915606,5.372394309362963e-13
INS_C_1_1,8.972110862487206,4.082580870250145,11.65734536041542,17.497822835623445,18.71806021472765,28.846416089150637,2.943694430800406,11.564676730464889,14.089935098941526,18.093922867442597,49.774996844305356,12.661551573026912,14.513455937006267,12.26548619653297,17.209186523981476
INS_C_1_2,7.230674148405213,0.4711514046874089,8.124296706474556,13.074363732380776,2.1601630545658645,3.3290288404665036,2.977622821316043,17.25598014943899,1.626052961300872,2.088134306762214,5.744297645735868,12.983003527977374,1.6749295038875647,12.07004370598037,1.9860310578011438
INS_C_1_3,20.057323270108984,20.313946144855958,41.29827605793574,29.083154972124735,42.48509910300817,56.771191052638834,22.46285370920587,19.269057502620043,56.949299881798765,37.25628694441527,133.58128992186258,26.91473323586009,45.358644039150974,22.480382723032708,93.3818282504812
INS_C_1_4,96.72842400270507,78.91538957774785,162.92686237414622,171.5813030441242,254.91172518899657,374.47701568288625,62.832676741090616,79.00163859663624,244.58248276787805,238.365980580721,721.3490659798547,122.44070179637248,223.85827199407737,113.05825457383558,349.0132157958741
INS_C_1_5+,447.12502181030135,523.467904050003,1017.9991998732814,583.3745531935228,945.326888305301,1206.906407433066,603.1069651480888,390.84679680253987,1428.6900747899865,804.3206942939892,3105.582983060931,592.3210554933772,1089.5904033892446,470.38811351531314,2429.2246957799343
INS_T_1_0,68.63090319920914,57.85333674278552,128.69592132734707,105.45714305577386,128.5106472911097,174.55424056620714,66.1608993745392,80.75774639160706,164.14167761891218,113.93420019642018,397.360494043914,96.625349227897,133.16418786821382,83.2615825448965,264.79760296238294
INS_T_1_1,28.0431913080685,0.5992894688059951,31.441294009101505,49.58751553004592,0.3347870191860085,0.1013759496865026,12.682977990620477,71.5686123693404,1.4414428126670356,0.14202390391220931,1.871822437815894,52.02251192896396,0.8510846605137914,47.94175735903027,2.8954967783536647
INS_T_1_2,81.00474238952017,14.503554321903138,97.49794490500553,146.61603542327748,54.94940636204499,82.69857483483659,35.54568431292279,173.02593936070232,47.05522640254173,52.24807784340316,150.8187328710336,138.55066010310952,45.4369814880464,128.9196763350668,62.90392785428652
INS_T_1_3,102.83598990443988,82.57365881779346,200.88092687877707,142.8205096557898,124.53264970094392,148.26703001309224,117.76674872474092,156.76629037591073,218.97919214315897,101.25919976750235,434.5069571364105,158.19318015987977,158.8393394432577,131.57032513110642,386.95776878566113
INS_T_1_4,252.95603110095178,310.2988656368099,617.2963858627362,286.7654925886524,425.8480343125948,485.00577655632645,400.9182493994909,266.7716117730726,811.9454463371411,336.62417701080483,1537.9243017838842,354.2272725414932,574.5568761349626,267.9575906005563,1460.5747241053862
INS_T_1_5+,7114.401980751053,13304.741429083635,24518.478064753646,2684.011060672496,7659.368257566582,2639.13699842211,19427.656594709017,7061.187459449019,32060.19272049138,3389.368939467302,42066.930043655964,10265.169310543963,19015.071444724974,5852.750540104382,64247.80106697158
DEL_repeats_2_0,67.81105453295586,13.147745927076354,88.39425867587366,114.35297938404332,19.20512167872659,22.53969775908589,40.87806907912978,157.4573590516892,34.704856895677935,15.473281932312586,67.77971641852811,120.96846833295271,24.960498730700806,109.45626250173424,61.708580436586786
DEL_repeats_2_1,161.00689590610892,82.32062454206732,227.97995836619808,296.955849066267,304.38563194353446,456.53914210079,77.24766674754784,217.95414020887236,265.1316529111246,288.7387326823657,839.1350572568485,232.184497215332,253.91803778123884,218.46895673415696,358.18417243300337
