Mutation type,ColoRect-AdenoCA::MSI-H.S.1,ColoRect-AdenoCA::MSI-H.S.2,ColoRect-AdenoCA::MSI-H.S.3,ColoRect-AdenoCA::MSI-H.S.4,ColoRect-AdenoCA::MSI-H.S.5,ColoRect-AdenoCA::MSI-H.S.6,ColoRect-AdenoCA::MSI-H.S.7,ColoRect-AdenoCA::MSI-H.S.8,ColoRect-AdenoCA::MSI-H.S.9,ColoRect-AdenoCA::MSI-H.S.10,ColoRect-AdenoCA::MSI-H.S.11,ColoRect-AdenoCA::MSI-H.S.12,ColoRect-AdenoCA::MSI-H.S.13,ColoRect-AdenoCA::MSI-H.S.14,ColoRect-AdenoCA::MSI-H.S.15
DEL_C_1_0,15.756644033478437,-59.12915206516428,-87.60312164955698,-48.79733034633472,-185.07165994417466,-330.36485073580616,-7.342533410531189,3.2802365815563803,61.881574264312746,-39.04447235724382,-650.1041906521825,29.249476938797045,431.2243320316474,-26.756008002988864,426.831129913788
DEL_C_1_1,-56.512902900220396,1.0997449516310667,-51.37170679037341,-103.33847880626533,-7.248064192844719,2.246104001587767,-29.05801426321166,-151.63885016257933,-14.038819323606901,-0.4873889253721124,-16.773363656593347,-104.92077638933458,-3.748642558893202,-99.8569006780638,-36.25174997484862
DEL_C_1_2,-54.86240597747755,-0.05592675070912131,-59.056890294635835,-97.91886740021644,-0.2564163015152852,-0.3951633470935503,-23.348134537150184,-140.8351810036201,-0.19301621029192542,-0.24786632419964713,0.31813871457091225,-100.97687780072862,-0.19881796782793665,-94.30865166974381,-0.23574643472393314
DEL_C_1_3,19.977814708388053,-11.822594107083475,-80.57579233283315,-98.18446735307072,-29.667371184552707,-190.90600171051904,2.8568395416049697,-66.19231556001927,-41.65581822150864,-135.74666556372904,-460.6010188474103,142.99953802407958,84.67726848638668,195.93842226338336,-130.44930350129903
DEL_C_1_4,201.57516546437202,-28.858099043857223,-45.269558085315026,-19.215004695196512,97.13137522376883,-269.8516788189847,-0.3881756041918152,212.54051578377323,-166.6275665041013,-220.88817528394094,-200.4255443757479,116.7172146335902,-23.480712400474204,338.682719175177,-85.09360297167046
DEL_C_1_5+,-197.74489296012337,-137.94337809016736,45.69986906997258,769.5566508918444,28.976529525365322,-1366.54511433017,-60.01496706662732,-91.21633525979547,-532.6200157655373,-373.722962759957,-1267.9349353257103,229.9770124950502,1089.483767193276,277.8450454822686,-415.0266720521222
DEL_T_1_0,-334.64022714184716,-91.6765152748689,-317.0165614906284,-135.90094459621218,444.2652459087975,-341.84857649954427,-53.107474991521514,-314.0328054897509,-158.5819210933845,-247.72608644600416,-1187.2876361667306,28.224376551454043,-9.116820220010595,-158.71017999673313,175.46941082741455
DEL_T_1_1,-218.50493252167306,-1.2025440652069848e-13,-239.0930425349303,-389.90821064404196,-3.531708329881647e-13,-5.102219812080468e-13,-93.03832616997512,-561.5426982416648,-3.635406628196445e-13,-3.264791322874136e-13,-1.019769861713328e-12,-406.3711229672288,-3.2242098100637013e-13,-375.78334343206586,-5.372394309362963e-13
DEL_T_1_2,130.83154297491393,-17.46076438401684,-215.3234242056385,-35.80093441320673,-482.9248892328684,-467.4182141947913,-91.92798590316886,-300.9295573296009,-140.1967190948693,12.8987982565518,-699.2162121842391,-201.67895170490578,-74.60509552258299,90.03041674383576,-265.66236322983445
DEL_T_1_3,351.15129781356177,-248.0199012625842,114.28833017125135,-339.84246876391535,119.59373268786521,-431.8456418145852,121.76503901963224,-45.28725772253347,-511.94838788150764,-1002.7955950433657,-3575.0630207694085,910.882990250476,-139.06446620482006,63.26284719913997,-180.8022635643988
