"Mutation type","Ovary-AdenoCA::MSI-H.S.1"
"DEL_C_1_0",48
"DEL_C_1_1",18
"DEL_C_1_2",0
"DEL_C_1_3",37
"DEL_C_1_4",69
"DEL_C_1_5+",171
"DEL_T_1_0",96
"DEL_T_1_1",0
"DEL_T_1_2",135
"DEL_T_1_3",307
"DEL_T_1_4",987
"DEL_T_1_5+",6030
"INS_C_1_0",0
"INS_C_1_1",3
"INS_C_1_2",0
"INS_C_1_3",24
"INS_C_1_4",54
"INS_C_1_5+",334
"INS_T_1_0",59
"INS_T_1_1",0
"INS_T_1_2",8
"INS_T_1_3",23
"INS_T_1_4",87
"INS_T_1_5+",6452
"DEL_repeats_2_0",12
"DEL_repeats_2_1",85
"DEL_repeats_2_2",34
"DEL_repeats_2_3",10
"DEL_repeats_2_4",13
"DEL_repeats_2_5+",0
"DEL_repeats_3_0",1
"DEL_repeats_3_1",190
"DEL_repeats_3_2",60
"DEL_repeats_3_3",12
"DEL_repeats_3_4",0
"DEL_repeats_3_5+",0
"DEL_repeats_4_0",1
"DEL_repeats_4_1",34
"DEL_repeats_4_2",9
"DEL_repeats_4_3",0
"DEL_repeats_4_4",0
"DEL_repeats_4_5+",2
"DEL_repeats_5+_0",0
"DEL_repeats_5+_1",50
"DEL_repeats_5+_2",2
"DEL_repeats_5+_3",0
"DEL_repeats_5+_4",1
"DEL_repeats_5+_5+",0
"INS_repeats_2_0",13
"INS_repeats_2_1",4
"INS_repeats_2_2",9
"INS_repeats_2_3",15
"INS_repeats_2_4",39
"INS_repeats_2_5+",207
"INS_repeats_3_0",1
"INS_repeats_3_1",33
"INS_repeats_3_2",9
"INS_repeats_3_3",1
"INS_repeats_3_4",3
"INS_repeats_3_5+",41
"INS_repeats_4_0",0
"INS_repeats_4_1",30
"INS_repeats_4_2",2
"INS_repeats_4_3",3
"INS_repeats_4_4",4
"INS_repeats_4_5+",42
"INS_repeats_5+_0",0
"INS_repeats_5+_1",18
"INS_repeats_5+_2",6
"INS_repeats_5+_3",9
"INS_repeats_5+_4",4
"INS_repeats_5+_5+",2
"DEL_MH_2_1",10
"DEL_MH_3_1",0
"DEL_MH_3_2",49
"DEL_MH_4_1",4
"DEL_MH_4_2",17
"DEL_MH_4_3",5
"DEL_MH_5+_1",8
"DEL_MH_5+_2",0
"DEL_MH_5+_3",2
"DEL_MH_5+_4",1
"DEL_MH_5+_5+",30
