"Mutation type","Stomach-AdenoCA::MSI-H.S.1","Stomach-AdenoCA::MSI-H.S.2","Stomach-AdenoCA::MSI-H.S.3","Stomach-AdenoCA::MSI-H.S.4","Stomach-AdenoCA::MSI-H.S.5","Stomach-AdenoCA::MSI-H.S.6","Stomach-AdenoCA::MSI-H.S.7","Stomach-AdenoCA::MSI-H.S.8","Stomach-AdenoCA::MSI-H.S.9","Stomach-AdenoCA::MSI-H.S.10"
"DEL_C_1_0",656,50,283,359,429,261,909,143,173,151
"DEL_C_1_1",10,23,16,7,2,8,20,18,18,9
"DEL_C_1_2",1,1,0,0,0,0,1,1,0,1
"DEL_C_1_3",301,124,163,253,191,137,222,276,200,249
"DEL_C_1_4",436,142,272,46,617,615,235,137,206,167
"DEL_C_1_5+",1734,600,763,1327,810,2033,1200,707,742,1264
"DEL_T_1_0",1627,283,94,906,2001,608,1224,900,488,306
"DEL_T_1_1",0,0,0,0,0,0,0,0,0,0
"DEL_T_1_2",298,412,589,855,1380,243,597,287,368,173
"DEL_T_1_3",2822,837,1828,1448,2980,932,3120,614,2245,723
"DEL_T_1_4",3188,2092,2225,6596,7076,5109,3230,2433,7116,2169
"DEL_T_1_5+",65226,80962,20414,86776,80788,54749,48837,49051,88125,19070
"INS_C_1_0",0,0,0,0,0,0,0,0,0,0
"INS_C_1_1",11,9,6,43,28,5,11,13,24,0
"INS_C_1_2",5,0,0,5,5,1,3,2,4,1
"INS_C_1_3",91,33,13,69,56,35,26,34,57,37
"INS_C_1_4",380,87,113,124,685,195,288,467,184,139
"INS_C_1_5+",1462,465,1066,971,905,1114,1044,1198,1363,694
"INS_T_1_0",120,122,158,99,138,141,118,115,82,83
"INS_T_1_1",1,0,1,3,0,0,3,0,1,0
"INS_T_1_2",12,41,40,77,57,110,188,22,26,15
"INS_T_1_3",200,274,108,363,80,153,112,97,190,70
"INS_T_1_4",400,431,294,497,346,1001,414,727,736,406
"INS_T_1_5+",14419,20568,5018,15629,190,16551,11971,9924,32279,21363
"DEL_repeats_2_0",19,15,25,19,14,24,27,13,26,14
"DEL_repeats_2_1",401,284,139,98,269,269,237,374,186,183
"DEL_repeats_2_2",143,73,51,86,298,76,99,222,139,23
"DEL_repeats_2_3",57,50,31,56,165,51,32,28,26,37
"DEL_repeats_2_4",100,33,43,24,90,96,126,49,196,65
"DEL_repeats_2_5+",0,0,0,0,0,0,0,0,0,0
"DEL_repeats_3_0",1,3,0,2,0,4,2,3,9,3
"DEL_repeats_3_1",456,286,267,486,448,317,658,386,291,251
"DEL_repeats_3_2",337,163,119,355,249,241,368,88,188,111
"DEL_repeats_3_3",132,30,34,75,42,22,36,15,16,15
"DEL_repeats_3_4",0,0,0,0,0,0,0,0,0,0
"DEL_repeats_3_5+",0,0,0,0,0,0,0,0,0,0
"DEL_repeats_4_0",6,1,2,3,0,5,5,3,3,6
"DEL_repeats_4_1",228,75,191,122,101,161,113,64,210,93
"DEL_repeats_4_2",67,31,20,23,75,19,78,42,40,9
"DEL_repeats_4_3",0,2,0,1,1,0,0,1,1,1
"DEL_repeats_4_4",0,0,0,0,0,0,0,0,0,0
"DEL_repeats_4_5+",17,6,15,11,9,10,24,6,12,14
"DEL_repeats_5+_0",2,0,0,1,2,5,8,1,2,3
"DEL_repeats_5+_1",500,78,91,269,141,187,439,150,159,139
"DEL_repeats_5+_2",53,23,12,23,39,16,27,35,30,13
"DEL_repeats_5+_3",12,14,7,10,10,18,18,4,4,13
"DEL_repeats_5+_4",14,2,3,3,11,7,10,9,8,5
"DEL_repeats_5+_5+",1,3,1,1,1,2,12,4,5,2
"INS_repeats_2_0",99,21,14,21,17,28,29,19,38,22
"INS_repeats_2_1",24,6,23,42,17,9,39,5,15,17
"INS_repeats_2_2",90,58,46,37,153,61,102,43,102,81
"INS_repeats_2_3",23,32,19,30,84,62,51,30,34,43
"INS_repeats_2_4",357,206,112,138,333,347,248,168,141,159
"INS_repeats_2_5+",2513,1144,1071,970,1663,844,1483,1156,1041,901
"INS_repeats_3_0",2,4,0,5,9,2,4,5,7,5
"INS_repeats_3_1",97,46,30,163,125,68,46,41,52,74
"INS_repeats_3_2",51,15,12,5,40,22,26,17,4,27
"INS_repeats_3_3",1,0,4,1,0,6,5,1,3,2
"INS_repeats_3_4",27,8,5,4,11,19,10,7,11,10
"INS_repeats_3_5+",278,263,172,226,127,221,196,70,179,142
"INS_repeats_4_0",2,1,0,0,2,3,2,2,2,1
"INS_repeats_4_1",57,35,81,192,46,140,104,70,104,62
"INS_repeats_4_2",4,0,1,3,1,4,4,1,2,1
"INS_repeats_4_3",20,6,5,20,17,12,21,7,6,2
"INS_repeats_4_4",22,11,11,24,17,36,24,11,32,11
"INS_repeats_4_5+",273,72,149,149,319,332,200,129,216,60
"INS_repeats_5+_0",0,0,0,0,0,0,0,0,0,0
"INS_repeats_5+_1",65,26,13,61,31,47,58,30,15,38
"INS_repeats_5+_2",4,11,8,2,0,10,6,0,9,5
"INS_repeats_5+_3",15,17,4,10,8,12,20,7,11,9
"INS_repeats_5+_4",2,5,3,2,1,2,7,1,6,1
"INS_repeats_5+_5+",27,5,8,17,11,19,20,24,10,12
"DEL_MH_2_1",16,17,19,32,18,16,27,39,40,24
"DEL_MH_3_1",1,2,1,2,0,2,0,2,5,0
"DEL_MH_3_2",327,51,95,136,435,121,250,275,508,76
"DEL_MH_4_1",13,2,9,6,28,1,14,11,20,3
"DEL_MH_4_2",26,17,23,27,57,55,19,64,26,40
"DEL_MH_4_3",87,22,40,46,41,17,62,62,12,56
"DEL_MH_5+_1",49,42,15,64,20,55,119,14,9,64
"DEL_MH_5+_2",8,7,1,5,15,2,12,4,1,11
"DEL_MH_5+_3",1,5,0,2,5,1,13,3,6,2
"DEL_MH_5+_4",42,44,10,62,60,39,41,15,23,34
"DEL_MH_5+_5+",275,96,145,107,240,168,191,199,282,93
