Mutation type,Stomach-AdenoCA::MSI-H.S.1,Stomach-AdenoCA::MSI-H.S.2,Stomach-AdenoCA::MSI-H.S.3,Stomach-AdenoCA::MSI-H.S.4,Stomach-AdenoCA::MSI-H.S.5,Stomach-AdenoCA::MSI-H.S.6,Stomach-AdenoCA::MSI-H.S.7,Stomach-AdenoCA::MSI-H.S.8,Stomach-AdenoCA::MSI-H.S.9,Stomach-AdenoCA::MSI-H.S.10
DEL_C_1_0,206.93056080941437,-431.5876904226073,87.83472985103418,-157.79595919635824,-207.46212667468023,-68.53025330236682,500.00660332570993,-148.99790727969452,-354.825984373849,20.666650342049564
DEL_C_1_1,-82.14831537719981,3.2823897608268098,-81.97888404754104,-8.610334896935814,-203.51192444104174,-7.623337006724821,-143.20974368210938,8.203125983604057,-12.087938796183476,-25.53894574849673
DEL_C_1_2,-71.97166148854464,0.6918668715802232,-109.24166153708407,-0.33140046737453666,-202.02186890385227,-41.21910737516281,-149.09341620928492,0.8128837703248649,-0.33658695684152745,-39.97473200772729
DEL_C_1_3,34.181653883748254,-164.15517248788922,-66.3473005158283,-43.1130572965414,-215.37951903257283,-266.9834152676807,-68.84752916249255,106.38381795330704,-135.84854310725154,7.297035571513192
DEL_C_1_4,108.42703511625388,-256.1398372784184,-138.15420273863208,-377.0960551843221,49.8384068826914,-207.55500873685287,-135.73139739133183,-102.78675036322386,-236.70825060479996,-295.91752597097604
DEL_C_1_5+,504.2959025985317,-924.436150358948,-287.94043189176773,-288.1657553632192,-1016.8053760567018,-217.22911450811807,14.582165477293984,-209.2417076879292,-960.4556390243404,63.79723075180664
DEL_T_1_0,696.3343017426215,-530.029580320156,-449.0200345299402,41.067009641390996,491.57632131348555,39.65491345614453,192.10584717817574,409.9725204927178,-414.6037183414487,25.9970866712747
DEL_T_1_1,-290.10400450798693,-4.663631884181261e-13,-366.3824694407673,-4.776319059924279e-13,-766.7716608305893,-37.03819444730035,-571.4430800627537,-2.738878751892132e-13,-5.4601298428849e-13,-81.71005574981677
DEL_T_1_2,-591.7257724468783,-306.37542950840873,34.84718155400196,89.15446676831323,-129.94317614546185,-248.46374986026626,-442.70443753510517,-146.60374113412826,-427.062493494935,-77.15201462362899
DEL_T_1_3,923.8701603727541,-1219.8453651036648,943.3159192760243,-747.5494377121427,301.2717884906856,-609.316942249266,1377.9554139641773,-628.5744403644937,-27.15540791161584,56.53957979989377
DEL_T_1_4,-791.7524825985697,-2673.79959099432,437.1527884919542,1501.378609378422,1810.3452296362566,1101.364243196169,-81.61224516843413,-448.9920897865936,1862.6818722617845,444.97577952046004
DEL_T_1_5+,-14.24598703636002,243.28447898199374,-56.53060966263365,-37.839805946234264,-97.5267868033261,-31.198637533307192,-40.531165551808954,33.934584244962025,-47.495300020760624,-25.29024740191744
INS_C_1_0,-1.4826583872693204,-4.663631884181261e-13,-3.5273070074455064,-4.776319059924279e-13,-4.826532779338993,-3.2205024342583366,-3.556735966214628,-2.738878751892132e-13,-5.4601298428849e-13,-2.3685373799844784
INS_C_1_1,-10.555128777359343,-13.493322061932947,-3.8001602309313256,18.808192120206158,-3.3690056693258725,-10.390708747591388,-9.204455107948998,-0.6592441023212565,-0.5704149401537215,-6.075202284308841
