,ID1,ID2,ID4,ID5,ID6,ID8,ID9
Ovary-AdenoCA::S.1,101.0,0.0,0.0,0.0,0.0,321.0,75.0
Ovary-AdenoCA::S.2,0.0,14.0,0.0,0.0,1260.0,450.0,0.0
Ovary-AdenoCA::S.3,181.0,48.0,114.0,70.0,152.0,60.0,83.0
Ovary-AdenoCA::S.4,0.0,59.0,0.0,89.0,94.0,53.0,0.0
Ovary-AdenoCA::S.5,113.0,30.0,0.0,0.0,132.0,195.0,0.0
Ovary-AdenoCA::S.6,0.0,17.0,0.0,47.0,183.0,327.0,0.0
Ovary-AdenoCA::S.7,0.0,14.0,77.0,151.0,476.0,0.0,0.0
Ovary-AdenoCA::S.8,62.0,65.0,0.0,0.0,0.0,22.0,31.0
Ovary-AdenoCA::S.9,65.0,89.0,0.0,0.0,168.0,238.0,66.0
Ovary-AdenoCA::S.10,111.0,14.0,0.0,0.0,359.0,0.0,0.0
Ovary-AdenoCA::S.11,141.0,16.0,37.0,0.0,572.0,0.0,158.0
Ovary-AdenoCA::S.12,32.0,70.0,0.0,0.0,0.0,26.0,21.0
Ovary-AdenoCA::S.13,94.0,0.0,149.0,82.0,144.0,0.0,70.0
Ovary-AdenoCA::S.14,75.0,70.0,0.0,68.0,0.0,277.0,28.0
Ovary-AdenoCA::S.15,10.0,86.0,0.0,40.0,634.0,284.0,0.0
Ovary-AdenoCA::S.16,77.0,0.0,0.0,33.0,0.0,20.0,19.0
Ovary-AdenoCA::S.17,119.0,0.0,0.0,51.0,118.0,70.0,80.0
Ovary-AdenoCA::S.18,69.0,14.0,0.0,0.0,53.0,691.0,94.0
Ovary-AdenoCA::S.19,25.0,0.0,0.0,90.0,96.0,150.0,35.0
Ovary-AdenoCA::S.20,105.0,0.0,0.0,0.0,419.0,0.0,35.0
Ovary-AdenoCA::S.21,53.0,15.0,27.0,0.0,0.0,141.0,163.0
Ovary-AdenoCA::S.22,101.0,32.0,34.0,40.0,7.0,0.0,44.0
Ovary-AdenoCA::S.23,29.0,34.0,28.0,0.0,519.0,142.0,163.0
Ovary-AdenoCA::S.24,207.0,0.0,0.0,247.0,439.0,364.0,0.0
Ovary-AdenoCA::S.25,30.0,45.0,0.0,0.0,176.0,0.0,65.0
Ovary-AdenoCA::S.26,4.0,0.0,91.0,0.0,0.0,0.0,63.0
Ovary-AdenoCA::S.27,50.0,0.0,0.0,0.0,61.0,25.0,174.0
Ovary-AdenoCA::S.28,32.0,98.0,45.0,0.0,20.0,72.0,302.0
Ovary-AdenoCA::S.29,100.0,55.0,149.0,96.0,0.0,21.0,0.0
Ovary-AdenoCA::S.30,28.0,40.0,0.0,201.0,53.0,420.0,72.0
Ovary-AdenoCA::S.31,0.0,0.0,0.0,0.0,83.0,460.0,0.0
Ovary-AdenoCA::S.32,151.0,0.0,0.0,46.0,93.0,44.0,71.0
Ovary-AdenoCA::S.33,42.0,218.0,0.0,0.0,96.0,416.0,99.0
Ovary-AdenoCA::S.34,36.0,0.0,0.0,39.0,76.0,241.0,0.0
Ovary-AdenoCA::S.35,48.0,0.0,71.0,63.0,0.0,229.0,63.0
Ovary-AdenoCA::S.36,54.0,0.0,0.0,54.0,678.0,0.0,0.0
