"Mutation type","ColoRect-AdenoCA::S.1","ColoRect-AdenoCA::S.2","ColoRect-AdenoCA::S.3","ColoRect-AdenoCA::S.4","ColoRect-AdenoCA::S.5","ColoRect-AdenoCA::S.6","ColoRect-AdenoCA::S.7","ColoRect-AdenoCA::S.8","ColoRect-AdenoCA::S.9","ColoRect-AdenoCA::S.10","ColoRect-AdenoCA::S.11","ColoRect-AdenoCA::S.12","ColoRect-AdenoCA::S.13","ColoRect-AdenoCA::S.14","ColoRect-AdenoCA::S.15","ColoRect-AdenoCA::S.16","ColoRect-AdenoCA::S.17","ColoRect-AdenoCA::S.18","ColoRect-AdenoCA::S.19","ColoRect-AdenoCA::S.20","ColoRect-AdenoCA::S.21","ColoRect-AdenoCA::S.22","ColoRect-AdenoCA::S.23","ColoRect-AdenoCA::S.24","ColoRect-AdenoCA::S.25","ColoRect-AdenoCA::S.26","ColoRect-AdenoCA::S.27","ColoRect-AdenoCA::S.28","ColoRect-AdenoCA::S.29","ColoRect-AdenoCA::S.30","ColoRect-AdenoCA::S.31","ColoRect-AdenoCA::S.32","ColoRect-AdenoCA::S.33","ColoRect-AdenoCA::S.34","ColoRect-AdenoCA::S.35","ColoRect-AdenoCA::S.36","ColoRect-AdenoCA::S.37","ColoRect-AdenoCA::S.38","ColoRect-AdenoCA::S.39","ColoRect-AdenoCA::S.40","ColoRect-AdenoCA::S.41","ColoRect-AdenoCA::S.42","ColoRect-AdenoCA::S.43","ColoRect-AdenoCA::S.44","ColoRect-AdenoCA::S.45","ColoRect-AdenoCA::S.46","ColoRect-AdenoCA::S.47","ColoRect-AdenoCA::S.48","ColoRect-AdenoCA::S.49","ColoRect-AdenoCA::S.50","ColoRect-AdenoCA::S.51","ColoRect-AdenoCA::S.52","ColoRect-AdenoCA::S.53","ColoRect-AdenoCA::S.54","ColoRect-AdenoCA::S.55","ColoRect-AdenoCA::S.56","ColoRect-AdenoCA::S.57","ColoRect-AdenoCA::S.58","ColoRect-AdenoCA::S.59","ColoRect-AdenoCA::S.60","ColoRect-AdenoCA::S.61","ColoRect-AdenoCA::S.62","ColoRect-AdenoCA::S.63","ColoRect-AdenoCA::S.64","ColoRect-AdenoCA::S.65","ColoRect-AdenoCA::S.66","ColoRect-AdenoCA::S.67","ColoRect-AdenoCA::S.68","ColoRect-AdenoCA::S.69","ColoRect-AdenoCA::S.70","ColoRect-AdenoCA::S.71","ColoRect-AdenoCA::POLE.S.1","ColoRect-AdenoCA::POLE.S.2","ColoRect-AdenoCA::POLE.S.3","ColoRect-AdenoCA::POLE.S.4","ColoRect-AdenoCA::POLE.S.5","ColoRect-AdenoCA::POLE.S.6","ColoRect-AdenoCA::POLE.S.7","ColoRect-AdenoCA::POLE.S.8","ColoRect-AdenoCA::POLE.S.9","ColoRect-AdenoCA::POLE.S.10","ColoRect-AdenoCA::POLE.S.11","ColoRect-AdenoCA::POLE.S.12","ColoRect-AdenoCA::POLE.S.13","ColoRect-AdenoCA::POLE.S.14"
"DEL_C_1_0",11,6,10,14,19,9,2,5,4,3,2,0,1,6,7,4,3,15,8,7,13,4,8,3,6,3,1,1,1,5,11,2,18,7,3,13,7,28,2,1,12,18,4,2,0,1,0,2,10,2,2,4,1,3,22,5,11,8,3,0,26,1,0,21,3,5,5,4,9,6,2,20,80,15,42,16,7,70,32,22,13,22,13,40,8
"DEL_C_1_1",1,0,3,24,4,13,19,3,0,0,1,0,0,7,9,0,1,1,4,1,15,1,2,0,4,0,0,0,0,7,2,0,23,1,1,4,13,19,0,0,1,12,5,1,0,0,0,1,0,0,1,9,0,1,5,1,3,15,2,1,12,0,0,9,1,12,1,2,0,10,0,1,28,3,1,8,3,2,9,0,7,3,9,10,4
"DEL_C_1_2",0,0,0,16,0,4,4,1,0,0,0,0,0,18,7,0,0,1,0,0,21,0,8,0,11,0,0,0,0,7,0,0,7,0,0,10,5,9,0,0,0,10,4,0,0,0,0,0,0,0,0,15,0,0,9,0,0,8,0,0,18,0,0,14,0,8,0,0,1,12,0,0,2,0,0,1,0,0,0,0,3,0,0,0,0
"DEL_C_1_3",5,3,5,5,4,8,5,0,5,4,1,2,0,16,10,5,7,9,2,4,10,3,19,0,11,2,0,3,5,13,3,2,9,2,4,8,16,10,2,2,0,8,7,3,3,0,2,3,2,2,2,8,2,2,5,1,9,6,1,1,5,1,1,10,3,16,4,3,4,9,5,10,12,13,28,26,21,65,33,60,13,19,59,30,20
"DEL_C_1_4",3,1,11,8,5,4,1,2,5,2,3,0,2,9,5,10,2,18,6,3,3,2,3,2,2,4,4,1,0,4,7,4,4,3,3,2,1,1,0,7,1,2,5,6,0,5,3,4,3,4,6,4,0,2,16,2,6,3,2,3,1,7,4,6,2,7,6,1,2,2,3,4,33,21,33,42,8,44,19,65,13,9,18,27,56
"DEL_C_1_5+",13,19,17,9,14,23,8,9,3,11,7,5,5,11,4,6,6,36,7,13,3,1,4,13,11,8,1,4,13,12,8,6,8,33,14,22,10,9,2,19,19,10,14,8,9,5,6,9,2,9,25,19,16,7,33,2,8,5,2,2,16,7,10,20,10,3,25,3,22,9,9,26,94,59,224,83,52,102,120,124,63,61,73,122,214
"DEL_T_1_0",9,5,25,42,7,21,24,10,7,1,4,3,8,33,35,4,4,44,9,21,24,6,41,10,27,4,2,2,7,84,7,7,56,6,1,32,27,23,2,3,10,41,58,1,2,7,5,7,5,5,0,41,1,3,137,5,27,29,1,3,33,4,2,47,10,65,29,1,27,79,2,26,129,11,66,35,12,33,89,85,60,37,33,75,122
"DEL_T_1_1",0,0,2,33,0,16,22,0,0,0,0,0,0,34,22,0,0,0,0,0,65,0,55,0,55,0,0,0,0,37,1,0,53,0,0,25,72,61,0,0,0,44,37,0,0,0,0,0,1,0,0,14,0,0,21,0,0,11,0,0,48,0,0,17,0,37,0,0,1,29,0,0,8,0,0,0,0,0,1,0,1,0,0,0,0
"DEL_T_1_2",13,12,19,41,18,34,32,2,8,4,2,1,2,14,40,2,6,15,11,13,53,0,119,4,66,4,4,1,3,34,7,2,61,19,5,33,50,71,4,4,12,23,63,7,1,2,2,8,5,6,5,45,5,4,72,3,6,54,4,5,31,5,3,23,6,27,11,1,11,43,2,20,79,23,31,36,24,73,109,17,64,32,18,29,86
"DEL_T_1_3",45,30,68,32,17,29,20,7,23,7,7,6,22,41,48,30,18,40,19,8,21,17,48,30,23,17,8,6,4,74,20,9,25,16,7,55,30,95,8,31,19,69,45,7,2,12,9,16,19,15,8,38,6,10,74,9,21,14,13,9,80,9,11,45,14,74,20,1,51,39,2,49,209,20,167,99,39,221,171,70,94,54,64,274,95
"DEL_T_1_4",48,33,58,54,25,30,29,23,17,32,59,6,25,29,25,101,16,90,35,31,28,53,36,49,43,21,2,13,7,34,80,28,69,60,45,55,64,84,52,33,40,37,62,30,14,21,10,20,32,62,25,80,10,19,52,40,26,43,25,15,27,14,7,54,64,32,83,5,24,68,9,164,192,145,336,191,100,143,210,158,211,75,102,445,235
"DEL_T_1_5+",902,1112,904,610,155,1068,268,30,290,318,324,107,267,914,173,971,457,1580,164,368,151,229,56,482,169,370,88,314,625,416,1706,269,544,1068,293,289,200,504,431,321,382,135,1757,856,778,683,458,2012,736,406,980,758,535,229,611,241,540,136,746,79,120,431,55,1594,340,369,669,153,437,386,371,1643,3953,1306,5183,1580,1341,13086,4517,10064,3991,5294,1104,9563,2946
"INS_C_1_0",217,0,391,0,141,0,0,79,85,0,0,0,0,0,0,0,0,258,460,295,0,0,0,0,0,0,0,0,0,0,299,0,222,0,0,110,0,1036,0,0,0,373,1,0,0,0,0,0,346,0,0,0,0,0,1006,0,400,0,0,0,386,0,0,0,0,2,328,35,245,262,0,0,1127,0,0,0,0,0,546,0,460,0,0,0,0
"INS_C_1_1",4,0,11,2,13,0,1,2,1,0,0,0,0,1,1,0,1,24,7,7,0,0,2,0,0,0,0,0,0,0,10,0,5,1,0,19,0,8,0,0,0,25,0,0,0,0,0,1,3,0,0,0,0,0,18,0,16,1,0,0,10,0,1,1,1,1,14,1,17,13,0,0,147,0,6,0,0,2,10,1,18,0,0,1,0
"INS_C_1_2",0,0,2,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,3,0,0,1,0,0,0,1,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"INS_C_1_3",3,1,1,3,2,2,0,1,2,3,2,0,0,1,0,3,1,5,0,0,1,0,0,1,1,0,0,0,2,2,1,0,3,1,0,1,0,5,0,0,2,1,0,0,0,1,0,2,1,3,1,0,0,2,3,0,0,0,1,1,0,0,1,0,3,1,6,0,0,0,0,5,19,17,9,10,2,4,12,27,14,10,22,7,6
"INS_C_1_4",1,7,14,2,1,4,4,1,1,4,7,1,4,3,1,5,4,3,1,2,3,0,3,9,1,1,3,1,4,4,8,4,2,10,1,3,1,2,2,5,5,1,0,4,2,0,0,5,2,6,2,3,0,2,3,3,2,1,0,0,5,0,7,4,4,4,5,1,2,3,3,23,58,12,27,12,24,30,20,43,8,21,24,27,29
"INS_C_1_5+",31,13,29,19,31,29,23,38,26,21,13,8,18,18,25,28,26,40,7,26,11,8,11,53,25,11,4,9,18,12,38,20,17,21,45,19,19,22,24,28,23,28,10,13,29,10,8,16,7,51,32,11,9,25,26,26,80,9,15,11,16,18,17,4,12,15,51,11,13,4,13,327,154,255,367,150,71,231,176,462,63,173,778,301,136
"INS_T_1_0",4,1,40,7,46,11,4,12,8,2,1,0,3,4,2,3,2,44,13,33,3,0,6,5,2,2,1,0,0,3,9,9,23,0,6,27,6,36,2,0,2,41,2,1,4,1,4,3,15,4,2,4,1,2,43,1,48,2,1,1,20,2,1,6,4,3,32,7,61,21,2,37,200,19,71,27,23,6,66,51,50,19,56,32,6
"INS_T_1_1",1,0,6,9,0,4,5,2,0,0,0,0,0,4,1,0,0,2,1,3,2,0,1,0,9,0,0,0,0,1,2,0,13,0,0,7,1,13,0,0,0,7,3,0,0,0,0,0,5,0,0,2,0,0,8,0,3,4,0,0,6,0,0,4,0,1,2,0,3,18,0,0,23,0,0,1,0,0,1,1,5,0,0,1,0
"INS_T_1_2",3,0,4,16,0,4,0,0,0,1,1,1,0,8,9,0,0,2,2,0,11,0,6,1,14,0,0,0,1,21,0,0,4,0,0,10,13,22,0,0,2,5,10,1,0,0,0,0,1,0,0,5,0,0,13,0,1,2,0,1,16,2,1,13,2,5,3,0,4,5,1,1,7,0,8,3,1,7,3,1,4,8,4,19,16
"INS_T_1_3",1,1,5,15,5,8,9,0,9,2,2,0,1,14,10,5,1,5,10,3,11,3,6,10,8,0,3,3,8,8,9,7,13,3,10,6,12,8,1,13,5,9,6,3,2,3,0,0,3,7,2,4,1,8,7,5,19,14,3,2,11,0,9,24,3,10,1,1,7,17,2,17,19,21,11,14,16,50,21,38,25,29,44,26,33
"INS_T_1_4",12,1,19,23,43,5,10,11,7,12,17,4,6,12,7,12,17,11,10,15,9,6,12,22,23,3,16,14,6,19,11,6,21,9,66,23,17,10,9,29,15,30,8,7,5,13,6,11,7,30,10,14,4,9,14,21,17,13,7,9,18,5,20,10,8,7,13,3,27,12,5,106,281,228,154,179,89,60,268,277,93,95,151,98,65
"INS_T_1_5+",346,415,792,553,876,1041,946,911,432,431,404,441,237,559,855,706,166,1006,304,334,217,183,531,1351,1316,42,986,410,346,361,693,634,870,73,337,354,873,697,478,545,679,903,275,565,366,501,236,294,178,2438,142,370,135,1096,922,812,1128,219,196,262,448,409,370,171,264,505,1555,205,966,241,353,3552,10392,4499,5183,5213,2091,2161,6012,10113,4576,3816,1203,2439,1711
"DEL_repeats_2_0",1,0,1,12,2,6,7,0,0,0,0,0,1,4,5,1,4,3,1,0,12,0,15,2,4,0,0,0,0,7,1,0,10,0,3,9,16,10,0,0,2,10,0,0,1,1,2,1,0,1,0,6,0,4,10,1,2,14,0,1,13,0,0,11,0,9,0,0,0,27,1,4,9,8,8,1,4,7,5,17,5,4,8,8,3
"DEL_repeats_2_1",0,6,14,20,4,9,6,2,4,0,2,0,3,21,16,6,4,13,2,2,13,3,16,3,8,1,4,1,7,5,18,0,20,4,1,17,10,25,1,1,2,13,14,2,0,2,1,0,2,2,4,6,3,4,17,4,4,30,1,2,22,2,5,28,3,10,4,4,13,15,0,20,93,27,41,4,7,22,15,49,23,20,16,36,40
"DEL_repeats_2_2",3,0,5,2,4,3,2,0,2,0,2,0,1,1,2,1,6,10,1,4,3,0,6,3,2,2,0,0,0,2,3,1,6,3,2,8,2,5,2,3,3,3,5,1,0,0,0,1,2,2,0,7,0,3,6,0,6,3,0,0,3,2,0,1,3,2,3,0,3,2,0,12,22,5,12,16,2,11,20,16,19,12,6,10,17
"DEL_repeats_2_3",2,1,3,2,2,0,1,0,0,1,2,1,1,1,0,1,1,0,0,1,0,0,0,2,0,0,2,0,0,2,2,0,2,2,1,2,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,4,0,0,1,0,4,2,2,0,0,1,1,5,0,0,0,1,5,7,6,21,6,4,9,19,24,8,9,4,7,14
"DEL_repeats_2_4",2,0,0,3,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,1,2,1,1,0,0,0,0,0,0,0,0,1,3,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,1,2,0,3,3,2,19,7,3,8,2,2,2,1,1,2,1
"DEL_repeats_2_5+",0,0,0,4,0,4,3,0,0,0,0,0,0,1,4,0,0,0,0,0,7,0,7,0,6,0,0,0,0,4,0,0,12,0,0,7,25,5,0,0,0,5,4,0,0,0,0,0,0,0,0,6,0,0,4,0,0,3,0,0,4,0,0,3,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEL_repeats_3_0",1,0,0,5,1,1,2,1,0,0,0,0,0,6,8,0,0,1,3,3,5,0,4,0,4,0,0,0,0,3,0,0,8,0,0,5,0,7,0,0,0,6,3,0,0,0,0,0,2,0,0,4,0,1,6,0,0,2,0,0,3,0,0,9,0,5,3,1,0,4,0,0,3,0,0,1,0,2,2,1,0,1,0,2,1
"DEL_repeats_3_1",5,1,10,12,11,6,16,8,7,5,14,1,9,3,4,11,7,16,10,0,8,0,4,10,1,5,11,5,2,7,5,11,8,14,10,12,7,10,5,5,3,15,5,4,6,0,1,5,6,9,5,7,4,17,13,11,8,6,1,8,15,7,4,9,5,9,12,1,15,10,0,26,57,18,106,51,18,81,39,88,49,44,45,48,79
"DEL_repeats_3_2",1,1,11,0,2,6,1,1,2,3,1,0,1,2,1,4,3,3,6,1,0,2,1,2,6,0,1,0,2,0,5,2,3,2,1,2,1,0,0,1,3,5,1,1,1,4,1,3,2,3,5,4,1,8,0,3,3,0,1,1,1,2,1,4,0,1,3,0,1,2,0,4,19,11,57,29,7,41,10,9,12,21,11,16,17
"DEL_repeats_3_3",2,0,1,1,1,0,1,1,0,1,0,0,0,1,0,2,1,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,2,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,3,1,1,0,0,0,0,4,2,4,5,2,3,7,6,6,10,4,7,14,2
"DEL_repeats_3_4",0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,4,0,5,0,0,0,0,1,0,0,1,0,0,1,2,3,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3,0,0,1,0,0,4,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEL_repeats_3_5+",0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,4,0,0,0,0,3,0,0,4,0,0,3,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,3,0,0,9,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEL_repeats_4_0",1,0,1,12,0,1,2,0,0,0,0,0,0,4,2,0,0,0,0,1,9,0,3,0,2,0,0,0,0,5,0,0,6,1,0,4,1,5,0,0,1,0,6,0,0,0,0,0,0,0,0,1,0,0,10,0,0,7,0,0,12,0,0,2,1,6,1,0,0,6,0,1,4,2,2,2,2,1,0,1,0,0,3,1,0
"DEL_repeats_4_1",3,2,3,6,4,3,2,1,2,0,1,1,1,6,1,3,0,4,0,1,1,1,3,2,1,1,6,1,1,0,6,3,3,2,0,2,4,4,0,2,3,0,1,2,0,1,0,1,1,5,2,2,1,0,1,3,1,2,0,2,4,6,1,3,0,2,5,0,1,1,0,6,22,11,46,23,3,18,23,11,14,11,12,16,19
"DEL_repeats_4_2",2,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,2,0,0,2,0,0,0,2,0,9,0,13,1,2,3,5,3,2,1,0,2,4
"DEL_repeats_4_3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,3,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"DEL_repeats_4_4",0,0,0,4,0,0,2,0,0,0,0,0,0,3,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,5,5,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEL_repeats_4_5+",0,0,1,1,0,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,3,0,0,0,1,2,0,0,1,0,1,2,1,3,0,1,0,1,1,2
"DEL_repeats_5+_0",4,0,11,5,7,5,1,1,1,0,1,0,0,7,3,0,0,2,1,3,12,0,20,0,3,0,0,0,0,12,1,0,29,0,0,15,5,20,0,0,0,6,2,0,0,0,0,0,0,0,0,9,0,0,17,0,3,2,0,0,16,0,0,14,1,21,9,1,5,12,0,0,18,0,0,0,1,0,4,0,5,0,0,0,0
"DEL_repeats_5+_1",2,1,3,7,1,5,1,2,1,0,0,1,0,1,0,7,0,7,2,1,1,5,1,1,2,1,0,1,0,0,11,1,3,14,8,0,0,1,3,0,3,4,1,1,0,1,0,4,1,5,2,3,0,0,3,3,1,0,0,1,1,6,2,5,3,1,1,0,0,0,0,4,4,0,32,6,4,18,7,21,9,7,11,6,9
"DEL_repeats_5+_2",0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,3,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,2,1,0,0,0,2,0,0,1,0,0,1,2,0,3,0,1,3,6,3,2,2,1,7,4
"DEL_repeats_5+_3",0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,1
"DEL_repeats_5+_4",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1
"DEL_repeats_5+_5+",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INS_repeats_2_0",13,0,36,3,7,3,0,8,6,1,0,0,1,1,2,0,1,12,7,13,2,0,0,0,3,0,1,0,0,2,5,2,9,1,1,29,6,92,0,0,0,19,1,1,0,1,1,2,4,1,0,6,0,0,9,3,9,3,1,1,10,0,1,5,1,4,28,13,8,15,1,5,106,6,5,7,2,2,37,7,36,1,2,4,4
"INS_repeats_2_1",0,0,1,7,0,10,5,1,0,1,0,0,1,8,12,0,0,2,0,0,4,0,16,0,4,0,0,0,0,6,0,0,9,0,0,5,9,7,0,0,0,7,8,0,2,2,0,0,0,0,0,4,0,0,3,0,0,4,0,0,18,0,0,6,0,8,0,0,0,3,0,2,2,0,0,1,1,0,0,0,1,0,2,1,1
"INS_repeats_2_2",1,0,5,7,1,4,2,2,0,1,1,0,0,4,2,0,0,3,1,2,3,0,3,1,5,0,0,0,0,7,3,1,4,1,1,7,1,5,1,0,1,2,0,1,0,3,1,2,1,0,1,5,0,0,3,2,1,2,1,2,10,0,0,4,2,4,2,1,1,3,0,6,9,4,6,5,2,10,9,11,2,6,4,13,4
"INS_repeats_2_3",2,0,4,2,1,1,1,1,0,0,1,0,2,0,1,0,1,6,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0,3,2,1,3,0,0,1,0,0,0,0,0,0,1,1,2,1,1,1,4,1,0,0,1,1,0,1,0,2,3,0,0,0,0,1,2,0,3,13,11,4,9,4,3,8,5,4,3,6,7,3
"INS_repeats_2_4",3,1,12,6,6,3,3,2,4,2,2,0,5,2,3,3,8,6,5,5,0,2,0,3,9,2,3,5,3,3,4,3,3,2,5,1,3,1,0,2,0,3,2,1,3,3,2,5,3,3,1,3,2,7,13,3,14,0,2,3,7,5,6,2,2,2,7,0,10,3,0,13,33,12,21,36,48,24,23,51,27,28,37,33,27
"INS_repeats_2_5+",26,14,12,22,17,29,14,32,17,6,40,8,6,20,24,60,20,35,16,6,12,6,26,65,15,15,31,4,4,8,43,23,15,29,45,19,21,8,12,32,27,27,20,24,7,20,9,18,7,41,28,19,9,22,30,21,20,10,20,32,5,7,17,15,31,16,27,8,26,12,12,150,139,52,239,147,150,313,234,374,88,153,101,258,230
"INS_repeats_3_0",6,0,19,0,6,2,1,1,2,0,0,0,0,2,1,0,0,5,3,1,2,0,0,0,2,0,0,0,0,1,0,0,6,0,0,6,0,18,0,0,0,7,0,0,0,0,0,0,12,0,0,1,0,0,6,0,13,0,0,0,6,0,0,2,0,0,3,1,9,3,0,0,31,0,0,2,0,1,5,2,3,0,0,0,0
"INS_repeats_3_1",3,1,5,5,0,1,4,1,2,2,1,0,2,2,5,1,1,7,3,0,2,0,4,3,6,3,0,0,0,4,1,0,10,0,1,4,3,7,0,0,1,3,4,2,1,1,1,1,6,2,1,10,1,1,6,4,1,4,0,0,2,3,0,3,1,5,4,0,5,3,0,2,13,1,25,3,1,13,8,7,5,7,4,10,8
"INS_repeats_3_2",1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,4,0,1,0,0,0,0,1,0,2,2,0,4,0,2,1,0,0,3,0
"INS_repeats_3_3",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,6,0,0,1,0,4,2,1,1,1,4,1,1
"INS_repeats_3_4",1,1,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,2,1,1,3,1,1,1,0,2
"INS_repeats_3_5+",3,3,7,2,4,3,0,1,1,3,0,1,2,1,1,4,0,9,0,1,1,2,3,4,0,0,0,3,7,1,5,1,1,4,3,2,0,5,1,6,3,4,2,2,3,3,2,6,2,2,5,1,0,2,3,2,5,1,1,2,6,2,0,4,1,0,3,3,3,4,2,6,10,14,20,16,8,22,9,33,15,15,28,32,16
"INS_repeats_4_0",4,0,2,3,6,0,0,2,0,0,0,0,0,2,0,0,0,2,4,4,0,0,0,0,4,0,0,0,0,1,2,0,5,0,0,3,1,13,0,0,0,19,2,0,0,0,0,0,5,0,0,0,0,0,4,0,5,0,0,0,6,0,0,3,0,1,6,3,14,5,0,0,39,0,1,0,0,0,4,0,5,0,0,0,0
"INS_repeats_4_1",5,0,10,1,3,5,3,1,3,0,0,0,1,0,2,1,1,4,2,2,0,0,1,0,3,1,1,2,0,0,5,2,3,2,3,2,1,4,0,1,0,3,0,1,4,0,1,2,1,1,0,3,1,0,6,3,7,0,0,1,2,0,0,3,1,2,1,1,2,5,0,14,10,3,11,8,9,7,22,18,9,16,17,8,8
"INS_repeats_4_2",0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
"INS_repeats_4_3",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,2,0,2,0,0,3,6,2,5,6,4,2,4,3,4,0,3,1,3
"INS_repeats_4_4",2,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,2,4,1,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,5,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,5,9,6,9,2,4,2,6,4,5,3,3,2,4
"INS_repeats_4_5+",3,6,1,2,1,2,0,2,3,1,1,0,1,2,3,2,0,5,0,0,1,0,2,1,2,3,3,2,3,5,2,0,3,1,0,0,3,0,2,1,6,1,3,3,2,1,0,3,2,4,4,3,1,1,3,2,5,0,1,1,4,1,2,5,1,2,3,0,0,1,2,7,14,3,39,4,4,17,18,34,6,15,15,25,12
