MutationType	Kidney-RCC::MSI-H.S.1
1:Del:C:0	29
1:Del:C:1	5
1:Del:C:2	0
1:Del:C:3	24
1:Del:C:4	23
1:Del:C:5	161
1:Del:T:0	36
1:Del:T:1	0
1:Del:T:2	55
1:Del:T:3	285
1:Del:T:4	710
1:Del:T:5	7812
1:Ins:C:0	0
1:Ins:C:1	1
1:Ins:C:2	0
1:Ins:C:3	8
1:Ins:C:4	48
1:Ins:C:5	244
1:Ins:T:0	8
1:Ins:T:1	0
1:Ins:T:2	0
1:Ins:T:3	23
1:Ins:T:4	125
1:Ins:T:5	3227
2:Del:R:0	4
2:Del:R:1	47
2:Del:R:2	26
2:Del:R:3	9
2:Del:R:4	13
2:Del:R:5	0
3:Del:R:0	0
3:Del:R:1	42
3:Del:R:2	23
3:Del:R:3	2
3:Del:R:4	0
3:Del:R:5	0
4:Del:R:0	1
4:Del:R:1	15
4:Del:R:2	5
4:Del:R:3	0
4:Del:R:4	0
4:Del:R:5	5
5:Del:R:0	2
5:Del:R:1	37
5:Del:R:2	7
5:Del:R:3	2
5:Del:R:4	0
5:Del:R:5	0
2:Ins:R:0	5
2:Ins:R:1	0
2:Ins:R:2	18
2:Ins:R:3	2
2:Ins:R:4	31
2:Ins:R:5	160
3:Ins:R:0	2
3:Ins:R:1	18
3:Ins:R:2	2
3:Ins:R:3	0
3:Ins:R:4	2
3:Ins:R:5	34
4:Ins:R:0	0
4:Ins:R:1	8
4:Ins:R:2	0
4:Ins:R:3	1
4:Ins:R:4	1
4:Ins:R:5	19
5:Ins:R:0	0
5:Ins:R:1	9
5:Ins:R:2	3
5:Ins:R:3	0
5:Ins:R:4	0
5:Ins:R:5	0
2:Del:M:1	8
3:Del:M:1	0
3:Del:M:2	65
4:Del:M:1	5
4:Del:M:2	8
4:Del:M:3	8
5:Del:M:1	2
5:Del:M:2	0
5:Del:M:3	0
5:Del:M:4	5
5:Del:M:5	31
