MutationType	Lung-AdenoCA::S.1	Lung-AdenoCA::S.2	Lung-AdenoCA::S.3	Lung-AdenoCA::S.4	Lung-AdenoCA::S.5	Lung-AdenoCA::S.6	Lung-AdenoCA::S.7	Lung-AdenoCA::S.8	Lung-AdenoCA::S.9	Lung-AdenoCA::S.10	Lung-AdenoCA::S.11	Lung-AdenoCA::S.12	Lung-AdenoCA::S.13	Lung-AdenoCA::S.14	Lung-AdenoCA::S.15	Lung-AdenoCA::S.16	Lung-AdenoCA::S.17	Lung-AdenoCA::S.18	Lung-AdenoCA::S.19	Lung-AdenoCA::S.20	Lung-AdenoCA::S.21	Lung-AdenoCA::S.22	Lung-AdenoCA::S.23	Lung-AdenoCA::S.24	Lung-AdenoCA::S.25	Lung-AdenoCA::S.26	Lung-AdenoCA::S.27	Lung-AdenoCA::S.28	Lung-AdenoCA::S.29	Lung-AdenoCA::S.30	Lung-AdenoCA::S.31	Lung-AdenoCA::S.32	Lung-AdenoCA::S.33	Lung-AdenoCA::S.34	Lung-AdenoCA::S.35	Lung-AdenoCA::S.36	Lung-AdenoCA::S.37	Lung-AdenoCA::S.38	Lung-AdenoCA::S.39	Lung-AdenoCA::S.40	Lung-AdenoCA::S.41	Lung-AdenoCA::S.42	Lung-AdenoCA::S.43	Lung-AdenoCA::S.44	Lung-AdenoCA::S.45	Lung-AdenoCA::S.46	Lung-AdenoCA::S.47	Lung-AdenoCA::S.48	Lung-AdenoCA::S.49	Lung-AdenoCA::S.50	Lung-AdenoCA::S.51	Lung-AdenoCA::S.52	Lung-AdenoCA::S.53	Lung-AdenoCA::S.54	Lung-AdenoCA::S.55	Lung-AdenoCA::S.56	Lung-AdenoCA::S.57	Lung-AdenoCA::S.58	Lung-AdenoCA::S.59	Lung-AdenoCA::S.60	Lung-AdenoCA::S.61	Lung-AdenoCA::S.62	Lung-AdenoCA::S.63	Lung-AdenoCA::S.64	Lung-AdenoCA::S.65	Lung-AdenoCA::S.66	Lung-AdenoCA::S.67	Lung-AdenoCA::S.68	Lung-AdenoCA::S.69	Lung-AdenoCA::S.70	Lung-AdenoCA::S.71	Lung-AdenoCA::S.72	Lung-AdenoCA::S.73	Lung-AdenoCA::S.74	Lung-AdenoCA::S.75	Lung-AdenoCA::S.76	Lung-AdenoCA::S.77	Lung-AdenoCA::S.78	Lung-AdenoCA::S.79	Lung-AdenoCA::S.80	Lung-AdenoCA::S.81	Lung-AdenoCA::S.82	Lung-AdenoCA::S.83	Lung-AdenoCA::S.84	Lung-AdenoCA::S.85	Lung-AdenoCA::S.86	Lung-AdenoCA::S.87	Lung-AdenoCA::S.88	Lung-AdenoCA::S.89	Lung-AdenoCA::S.90	Lung-AdenoCA::S.91	Lung-AdenoCA::S.92	Lung-AdenoCA::S.93	Lung-AdenoCA::S.94	Lung-AdenoCA::S.95	Lung-AdenoCA::S.96	Lung-AdenoCA::S.97	Lung-AdenoCA::S.98	Lung-AdenoCA::S.99	Lung-AdenoCA::S.100
1:Del:C:0	49	5	167	7	658	57	30	347	91	3	16	30	180	231	141	1	513	41	12	56	4	7	174	502	44	61	150	5	1	684	159	294	134	141	83	350	48	200	11	12	3	43	165	77	21	13	343	111	197	334	133	84	64	15	14	12	0	55	22	38	30	47	32	354	57	43	127	1	32	80	25	14	30	16	30	168	231	12	53	5	6	13	173	158	97	70	596	27	96	504	61	187	130	106	253	22	6	95	177	352
1:Del:C:1	48	6	406	41	419	25	24	638	163	6	27	30	220	101	37	1	693	73	23	7	0	1	627	1003	122	48	347	11	2	656	237	87	257	289	377	191	248	276	6	10	25	86	279	28	14	19	520	676	1343	468	350	174	19	26	31	56	2	59	24	49	20	127	56	550	130	94	13	1	75	206	23	67	5	109	13	196	60	15	22	18	12	45	581	119	140	130	502	47	267	545	52	534	650	257	587	19	10	91	223	591
1:Del:C:2	37	6	409	23	339	12	38	629	97	1	45	40	446	137	5	0	319	115	11	2	3	8	450	214	126	100	245	67	0	968	306	179	207	236	88	375	385	52	28	19	21	58	59	10	26	15	512	367	457	291	258	159	46	43	30	23	0	35	20	39	16	113	45	650	85	79	6	2	8	89	14	22	2	16	6	80	43	14	58	3	14	34	425	37	181	111	352	33	207	49	12	242	245	139	344	8	19	125	251	243
1:Del:C:3	15	6	129	4	226	3	19	267	84	1	5	7	93	225	10	2	67	31	10	2	1	7	67	158	15	37	54	1	0	112	75	119	69	77	54	48	110	118	12	4	8	11	41	9	11	2	221	111	301	75	59	92	5	15	12	15	0	24	2	14	7	31	27	504	10	35	6	3	12	65	14	17	3	9	4	42	8	0	31	4	4	9	231	14	121	51	179	22	31	106	12	187	93	67	104	2	6	123	82	47
1:Del:C:4	9	3	171	9	247	4	10	160	37	0	3	14	89	110	4	0	53	16	0	1	0	4	87	115	4	7	52	11	0	170	90	42	4	53	36	131	92	58	4	1	1	16	22	7	4	2	292	120	154	46	22	45	3	11	9	2	0	34	1	5	18	30	7	105	26	25	7	1	1	29	2	6	3	8	2	25	7	0	6	0	0	11	60	17	73	47	126	5	29	116	6	152	36	38	48	1	0	71	31	181
1:Del:C:5	4	4	14	1	141	4	7	160	9	0	2	11	39	23	1	5	89	18	4	0	1	2	68	57	4	3	15	3	3	157	20	43	25	34	9	53	39	27	1	2	3	5	49	3	3	1	91	33	69	85	19	77	2	3	4	2	1	8	2	16	4	5	3	109	11	11	3	0	10	5	4	8	5	2	0	8	4	0	7	1	1	2	43	13	11	18	27	4	20	51	2	11	39	42	48	2	2	37	52	70
1:Del:T:0	25	3	94	6	87	45	47	158	54	10	27	26	61	104	65	3	210	48	33	5	16	31	103	298	48	22	44	7	1	79	115	19	56	22	56	65	98	46	3	48	17	58	76	37	19	4	177	76	254	131	33	76	36	54	11	31	4	31	22	20	5	120	160	251	34	43	37	14	4	12	19	13	16	1	13	51	59	26	13	18	35	82	109	98	49	41	200	54	48	159	22	130	36	58	48	13	33	38	101	183
1:Del:T:1	22	2	40	3	28	46	32	38	11	5	33	22	6	73	57	1	204	59	21	7	6	50	38	55	37	4	30	7	0	101	48	35	30	20	3	60	35	35	6	29	13	47	54	56	38	3	61	50	121	45	37	19	26	13	14	38	1	67	25	12	1	39	56	102	1	42	39	13	2	10	19	11	17	3	19	50	36	9	8	35	34	20	52	47	14	20	76	69	40	60	14	44	46	43	21	0	24	13	35	76
1:Del:T:2	18	0	50	2	22	62	49	41	9	16	32	15	40	37	77	0	158	27	9	10	2	40	77	70	33	7	25	6	0	56	137	23	48	38	24	104	45	52	8	7	13	24	41	47	30	25	56	82	85	48	35	12	28	31	24	26	0	50	44	6	4	18	95	60	4	75	49	3	4	20	22	10	11	2	16	46	45	19	4	25	25	38	50	47	14	74	111	30	35	115	21	58	36	44	20	9	48	32	60	69
1:Del:T:3	22	0	48	2	81	23	32	125	15	5	13	14	19	34	45	1	70	29	12	8	11	6	65	95	75	7	23	14	0	82	84	44	71	14	29	63	52	51	5	28	29	30	64	53	24	60	57	77	91	51	17	37	47	68	25	42	2	31	17	5	11	77	111	154	12	43	58	27	5	19	18	7	14	1	33	23	34	5	12	24	41	47	34	107	8	44	83	39	12	97	55	70	32	79	40	21	25	22	35	87
