MutationType	Skin-Melanoma::MSI-H.S.1
1:Del:C:0	79
1:Del:C:1	3
1:Del:C:2	0
1:Del:C:3	36
1:Del:C:4	40
1:Del:C:5	216
1:Del:T:0	69
1:Del:T:1	0
1:Del:T:2	47
1:Del:T:3	327
1:Del:T:4	143
1:Del:T:5	12962
1:Ins:C:0	0
1:Ins:C:1	1
1:Ins:C:2	0
1:Ins:C:3	10
1:Ins:C:4	30
1:Ins:C:5	271
1:Ins:T:0	17
1:Ins:T:1	1
1:Ins:T:2	5
1:Ins:T:3	75
1:Ins:T:4	341
1:Ins:T:5	15065
2:Del:R:0	3
2:Del:R:1	16
2:Del:R:2	20
2:Del:R:3	8
2:Del:R:4	6
2:Del:R:5	0
3:Del:R:0	1
3:Del:R:1	109
3:Del:R:2	28
3:Del:R:3	8
3:Del:R:4	0
3:Del:R:5	0
4:Del:R:0	0
4:Del:R:1	27
4:Del:R:2	5
4:Del:R:3	0
4:Del:R:4	0
4:Del:R:5	5
5:Del:R:0	0
5:Del:R:1	20
5:Del:R:2	10
5:Del:R:3	2
5:Del:R:4	1
5:Del:R:5	0
2:Ins:R:0	2
2:Ins:R:1	5
2:Ins:R:2	6
2:Ins:R:3	6
2:Ins:R:4	73
2:Ins:R:5	177
3:Ins:R:0	1
3:Ins:R:1	20
3:Ins:R:2	1
3:Ins:R:3	2
3:Ins:R:4	1
3:Ins:R:5	29
4:Ins:R:0	0
4:Ins:R:1	11
4:Ins:R:2	2
4:Ins:R:3	2
4:Ins:R:4	7
4:Ins:R:5	23
5:Ins:R:0	0
5:Ins:R:1	27
5:Ins:R:2	1
5:Ins:R:3	7
5:Ins:R:4	0
5:Ins:R:5	1
2:Del:M:1	25
3:Del:M:1	1
3:Del:M:2	39
4:Del:M:1	4
4:Del:M:2	3
4:Del:M:3	4
5:Del:M:1	3
5:Del:M:2	0
5:Del:M:3	1
5:Del:M:4	6
5:Del:M:5	26
