MutationType	Stomach-AdenoCA::S.1	Stomach-AdenoCA::S.2	Stomach-AdenoCA::S.3	Stomach-AdenoCA::S.4	Stomach-AdenoCA::S.5	Stomach-AdenoCA::S.6	Stomach-AdenoCA::S.7	Stomach-AdenoCA::S.8	Stomach-AdenoCA::S.9	Stomach-AdenoCA::S.10	Stomach-AdenoCA::S.11	Stomach-AdenoCA::S.12	Stomach-AdenoCA::S.13	Stomach-AdenoCA::S.14	Stomach-AdenoCA::S.15	Stomach-AdenoCA::S.16	Stomach-AdenoCA::S.17	Stomach-AdenoCA::S.18	Stomach-AdenoCA::S.19	Stomach-AdenoCA::S.20	Stomach-AdenoCA::S.21	Stomach-AdenoCA::S.22	Stomach-AdenoCA::S.23	Stomach-AdenoCA::S.24	Stomach-AdenoCA::S.25	Stomach-AdenoCA::S.26	Stomach-AdenoCA::S.27	Stomach-AdenoCA::S.28	Stomach-AdenoCA::S.29	Stomach-AdenoCA::S.30	Stomach-AdenoCA::S.31	Stomach-AdenoCA::S.32	Stomach-AdenoCA::S.33	Stomach-AdenoCA::S.34	Stomach-AdenoCA::S.35	Stomach-AdenoCA::S.36	Stomach-AdenoCA::S.37	Stomach-AdenoCA::S.38	Stomach-AdenoCA::S.39	Stomach-AdenoCA::S.40	Stomach-AdenoCA::S.41	Stomach-AdenoCA::S.42	Stomach-AdenoCA::S.43	Stomach-AdenoCA::S.44	Stomach-AdenoCA::S.45	Stomach-AdenoCA::S.46	Stomach-AdenoCA::S.47	Stomach-AdenoCA::S.48	Stomach-AdenoCA::S.49	Stomach-AdenoCA::S.50	Stomach-AdenoCA::S.51	Stomach-AdenoCA::S.52	Stomach-AdenoCA::S.53	Stomach-AdenoCA::S.54	Stomach-AdenoCA::S.55	Stomach-AdenoCA::S.56	Stomach-AdenoCA::S.57	Stomach-AdenoCA::S.58	Stomach-AdenoCA::S.59	Stomach-AdenoCA::S.60	Stomach-AdenoCA::S.61	Stomach-AdenoCA::S.62	Stomach-AdenoCA::S.63	Stomach-AdenoCA::S.64	Stomach-AdenoCA::S.65	Stomach-AdenoCA::S.66	Stomach-AdenoCA::S.67	Stomach-AdenoCA::S.68	Stomach-AdenoCA::S.69	Stomach-AdenoCA::S.70	Stomach-AdenoCA::S.71	Stomach-AdenoCA::S.72	Stomach-AdenoCA::S.73	Stomach-AdenoCA::S.74	Stomach-AdenoCA::S.75	Stomach-AdenoCA::S.76	Stomach-AdenoCA::S.77	Stomach-AdenoCA::S.78	Stomach-AdenoCA::S.79	Stomach-AdenoCA::S.80	Stomach-AdenoCA::S.81	Stomach-AdenoCA::S.82	Stomach-AdenoCA::S.83	Stomach-AdenoCA::S.84	Stomach-AdenoCA::S.85	Stomach-AdenoCA::S.86	Stomach-AdenoCA::S.87	Stomach-AdenoCA::S.88	Stomach-AdenoCA::S.89	Stomach-AdenoCA::S.90
1:Del:C:0	10	33	23	0	12	16	4	1	3	29	2	3	16	1	2	12	6	4	10	17	0	6	1	23	15	0	16	6	14	9	0	6	3	11	1	2	1	10	1	12	8	4	1	8	8	8	0	55	1	2	16	20	19	1	26	2	0	9	10	13	26	34	6	2	5	6	15	14	0	14	28	1	10	7	11	10	3	6	3	38	1	31	5	13	51	7	8	87	5	4
1:Del:C:1	18	14	13	6	3	13	1	0	11	12	0	0	5	0	8	7	8	10	4	0	0	1	2	7	8	0	12	6	13	7	1	6	0	19	1	2	1	9	17	14	4	14	1	16	1	7	0	10	1	1	2	8	26	2	30	0	0	7	12	4	6	5	4	10	9	9	4	11	0	10	2	2	3	7	0	1	0	8	7	7	4	12	11	12	18	3	10	51	8	13
1:Del:C:2	9	22	6	2	5	6	13	0	8	13	0	0	24	0	4	7	4	6	2	1	0	1	1	0	11	0	12	11	5	14	1	10	0	7	0	10	0	10	24	5	9	9	0	10	0	8	0	10	0	2	6	4	32	0	14	0	0	3	3	1	44	1	6	5	4	6	6	12	0	3	1	2	3	4	2	0	0	5	0	6	7	18	7	15	20	7	14	18	7	3
1:Del:C:3	1	3	2	13	5	13	6	0	0	7	0	1	9	2	3	4	4	3	0	2	2	9	2	4	7	0	8	7	2	6	2	1	0	2	4	6	4	1	11	10	5	3	3	0	4	1	3	16	0	0	2	4	5	6	16	1	0	1	6	14	5	1	3	5	3	7	7	9	1	10	3	2	0	3	1	2	0	2	2	7	4	10	10	4	2	16	5	7	10	5
1:Del:C:4	2	9	5	2	10	4	5	0	0	7	2	3	1	4	1	1	1	2	6	5	5	2	2	2	2	0	1	2	7	6	0	3	1	0	2	2	3	1	13	5	0	7	1	6	4	1	0	8	0	0	2	8	4	0	2	0	0	2	5	5	6	5	2	0	2	1	1	7	0	6	1	1	12	2	5	10	0	2	1	1	1	2	0	7	3	4	1	10	7	5
1:Del:C:5	5	12	9	2	34	7	6	4	2	14	2	7	12	6	5	1	10	1	2	3	2	6	1	15	1	1	3	7	27	5	2	19	5	2	10	7	1	4	6	6	4	11	12	10	34	3	4	10	2	0	8	6	10	12	3	16	4	5	29	26	4	12	5	25	0	4	13	5	0	18	2	3	16	8	12	15	3	6	3	7	0	8	4	25	6	9	8	10	13	5
1:Del:T:0	21	49	68	42	20	45	20	1	24	50	2	0	26	2	20	42	35	8	10	0	7	17	17	28	51	1	30	25	32	51	6	30	2	24	3	15	8	25	17	65	47	38	4	43	13	29	0	39	1	1	12	58	34	2	36	4	0	70	37	21	54	64	16	20	15	48	29	116	1	17	46	14	22	11	22	8	2	19	11	30	24	88	26	33	86	40	59	79	18	74
1:Del:T:1	20	30	12	50	11	56	22	0	8	41	0	0	9	0	11	25	21	6	0	0	0	25	2	9	58	0	29	29	60	42	1	23	0	48	0	54	10	37	30	44	50	66	0	40	0	29	0	39	0	8	44	50	67	0	61	0	0	15	21	10	57	2	12	9	14	53	7	45	0	12	23	6	10	17	0	0	0	13	6	29	25	43	68	43	25	38	54	19	30	62
1:Del:T:2	32	46	104	64	25	75	66	2	6	47	4	3	82	3	12	7	72	29	3	4	2	5	2	13	43	3	85	29	45	16	6	19	1	14	5	34	7	45	63	70	64	86	2	48	11	17	2	46	2	3	62	14	7	6	70	7	0	38	35	14	55	36	10	13	17	75	15	49	0	53	23	4	15	11	15	20	6	30	3	15	21	61	46	55	23	25	95	83	47	10
1:Del:T:3	48	103	122	51	45	84	39	3	15	45	3	8	85	5	7	14	86	25	5	8	4	62	0	5	88	4	58	30	87	23	4	12	9	37	9	25	7	51	21	52	26	76	5	22	24	15	4	72	1	10	25	79	71	11	88	3	3	44	31	16	93	55	9	21	33	24	85	53	0	38	20	27	20	41	17	32	8	33	3	26	10	27	60	73	34	41	28	137	66	44
