Samples	ID1	ID2	ID5	ID14
ColoRect-AdenoCA::S.1	260	1079	0	472
ColoRect-AdenoCA::S.2	431	1275	0	0
ColoRect-AdenoCA::S.3	687	1115	0	905
ColoRect-AdenoCA::S.4	646	770	351	0
ColoRect-AdenoCA::S.5	1015	199	0	361
ColoRect-AdenoCA::S.6	1187	1336	0	0
ColoRect-AdenoCA::S.7	1179	367	0	0
ColoRect-AdenoCA::S.8	1047	0	0	194
ColoRect-AdenoCA::S.9	451	361	0	195
ColoRect-AdenoCA::S.10	494	401	0	0
ColoRect-AdenoCA::S.11	494	438	0	0
ColoRect-AdenoCA::S.12	479	127	0	0
ColoRect-AdenoCA::S.13	290	359	0	0
ColoRect-AdenoCA::S.14	684	1231	0	0
ColoRect-AdenoCA::S.15	943	197	303	0
ColoRect-AdenoCA::S.16	799	1211	0	0
ColoRect-AdenoCA::S.17	203	615	0	0
ColoRect-AdenoCA::S.18	981	1929	0	581
ColoRect-AdenoCA::S.19	76	149	0	969
ColoRect-AdenoCA::S.20	204	421	0	648
ColoRect-AdenoCA::S.21	246	172	408	0
ColoRect-AdenoCA::S.22	228	317	0	0
ColoRect-AdenoCA::S.23	566	0	597	0
ColoRect-AdenoCA::S.24	1555	609	0	0
ColoRect-AdenoCA::S.25	1718	245	0	0
ColoRect-AdenoCA::S.26	49	488	0	0
ColoRect-AdenoCA::S.27	1096	107	0	0
ColoRect-AdenoCA::S.28	441	370	0	0
ColoRect-AdenoCA::S.29	364	723	0	0
ColoRect-AdenoCA::S.30	391	479	444	0
ColoRect-AdenoCA::S.31	563	1926	0	604
ColoRect-AdenoCA::S.32	729	340	0	0
ColoRect-AdenoCA::S.33	846	630	392	488
ColoRect-AdenoCA::S.34	0	1436	0	0
ColoRect-AdenoCA::S.35	481	459	0	0
ColoRect-AdenoCA::S.36	366	368	356	276
ColoRect-AdenoCA::S.37	973	229	439	0
ColoRect-AdenoCA::S.38	199	553	0	2457
ColoRect-AdenoCA::S.39	527	522	0	0
ColoRect-AdenoCA::S.40	673	436	0	0
ColoRect-AdenoCA::S.41	809	500	0	0
ColoRect-AdenoCA::S.42	956	156	0	1002
ColoRect-AdenoCA::S.43	307	2202	0	0
ColoRect-AdenoCA::S.44	589	979	0	0
ColoRect-AdenoCA::S.45	376	880	0	0
ColoRect-AdenoCA::S.46	528	790	0	0
ColoRect-AdenoCA::S.47	249	531	0	0
ColoRect-AdenoCA::S.48	285	2194	0	0
ColoRect-AdenoCA::S.49	0	791	0	687
ColoRect-AdenoCA::S.50	2658	486	0	0
ColoRect-AdenoCA::S.51	151	1168	0	0
ColoRect-AdenoCA::S.52	494	1118	0	0
ColoRect-AdenoCA::S.53	140	615	0	0
ColoRect-AdenoCA::S.54	1232	282	0	0
ColoRect-AdenoCA::S.55	476	678	0	2321
ColoRect-AdenoCA::S.56	947	309	0	0
ColoRect-AdenoCA::S.57	1046	626	0	892
ColoRect-AdenoCA::S.58	264	169	327	0
ColoRect-AdenoCA::S.59	202	854	0	0
ColoRect-AdenoCA::S.60	361	121	0	0
ColoRect-AdenoCA::S.61	291	98	371	880
ColoRect-AdenoCA::S.62	451	521	0	0
ColoRect-AdenoCA::S.63	486	80	0	0
ColoRect-AdenoCA::S.64	198	2102	0	0
ColoRect-AdenoCA::S.65	342	487	0	0
ColoRect-AdenoCA::S.66	566	438	412	0
ColoRect-AdenoCA::S.67	1547	785	0	723
ColoRect-AdenoCA::S.68	220	193	0	84
ColoRect-AdenoCA::S.69	1004	546	0	591
ColoRect-AdenoCA::S.70	118	436	389	581
ColoRect-AdenoCA::S.71	379	436	0	0
ColoRect-AdenoCA::POLE.S.1	4226	2145	0	0
ColoRect-AdenoCA::POLE.S.2	11035	4745	0	2534
ColoRect-AdenoCA::POLE.S.3	5248	1670	0	0
ColoRect-AdenoCA::POLE.S.4	6110	6707	0	0
ColoRect-AdenoCA::POLE.S.5	6150	2049	0	0
ColoRect-AdenoCA::POLE.S.6	2509	1766	0	0
ColoRect-AdenoCA::POLE.S.7	2209	14946	0	0
ColoRect-AdenoCA::POLE.S.8	6448	5510	0	1207
ColoRect-AdenoCA::POLE.S.9	10839	11801	0	0
ColoRect-AdenoCA::POLE.S.10	4687	4680	0	976
ColoRect-AdenoCA::POLE.S.11	4054	6165	0	0
ColoRect-AdenoCA::POLE.S.12	2103	2102	0	0
ColoRect-AdenoCA::POLE.S.13	2669	11591	0	0
ColoRect-AdenoCA::POLE.S.14	2209	4189	0	0
