Samples	ID1	ID2	ID4	ID5	ID6	ID8	ID9	ID10	ID14
Eso-AdenoCA::S.1	703	506	0	806	878	0	0	0	1103
Eso-AdenoCA::S.2	176	1338	0	757	0	0	0	0	0
Eso-AdenoCA::S.3	538	1229	0	540	0	0	0	0	0
Eso-AdenoCA::S.4	152	36	0	0	0	0	400	0	0
Eso-AdenoCA::S.5	265	331	0	0	0	0	0	0	0
Eso-AdenoCA::S.6	124	772	0	0	0	0	0	0	0
Eso-AdenoCA::S.7	733	537	0	523	0	0	0	0	0
Eso-AdenoCA::S.8	458	771	0	0	0	0	0	0	0
Eso-AdenoCA::S.9	1204	0	0	440	0	0	0	0	0
Eso-AdenoCA::S.10	149	589	0	882	0	0	0	0	0
Eso-AdenoCA::S.11	272	0	0	1179	0	0	0	0	0
Eso-AdenoCA::S.12	508	1094	0	922	0	0	0	0	0
Eso-AdenoCA::S.13	216	870	0	0	0	0	0	0	0
Eso-AdenoCA::S.14	476	217	0	491	0	0	233	0	0
Eso-AdenoCA::S.15	93	451	0	0	0	0	0	0	168
Eso-AdenoCA::S.16	841	135	0	405	0	0	0	0	216
Eso-AdenoCA::S.17	288	754	0	0	0	0	0	0	0
Eso-AdenoCA::S.18	717	775	0	0	0	0	0	0	0
Eso-AdenoCA::S.19	2540	746	0	0	0	0	0	0	0
Eso-AdenoCA::S.20	1013	0	0	0	0	0	0	0	0
Eso-AdenoCA::S.21	452	0	0	0	0	0	176	0	112
Eso-AdenoCA::S.22	356	837	0	0	0	0	0	0	0
Eso-AdenoCA::S.23	403	389	0	0	0	0	0	0	0
Eso-AdenoCA::S.24	168	157	0	469	0	0	0	0	0
Eso-AdenoCA::S.25	300	364	0	435	0	0	0	0	0
Eso-AdenoCA::S.26	194	380	208	0	0	0	0	0	0
Eso-AdenoCA::S.27	1574	2093	0	0	0	0	0	0	0
Eso-AdenoCA::S.28	870	675	0	0	0	0	0	0	0
Eso-AdenoCA::S.29	326	1944	0	0	0	0	0	0	0
Eso-AdenoCA::S.30	0	707	0	0	0	0	0	0	0
Eso-AdenoCA::S.31	101	349	0	0	0	0	0	0	0
Eso-AdenoCA::S.32	252	263	0	0	0	0	188	0	0
Eso-AdenoCA::S.33	246	630	0	521	0	0	0	0	0
Eso-AdenoCA::S.34	424	1551	0	0	0	0	0	0	0
Eso-AdenoCA::S.35	360	583	0	0	0	0	0	0	0
Eso-AdenoCA::S.36	714	907	0	871	0	0	0	0	0
Eso-AdenoCA::S.37	183	881	0	0	0	0	0	0	586
Eso-AdenoCA::S.38	774	201	0	671	0	0	0	0	0
Eso-AdenoCA::S.39	0	275	0	0	0	0	593	0	0
Eso-AdenoCA::S.40	137	1375	0	0	0	0	0	0	0
Eso-AdenoCA::S.41	890	296	0	0	0	0	0	0	0
Eso-AdenoCA::S.42	317	701	0	0	0	0	0	0	0
Eso-AdenoCA::S.43	236	279	0	362	0	0	0	0	0
Eso-AdenoCA::S.44	500	1179	0	0	0	0	0	0	1052
Eso-AdenoCA::S.45	556	1172	0	0	0	0	0	0	0
Eso-AdenoCA::S.46	580	220	0	396	0	0	0	0	0
Eso-AdenoCA::S.47	0	3280	0	0	0	0	0	0	417
Eso-AdenoCA::S.48	687	782	0	0	0	0	0	0	0
Eso-AdenoCA::S.49	278	647	342	358	0	0	0	0	0
Eso-AdenoCA::S.50	287	904	0	0	0	0	0	0	0
Eso-AdenoCA::S.51	876	560	0	1936	0	0	0	0	0
Eso-AdenoCA::S.52	596	400	0	653	0	0	0	0	0
Eso-AdenoCA::S.53	281	956	0	0	0	0	0	0	0
Eso-AdenoCA::S.54	267	2008	0	0	0	0	0	0	414
Eso-AdenoCA::S.55	793	476	0	0	0	0	0	0	0
Eso-AdenoCA::S.56	1488	412	0	0	0	0	0	0	0
Eso-AdenoCA::S.57	656	955	0	0	0	0	0	0	0
Eso-AdenoCA::S.58	769	222	624	0	0	0	0	0	0
Eso-AdenoCA::S.59	394	548	0	0	0	0	0	0	0
Eso-AdenoCA::S.60	750	203	0	1083	0	0	0	0	0
Eso-AdenoCA::S.61	671	0	0	0	0	0	0	0	0
Eso-AdenoCA::S.62	865	0	0	616	0	0	0	0	0
Eso-AdenoCA::S.63	634	2124	0	0	0	0	0	0	0
Eso-AdenoCA::S.64	1047	1200	0	0	0	0	0	0	0
Eso-AdenoCA::S.65	1487	975	0	548	0	0	0	0	0
Eso-AdenoCA::S.66	504	0	0	0	0	0	0	0	547
Eso-AdenoCA::S.67	0	4437	0	0	0	0	0	0	0
Eso-AdenoCA::S.68	155	739	255	0	0	0	0	0	398
Eso-AdenoCA::S.69	40	140	0	0	0	0	0	0	0
Eso-AdenoCA::S.70	132	1124	0	0	0	0	515	0	0
Eso-AdenoCA::S.71	306	909	0	0	0	0	404	0	0
Eso-AdenoCA::S.72	494	208	0	0	0	0	0	0	0
Eso-AdenoCA::S.73	1891	0	0	0	0	0	0	0	0
Eso-AdenoCA::S.74	171	290	0	0	0	0	112	0	0
Eso-AdenoCA::S.75	900	290	0	0	0	0	0	0	1124
Eso-AdenoCA::S.76	411	692	0	0	0	0	0	0	324
Eso-AdenoCA::S.77	346	1756	0	0	0	0	0	0	0
Eso-AdenoCA::S.78	603	1155	0	0	0	0	0	0	0
Eso-AdenoCA::S.79	336	471	0	0	0	0	269	0	499
Eso-AdenoCA::S.80	2477	346	0	0	0	0	0	0	1473
Eso-AdenoCA::S.81	0	1451	0	0	0	0	0	0	357
Eso-AdenoCA::S.82	271	57	0	0	0	0	0	0	0
Eso-AdenoCA::S.83	672	1110	0	0	0	0	0	0	559
Eso-AdenoCA::S.84	1502	2781	0	0	0	0	0	0	0
Eso-AdenoCA::S.85	703	1043	0	0	0	0	0	0	0
Eso-AdenoCA::S.86	234	519	0	0	0	0	0	0	0
Eso-AdenoCA::S.87	1136	0	0	0	0	0	0	0	219
Eso-AdenoCA::S.88	182	423	0	281	0	0	0	0	0
Eso-AdenoCA::S.89	0	90	0	444	231	0	194	0	0
Eso-AdenoCA::S.90	324	1243	0	619	0	0	0	0	0
Eso-AdenoCA::S.91	2641	0	0	897	0	0	0	0	0
Eso-AdenoCA::S.92	1085	543	0	0	0	0	0	0	0
Eso-AdenoCA::S.93	193	122	199	0	0	0	0	0	97
Eso-AdenoCA::S.94	550	1560	0	0	0	0	0	0	0
Eso-AdenoCA::S.95	0	881	0	737	0	0	0	0	0
Eso-AdenoCA::S.96	2322	1918	0	0	0	0	0	0	0
Eso-AdenoCA::S.97	497	1284	0	0	0	0	0	0	0
Eso-AdenoCA::S.98	521	1795	0	0	0	0	0	0	0
Eso-AdenoCA::S.99	1115	146	0	0	0	0	0	0	0
Eso-AdenoCA::S.100	690	332	0	0	0	0	0	0	1040
