Samples	ID1	ID2	ID4	ID5	ID6	ID8	ID9
Ovary-AdenoCA::S.1	98	0	0	0	0	311	73
Ovary-AdenoCA::S.2	0	0	0	0	1301	471	0
Ovary-AdenoCA::S.3	206	58	142	0	209	0	125
Ovary-AdenoCA::S.4	0	64	0	99	104	58	0
Ovary-AdenoCA::S.5	114	31	0	0	133	196	0
Ovary-AdenoCA::S.6	0	0	0	0	217	391	0
Ovary-AdenoCA::S.7	0	0	0	191	498	0	0
Ovary-AdenoCA::S.8	69	74	0	0	0	0	41
Ovary-AdenoCA::S.9	69	96	0	0	178	255	82
Ovary-AdenoCA::S.10	109	0	0	0	354	0	0
Ovary-AdenoCA::S.11	157	0	0	0	641	0	195
Ovary-AdenoCA::S.12	33	75	0	0	0	28	24
Ovary-AdenoCA::S.13	98	0	166	0	155	0	100
Ovary-AdenoCA::S.14	76	69	0	97	0	285	0
Ovary-AdenoCA::S.15	0	87	0	0	629	285	0
Ovary-AdenoCA::S.16	108	0	0	0	0	0	46
Ovary-AdenoCA::S.17	122	0	0	0	122	75	98
Ovary-AdenoCA::S.18	0	0	0	0	0	919	0
Ovary-AdenoCA::S.19	25	0	0	122	95	147	0
Ovary-AdenoCA::S.20	117	0	0	0	468	0	0
Ovary-AdenoCA::S.21	64	0	0	0	0	179	209
Ovary-AdenoCA::S.22	140	46	0	0	0	0	80
Ovary-AdenoCA::S.23	0	0	0	0	558	158	179
Ovary-AdenoCA::S.24	197	0	0	234	417	345	0
Ovary-AdenoCA::S.25	27	40	0	0	158	0	58
Ovary-AdenoCA::S.26	0	0	108	0	0	0	82
Ovary-AdenoCA::S.27	49	0	0	0	71	0	170
Ovary-AdenoCA::S.28	36	111	0	0	0	93	345
Ovary-AdenoCA::S.29	96	52	143	99	0	0	0
Ovary-AdenoCA::S.30	0	0	0	307	0	468	0
Ovary-AdenoCA::S.31	0	0	0	0	0	660	0
Ovary-AdenoCA::S.32	159	0	0	0	123	0	94
Ovary-AdenoCA::S.33	0	261	0	0	0	566	0
Ovary-AdenoCA::S.34	43	0	0	0	0	331	0
Ovary-AdenoCA::S.35	58	0	0	0	0	287	103
Ovary-AdenoCA::S.36	0	0	0	0	757	0	0
Ovary-AdenoCA::S.37	49	0	80	103	149	0	0
Ovary-AdenoCA::S.38	0	169	0	0	239	0	0
Ovary-AdenoCA::S.39	0	0	0	0	503	205	119
Ovary-AdenoCA::S.40	0	0	0	0	428	0	322
Ovary-AdenoCA::S.41	26	60	0	0	0	137	0
Ovary-AdenoCA::S.42	89	183	0	0	140	0	333
Ovary-AdenoCA::S.43	0	34	0	141	177	86	0
Ovary-AdenoCA::S.44	132	0	0	0	758	455	0
Ovary-AdenoCA::S.45	0	0	0	0	859	0	280
Ovary-AdenoCA::S.46	0	0	0	77	0	0	0
Ovary-AdenoCA::S.47	27	85	107	0	0	158	70
Ovary-AdenoCA::S.48	40	0	0	60	0	79	0
Ovary-AdenoCA::S.49	0	0	0	0	0	333	0
Ovary-AdenoCA::S.50	83	0	0	146	295	94	0
Ovary-AdenoCA::S.51	0	0	0	0	177	68	136
Ovary-AdenoCA::S.52	0	0	0	156	0	58	95
Ovary-AdenoCA::S.53	112	0	0	0	385	252	362
Ovary-AdenoCA::S.54	39	0	0	0	266	0	248
Ovary-AdenoCA::S.55	11	12	66	0	0	0	23
Ovary-AdenoCA::S.56	38	123	0	0	0	81	104
Ovary-AdenoCA::S.57	0	0	0	0	129	255	380
Ovary-AdenoCA::S.58	132	0	0	0	433	209	0
Ovary-AdenoCA::S.59	14	53	0	0	0	58	0
Ovary-AdenoCA::S.60	81	0	0	0	81	208	0
Ovary-AdenoCA::S.61	50	26	0	118	0	249	62
Ovary-AdenoCA::S.62	0	0	0	0	748	306	0
Ovary-AdenoCA::S.63	42	208	147	0	0	200	0
Ovary-AdenoCA::S.64	92	0	54	0	0	33	49
Ovary-AdenoCA::S.65	0	0	0	0	1882	0	0
Ovary-AdenoCA::S.66	0	0	0	0	104	209	92
Ovary-AdenoCA::S.67	0	0	0	0	242	0	96
Ovary-AdenoCA::S.68	35	115	0	176	151	0	79
Ovary-AdenoCA::S.69	56	41	74	0	0	48	85
Ovary-AdenoCA::S.70	43	0	0	0	0	0	146
Ovary-AdenoCA::S.71	0	0	241	0	795	0	0
Ovary-AdenoCA::S.72	81	0	0	0	362	0	0
Ovary-AdenoCA::S.73	65	0	0	0	221	448	0
Ovary-AdenoCA::S.74	0	0	0	0	566	165	0
Ovary-AdenoCA::S.75	0	0	0	329	200	174	146
Ovary-AdenoCA::S.76	0	0	0	0	0	478	0
Ovary-AdenoCA::S.77	136	0	0	0	523	220	0
Ovary-AdenoCA::S.78	101	111	0	0	166	495	267
Ovary-AdenoCA::S.79	0	0	0	0	0	280	122
Ovary-AdenoCA::S.80	0	90	0	0	0	340	294
Ovary-AdenoCA::S.81	29	0	0	0	0	0	132
Ovary-AdenoCA::S.82	0	0	95	168	0	79	0
Ovary-AdenoCA::S.83	37	0	103	0	206	149	0
Ovary-AdenoCA::S.84	86	0	129	0	257	93	96
Ovary-AdenoCA::S.85	46	0	0	0	502	0	134
Ovary-AdenoCA::S.86	84	0	0	0	235	155	170
Ovary-AdenoCA::S.87	0	0	0	0	721	0	0
Ovary-AdenoCA::S.88	32	0	0	88	0	0	0
Ovary-AdenoCA::S.89	184	53	0	0	99	0	0
Ovary-AdenoCA::S.90	236	95	0	0	0	201	0
Ovary-AdenoCA::S.91	28	23	84	0	0	0	0
Ovary-AdenoCA::S.92	0	61	0	0	0	368	0
Ovary-AdenoCA::S.93	114	0	0	0	0	0	315
Ovary-AdenoCA::S.94	0	114	0	0	329	198	114
Ovary-AdenoCA::S.95	142	0	0	0	581	0	0
Ovary-AdenoCA::S.96	0	169	0	0	160	0	57
Ovary-AdenoCA::S.97	0	0	0	0	0	1086	254
Ovary-AdenoCA::S.98	0	144	0	0	1702	0	0
Ovary-AdenoCA::S.99	79	0	0	0	454	326	0
