Samples	ID1	ID2	ID3	ID5	ID6	ID7	ID8	ID14
Stomach-AdenoCA::S.1	0	654	0	285	0	0	0	0
Stomach-AdenoCA::S.2	0	0	0	0	0	0	0	2264
Stomach-AdenoCA::S.3	733	0	0	0	0	0	0	1775
Stomach-AdenoCA::S.4	186	209	0	448	0	0	0	0
Stomach-AdenoCA::S.5	0	1910	0	0	0	0	0	0
Stomach-AdenoCA::S.6	2134	0	0	0	0	0	0	954
Stomach-AdenoCA::S.7	160	350	0	344	0	0	0	0
Stomach-AdenoCA::S.8	571	0	0	0	0	0	0	0
Stomach-AdenoCA::S.9	94	330	0	0	0	0	176	0
Stomach-AdenoCA::S.10	1283	355	0	0	569	0	0	0
Stomach-AdenoCA::S.11	186	232	0	0	0	0	0	0
Stomach-AdenoCA::S.12	311	556	0	0	0	0	0	0
Stomach-AdenoCA::S.13	461	308	0	542	0	0	0	0
Stomach-AdenoCA::S.14	933	126	0	0	0	0	0	0
Stomach-AdenoCA::S.15	857	308	0	0	0	0	0	0
Stomach-AdenoCA::S.16	71	178	0	213	0	0	0	0
Stomach-AdenoCA::S.17	289	121	0	419	0	0	0	0
Stomach-AdenoCA::S.18	0	101	0	0	0	0	411	0
Stomach-AdenoCA::S.19	351	504	0	0	0	0	161	0
Stomach-AdenoCA::S.20	245	153	0	0	129	0	0	0
Stomach-AdenoCA::S.21	100	247	0	0	0	0	0	0
Stomach-AdenoCA::S.22	150	188	0	283	0	0	0	0
Stomach-AdenoCA::S.23	0	63	0	0	0	0	341	0
Stomach-AdenoCA::S.24	94	373	0	0	0	0	338	0
Stomach-AdenoCA::S.25	0	66	0	477	0	0	124	0
Stomach-AdenoCA::S.26	487	0	0	0	0	0	0	0
Stomach-AdenoCA::S.27	125	70	0	481	0	0	0	0
Stomach-AdenoCA::S.28	1166	238	0	0	0	0	0	0
Stomach-AdenoCA::S.29	109	730	0	499	0	0	0	0
Stomach-AdenoCA::S.30	1354	263	0	0	0	0	0	0
Stomach-AdenoCA::S.31	115	71	0	0	0	0	0	0
Stomach-AdenoCA::S.32	171	409	0	211	0	0	0	0
Stomach-AdenoCA::S.33	158	142	0	0	0	0	0	0
Stomach-AdenoCA::S.34	98	229	0	246	0	0	128	0
Stomach-AdenoCA::S.35	574	349	0	0	0	0	0	0
Stomach-AdenoCA::S.36	230	70	0	293	0	0	0	0
Stomach-AdenoCA::S.37	244	80	0	0	0	0	0	0
