Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Breast-AdenoCA::S.1	268	0.965	125.488	46.824%	31.775	33.095%	0.28346	0.964
Breast-AdenoCA::S.2	462	0.978	156.856	33.952%	38.765	22.359%	0.21031	0.977
Breast-AdenoCA::S.3	257	0.925	113.628	44.213%	33.604	38.032%	0.25598	0.916
Breast-AdenoCA::S.4	677	0.958	245.94	36.328%	63.719	32.054%	0.14844	0.953
Breast-AdenoCA::S.5	381	0.926	158.308	41.551%	51.951	39.757%	0.2178	0.918
Breast-AdenoCA::S.6	114	0.969	49.857	43.734%	9.404	24.903%	0.31361	0.966
Breast-AdenoCA::S.7	1044	0.912	395.898	37.921%	103.056	41.537%	0.15994	0.888
Breast-AdenoCA::S.8	775	0.941	285.881	36.888%	108.295	33.851%	0.13235	0.937
Breast-AdenoCA::S.9	620	0.993	181.819	29.326%	47.074	13.006%	0.23402	0.993
Breast-AdenoCA::S.10	407	0.988	102.766	25.25%	27.674	17.927%	0.08534	0.987
Breast-AdenoCA::S.11	73	0.935	37.158	50.901%	8.632	35.812%	0.37663	0.926
Breast-AdenoCA::S.12	541	0.883	280.365	51.823%	96.131	48.818%	0.2765	0.871
Breast-AdenoCA::S.13	783	0.924	297.012	37.933%	92.008	38.277%	0.13425	0.913
Breast-AdenoCA::S.14	1316	0.989	268.933	20.436%	86.678	16.059%	0.05514	0.988
Breast-AdenoCA::S.15	369	0.878	183.632	49.765%	61.085	47.803%	0.26603	0.864
Breast-AdenoCA::S.16	751	0.961	236.316	31.467%	58.231	29.001%	0.10507	0.954
Breast-AdenoCA::S.17	575	0.981	138.836	24.145%	40.81	19.464%	0.11139	0.979
Breast-AdenoCA::S.18	405	0.964	159.325	39.34%	31.542	29.417%	0.3064	0.958
Breast-AdenoCA::S.19	617	0.946	246.559	39.961%	60.988	35.11%	0.20399	0.937
Breast-AdenoCA::S.20	270	0.95	104.556	38.724%	29.478	31.374%	0.1723	0.944
Breast-AdenoCA::S.21	156	0.957	63.414	40.65%	18.308	29.152%	0.23429	0.953
Breast-AdenoCA::S.22	361	0.949	143.742	39.818%	32.093	32.263%	0.16849	0.94
Breast-AdenoCA::S.23	893	0.963	322.037	36.062%	104.81	30.832%	0.16088	0.961
Breast-AdenoCA::S.24	514	0.992	123.377	24.003%	26.483	12.259%	0.12301	0.992
Breast-AdenoCA::S.25	1224	0.889	510.485	41.706%	176.765	49.095%	0.17629	0.873
Breast-AdenoCA::S.26	215	0.911	129.884	60.411%	33.053	46.37%	0.87116	0.903
Breast-AdenoCA::S.27	345	0.955	143.922	41.717%	41.293	30.704%	0.22311	0.951
Breast-AdenoCA::S.28	421	0.975	141.103	33.516%	36.465	22.542%	0.15077	0.973
Breast-AdenoCA::S.29	313	0.989	80.347	25.67%	20.329	14.642%	0.10828	0.989
Breast-AdenoCA::S.30	572	0.958	183.733	32.121%	61.229	31.3%	0.1453	0.954
Breast-AdenoCA::S.31	305	0.936	135.803	44.526%	30.208	35.32%	0.24809	0.924
Breast-AdenoCA::S.32	1499	0.903	677.328	45.185%	259.431	43.458%	0.18723	0.894
Breast-AdenoCA::S.33	79	0.917	43.31	54.823%	9.657	40.918%	0.36921	0.904
Breast-AdenoCA::S.34	266	0.959	128.351	48.252%	35.05	39.595%	0.30282	0.957
Breast-AdenoCA::S.35	767	0.924	347.286	45.278%	98.707	39.835%	0.18925	0.915
Breast-AdenoCA::S.36	452	0.95	222.677	49.265%	45.486	31.85%	0.3061	0.943
Breast-AdenoCA::S.37	236	0.928	102.948	43.622%	27.71	37.283%	0.25061	0.918
Breast-AdenoCA::S.38	649	0.973	260.457	40.132%	59.046	31.253%	0.2682	0.971
Breast-AdenoCA::S.39	383	0.925	160.045	41.787%	32.992	38.109%	0.17735	0.901
Breast-AdenoCA::S.40	649	0.978	306.29	47.194%	89.122	35.848%	0.30712	0.978
Breast-AdenoCA::S.41	256	0.937	112.972	44.13%	30.128	36.595%	0.18035	0.929
Breast-AdenoCA::S.42	138	0.994	28.973	20.995%	5.404	10.799%	0.13613	0.994
Breast-AdenoCA::S.43	423	0.944	177.919	42.061%	36.899	32.984%	0.20656	0.932
Breast-AdenoCA::S.44	274	0.988	75.33	27.493%	18.444	15.571%	0.16663	0.987
Breast-AdenoCA::S.45	310	0.988	83.787	27.028%	17.662	16.902%	0.11988	0.987
Breast-AdenoCA::S.46	197	0.972	77.2	39.188%	14.531	23.796%	0.22704	0.968
Breast-AdenoCA::S.47	265	0.94	110.087	41.542%	29.797	34.141%	0.22102	0.932
Breast-AdenoCA::S.48	327	0.994	86.879	26.569%	19.683	10.683%	0.15583	0.994
Breast-AdenoCA::S.49	187	0.966	60.246	32.217%	17.629	25.85%	0.22692	0.963
Breast-AdenoCA::S.50	377	0.987	108.142	28.685%	28.032	16.765%	0.13526	0.986
Breast-AdenoCA::S.51	1110	0.976	341.777	30.791%	82.664	25.031%	0.11139	0.973
Breast-AdenoCA::S.52	28	0.98	13.1	46.786%	3.28	22.014%	0.6666	0.979
Breast-AdenoCA::S.53	658	0.99	160.847	24.445%	39.226	14.962%	0.09355	0.989
Breast-AdenoCA::S.54	404	0.935	209.556	51.87%	49.427	36.127%	0.2415	0.928
Breast-AdenoCA::S.55	156	0.885	81.213	52.06%	28.956	55.237%	0.26778	0.875
Breast-AdenoCA::S.56	390	0.852	190.985	48.971%	68.827	53.923%	0.24222	0.833
Breast-AdenoCA::S.57	437	0.967	134.835	30.855%	39.401	25.551%	0.12612	0.963
Breast-AdenoCA::S.58	243	0.991	62.484	25.714%	14.117	14.219%	0.1564	0.99
Breast-AdenoCA::S.59	411	0.935	181.394	44.135%	34.758	36.612%	0.21722	0.916
Breast-AdenoCA::S.60	579	0.993	104.591	18.064%	19.936	12.471%	0.08012	0.992
Breast-AdenoCA::S.61	74	0.997	19.734	26.668%	6.669	13.518%	0.17292	0.997
Breast-AdenoCA::S.62	299	0.974	88.994	29.764%	21.188	22.846%	0.1371	0.97
Breast-AdenoCA::S.63	1032	0.972	304.884	29.543%	76.554	24.354%	0.10941	0.968
Breast-AdenoCA::S.64	359	0.955	173.597	48.356%	43.383	30.496%	0.62865	0.951
Breast-AdenoCA::S.65	794	0.923	348.851	43.936%	91.403	43.922%	0.20172	0.911
Breast-AdenoCA::S.66	381	0.981	135.604	35.592%	25.449	19.643%	0.19886	0.979
Breast-AdenoCA::S.67	558	0.959	180.195	32.293%	37.884	28.572%	0.12812	0.948
Breast-AdenoCA::S.68	118	0.917	58.839	49.864%	15.526	39.876%	0.28035	0.906
Breast-AdenoCA::S.69	389	0.975	111.047	28.547%	26.106	22.044%	0.11338	0.972
Breast-AdenoCA::S.70	181	0.969	73.25	40.47%	18.344	28.282%	0.20983	0.967
Breast-AdenoCA::S.71	358	0.826	277.255	77.446%	69.563	64.593%	1.14724	0.804
Breast-AdenoCA::S.72	709	0.874	400.312	56.461%	132.479	48.646%	0.31242	0.862
Breast-AdenoCA::S.73	318	0.996	58.884	18.517%	11.418	9.192%	0.09192	0.996
Breast-AdenoCA::S.74	513	0.995	127.3	24.815%	23.208	12.741%	0.10961	0.994
Breast-AdenoCA::S.75	446	0.963	139.68	31.318%	35.478	28.143%	0.13682	0.956
Breast-AdenoCA::S.76	183	0.991	61.711	33.722%	14.519	16.005%	0.20775	0.991
Breast-AdenoCA::S.77	218	0.969	98.192	45.042%	23.6	36.057%	1.2574	0.969
Breast-AdenoCA::S.78	482	0.989	160.795	33.36%	38.806	18.277%	0.21863	0.989
Breast-AdenoCA::S.79	414	0.985	97.3	23.502%	18.99	17.181%	0.0898	0.983
Breast-AdenoCA::S.80	370	0.997	69.735	18.847%	15.198	9.297%	0.06601	0.997
Breast-AdenoCA::S.81	766	0.963	243.395	31.775%	55.455	27.578%	0.27773	0.956
Breast-AdenoCA::S.82	929	0.874	528.622	56.902%	171.507	58.73%	0.36236	0.862
Breast-AdenoCA::S.83	128	0.982	44.318	34.623%	9.469	19.162%	0.25626	0.981
Breast-AdenoCA::S.84	264	0.933	120.527	45.654%	30.827	38.325%	0.18739	0.924
Breast-AdenoCA::S.85	657	0.968	217.38	33.087%	52.804	25.86%	0.29964	0.964
Breast-AdenoCA::S.86	663	0.983	161.707	24.39%	38.933	18.561%	0.08334	0.981
Breast-AdenoCA::S.87	262	0.933	101.381	38.695%	32.789	36.117%	0.17276	0.926
Breast-AdenoCA::S.88	312	0.989	108.724	34.847%	22.48	15.808%	0.22387	0.988
Breast-AdenoCA::S.89	418	0.963	151.776	36.31%	43.585	29.103%	0.20746	0.96
Breast-AdenoCA::S.90	704	0.964	233.41	33.155%	53.961	27.525%	0.17197	0.958
Breast-AdenoCA::S.91	119	0.994	35.724	30.02%	9.04	13.46%	0.21993	0.994
Breast-AdenoCA::S.92	465	0.956	152.774	32.855%	47.169	29.469%	0.11799	0.951
Breast-AdenoCA::S.93	28	0.999	5.094	18.193%	2.288	8.468%	0.10055	0.999
Breast-AdenoCA::S.94	1272	0.972	353.789	27.814%	89.808	23.617%	0.09126	0.967
Breast-AdenoCA::S.95	950	0.959	353.888	37.251%	104.705	33.246%	0.18867	0.955
Breast-AdenoCA::S.96	365	0.979	109.749	30.068%	21.321	21.95%	0.12949	0.976
Breast-AdenoCA::S.97	1408	0.971	474.435	33.696%	114.45	24.322%	0.15511	0.967
Breast-AdenoCA::S.98	863	0.946	414.704	48.054%	112.149	41.116%	0.39327	0.942
Breast-AdenoCA::S.99	261	0.935	126.768	48.57%	31.189	36.298%	0.26384	0.927
Breast-AdenoCA::S.100	452	0.958	151.709	33.564%	34.722	28.713%	0.12282	0.95
