Sample,SBS1,SBS2,SBS5,SBS7a,SBS7b,SBS7c,SBS7d,SBS13,SBS17a,SBS17b,SBS38,SBS40
Skin-Melanoma::S.1,0.0,0.0,763.7080142822524,0.0,4505.743265385898,893.1298635203864,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.2,892.5494077331679,0.0,3119.2357341549073,10775.23444496379,4469.741064813811,4759.498818125606,0.0,0.0,453.8055947482984,0.0,0.0,0.0
Skin-Melanoma::S.3,0.0,0.0,0.0,37733.253151726,6399.073525774878,793.5804145151149,1124.4518142240313,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.4,0.0,14402.811737731432,0.0,225383.4924157202,29295.74023868862,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.5,0.0,0.0,0.0,69166.90387038616,17240.442012453168,0.0,0.0,0.0,0.0,10777.325410719326,1067.2659022071737,0.0
Skin-Melanoma::S.6,0.0,50813.354504984,20338.522529493614,65082.61898514879,65836.27568448102,2857.5612740533315,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.7,0.0,0.0,0.0,85316.70467829326,47419.663444087586,0.0,3200.527386498548,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.8,3567.9117709896723,51504.76801196768,0.0,179139.0432927441,37687.79292687477,18879.572408191194,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.9,0.0,0.0,0.0,0.0,19690.85649506365,8420.823191407733,2129.412553646579,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.10,0.0,0.0,0.0,66749.51027116166,23137.201376656376,0.0,6387.129305892609,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.11,338.1028613395874,0.0,9824.151260321174,12546.59267004615,3507.7115204816832,0.0,759.9497254162117,0.0,0.0,0.0,350.4730248050998,0.0
Skin-Melanoma::S.12,0.0,0.0,11042.187869030202,10169.421408665545,46051.99666465783,3817.333326440883,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.13,0.0,2979.0483946484,0.0,37274.38945838238,5534.813522355221,1935.8652997809897,2919.8246887905116,0.0,0.0,0.0,0.0,5835.782479997906
Skin-Melanoma::S.14,0.0,72165.03786168009,21996.966633360815,64784.10874266115,27158.473738529283,6494.746432825971,9376.341982792066,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.15,0.0,27021.720619396263,13034.123508751774,28260.58424090687,22491.605255256796,1976.3461801616252,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.16,0.0,0.0,3676.190684578677,13157.16064120833,2138.691821331091,1158.6735620318025,2066.4104152036994,0.0,120.442575872537,0.0,1084.193072484018,0.0
Skin-Melanoma::S.17,149.4842102491345,514.4820805209987,1199.3063996553199,14617.969043289528,381.67011987242495,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.18,0.0,0.0,4621.285861624855,31068.34597302127,4178.435328367826,751.4752408233115,446.1414664073333,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.19,0.0,110.20764862102023,3018.752515369826,845.2877639706054,0.0,12510.196318489854,0.0,93.01344224163559,0.0,0.0,116.40155279278919,0.0
Skin-Melanoma::S.20,0.0,0.0,0.0,662.8653188466889,14722.073194108323,4349.947209083722,3545.6286839516465,0.0,325.13793570867955,0.0,1382.2871204960209,1262.653558518608
Skin-Melanoma::S.21,1567.5101442221733,18942.071351599836,5480.825153253636,0.0,28846.502907379472,6196.069007768871,4027.7978359215813,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.22,0.0,26272.63881827483,0.0,155682.60428345518,0.0,5026.422948639632,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.23,0.0,0.0,609.4352706123959,849.9949083500661,17672.30882169503,745.9129871131435,2540.266679125078,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.24,437.26615648263225,1930.3935788545991,2183.2126731616954,1104.799143932933,13048.733518570843,0.0,3568.6554372861,0.0,0.0,0.0,0.0,1882.1301075401554
