Sample,SBS1,SBS2,SBS3,SBS4,SBS5,SBS9,SBS13,SBS17a,SBS17b,SBS18,SBS28,SBS40
Lung-AdenoCA::S.1,0.0,5200.727227112595,0.0,126855.62307426776,36638.40041117135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.2,434.36865546733117,3568.2294062825017,0.0,0.0,11206.250734682337,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.3,701.9136182204032,1837.4278336291848,0.0,0.0,22357.37070359058,0.0,2834.0488743774413,0.0,0.0,2971.195311529691,0.0,0.0
Lung-AdenoCA::S.4,84.77094457872523,1174.4161882176638,919.5511153816839,0.0,5425.291583518637,0.0,237.16302655863208,103.49524605620731,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.5,316.54753221837495,4041.8431554018107,0.0,10063.509169401723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.6,885.9019388663467,0.0,0.0,40566.687888378096,3231.114639991036,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.7,0.0,0.0,10963.60984345928,49792.435773568875,6477.402913844106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.8,0.0,0.0,8721.554257997248,70074.76053340483,0.0,0.0,0.0,0.0,0.0,5438.949180530855,0.0,0.0
Lung-AdenoCA::S.9,481.5474440737794,0.0,0.0,0.0,8806.886533201023,0.0,5713.761702637876,0.0,0.0,4786.7943360296895,0.0,0.0
Lung-AdenoCA::S.10,0.0,1186.0813745153405,0.0,42360.71213367555,0.0,0.0,3869.7933258506146,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.11,960.2805640148027,3031.440077562409,0.0,0.0,1141.0520087037296,0.0,0.0,0.0,132.01369810434576,3307.093072800578,0.0,5609.199593873848
Lung-AdenoCA::S.12,853.8766457136214,126.50126492471215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7565.910876012486
Lung-AdenoCA::S.13,0.0,2187.117049444979,0.0,27839.96484643173,15902.966854380853,0.0,0.0,0.0,0.0,8314.663859217158,0.0,11558.223056676241
Lung-AdenoCA::S.14,451.68696460096504,2347.953332537397,0.0,0.0,27760.06690372184,0.0,4434.721481157934,0.0,0.0,0.0,368.1770591643118,4820.240257028269
Lung-AdenoCA::S.15,812.0460374437175,3963.282747755264,0.0,7218.451732963344,15238.028514995283,0.0,4399.782236187269,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.16,460.6859490597068,2797.738173832441,0.0,0.0,5446.756281606681,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.17,0.0,4456.130604351082,11787.485523917623,18214.37173981369,19839.11494024223,0.0,0.0,0.0,0.0,4114.5000637659205,0.0,0.0
Lung-AdenoCA::S.18,0.0,0.0,0.0,26214.78967357763,7132.505107920716,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.19,614.443949012545,4753.876555198221,7110.207029887128,0.0,5108.859354597229,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.20,0.0,236.26879122955697,0.0,15170.161393146343,0.0,0.0,2284.314208030777,0.0,0.0,0.0,0.0,17939.76201741158
Lung-AdenoCA::S.21,602.6105105823993,211.81848092281712,0.0,0.0,5906.081667361342,0.0,0.0,0.0,0.0,0.0,151.52793666676598,0.0
Lung-AdenoCA::S.22,0.0,0.0,12677.150622620009,80343.53146729463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.23,472.84940587603495,444.32498492182225,1884.4117729795742,0.0,9320.645871330364,784.0959514413878,267.82588697657695,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.24,1835.9395937744114,0.0,0.0,112356.22808983218,0.0,0.0,0.0,0.0,4209.899638838876,7144.706373422163,0.0,0.0
Lung-AdenoCA::S.25,603.1403959198852,2658.2858190261663,0.0,22364.338140209453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20404.053781246555
Lung-AdenoCA::S.26,1814.8897063222562,0.0,0.0,0.0,16943.821635064403,0.0,0.0,0.0,2971.9509697394647,4925.2854597360465,435.88629829686454,6067.672695964196
