,ColoRect-AdenoCA::S.1,ColoRect-AdenoCA::S.2,ColoRect-AdenoCA::S.3,ColoRect-AdenoCA::S.4,ColoRect-AdenoCA::S.5,ColoRect-AdenoCA::S.6,ColoRect-AdenoCA::S.7,ColoRect-AdenoCA::S.8,ColoRect-AdenoCA::S.9,ColoRect-AdenoCA::S.10,ColoRect-AdenoCA::S.11,ColoRect-AdenoCA::S.12,ColoRect-AdenoCA::S.13,ColoRect-AdenoCA::S.14,ColoRect-AdenoCA::S.15,ColoRect-AdenoCA::S.16,ColoRect-AdenoCA::S.17,ColoRect-AdenoCA::S.18,ColoRect-AdenoCA::S.19,ColoRect-AdenoCA::S.20,ColoRect-AdenoCA::S.21,ColoRect-AdenoCA::S.22,ColoRect-AdenoCA::S.23,ColoRect-AdenoCA::S.24,ColoRect-AdenoCA::S.25,ColoRect-AdenoCA::S.26,ColoRect-AdenoCA::S.27,ColoRect-AdenoCA::S.28,ColoRect-AdenoCA::S.29,ColoRect-AdenoCA::S.30,ColoRect-AdenoCA::S.31,ColoRect-AdenoCA::S.32,ColoRect-AdenoCA::S.33,ColoRect-AdenoCA::S.34,ColoRect-AdenoCA::S.35,ColoRect-AdenoCA::S.36,ColoRect-AdenoCA::S.37,ColoRect-AdenoCA::S.38,ColoRect-AdenoCA::S.39,ColoRect-AdenoCA::S.40,ColoRect-AdenoCA::S.41,ColoRect-AdenoCA::S.42,ColoRect-AdenoCA::S.43,ColoRect-AdenoCA::S.44,ColoRect-AdenoCA::S.45,ColoRect-AdenoCA::S.46,ColoRect-AdenoCA::S.47,ColoRect-AdenoCA::S.48,ColoRect-AdenoCA::S.49,ColoRect-AdenoCA::S.50,ColoRect-AdenoCA::S.51,ColoRect-AdenoCA::S.52,ColoRect-AdenoCA::S.53,ColoRect-AdenoCA::S.54,ColoRect-AdenoCA::S.55,ColoRect-AdenoCA::S.56,ColoRect-AdenoCA::S.57,ColoRect-AdenoCA::S.58,ColoRect-AdenoCA::S.59,ColoRect-AdenoCA::S.60,ColoRect-AdenoCA::S.61,ColoRect-AdenoCA::S.62,ColoRect-AdenoCA::S.63,ColoRect-AdenoCA::S.64,ColoRect-AdenoCA::S.65,ColoRect-AdenoCA::S.66,ColoRect-AdenoCA::S.67,ColoRect-AdenoCA::S.68,ColoRect-AdenoCA::S.69,ColoRect-AdenoCA::S.70,ColoRect-AdenoCA::POLE.S.1,ColoRect-AdenoCA::POLE.S.2,ColoRect-AdenoCA::POLE.S.3,ColoRect-AdenoCA::POLE.S.4,ColoRect-AdenoCA::POLE.S.5,ColoRect-AdenoCA::POLE.S.6,ColoRect-AdenoCA::POLE.S.7,ColoRect-AdenoCA::POLE.S.8,ColoRect-AdenoCA::POLE.S.9,ColoRect-AdenoCA::POLE.S.10,ColoRect-AdenoCA::POLE.S.11,ColoRect-AdenoCA::POLE.S.12,ColoRect-AdenoCA::POLE.S.13,ColoRect-AdenoCA::POLE.S.14
SBS1,2361.395017465948,1800.3102440851658,2162.5545844469925,2158.5178565311116,3777.843981627993,1454.512662206887,2581.543354830317,2368.3148792409816,2696.5527789127914,1172.6346459763117,2221.7525493915305,2517.3762417440093,2923.161278870195,1360.348274451277,1168.35048101546,2321.1503935946375,3421.808543171619,2320.0681014048646,2926.813674211791,1597.7552073358984,2921.3563919213416,2381.848446691023,2333.9356424485845,3132.461266783562,4214.685348632589,3460.410130557629,3407.1988709348393,2802.6286155057633,1746.7455030032372,3646.389356300321,2396.5446065561023,3109.1406255137636,1294.2314017599556,2734.9257881934404,4225.384002800237,3808.6243527551223,3213.949417817177,2759.538430223566,3990.943874465365,2580.229398762099,2587.706534521998,1209.6303950223028,2363.2104255358295,1764.7506114605262,1753.9622878850616,1630.243965307261,2103.7017356336505,3498.3191489283254,2877.4465651460787,2276.2447835705752,2204.709581997087,3160.902012431238,2654.860814043319,2142.497444233999,3014.1690953095504,4589.722942845665,1569.4560137137457,2488.170072875926,2845.515313922179,3022.4371465413087,1962.9779302081927,3479.0917414534283,3245.1375965624093,1529.6985225069363,2918.807083920888,1715.5156910117234,1825.8821754215562,2259.3707163394815,2800.9597336710103,3414.593954727735,21783.926972262507,0.0,76576.85314748081,0.0,0.0,12017.581742851282,0.0,25306.806333332184,14214.289999397686,0.0,30128.722660047366,14114.171955507225,12535.551331939621,79063.35684832474
SBS5,0.0,1141.774784221552,1537.8369717563876,1537.3456955274532,3072.220880121708,6741.650043187817,1967.1721050946371,3400.766355146571,2966.694557710268,1775.9173678577965,1566.427854871372,778.940205835572,0.0,0.0,0.0,4167.4948056059675,0.0,4849.085914278262,1694.8820710613854,0.0,0.0,0.0,5410.000687798193,3846.8389493520895,0.0,0.0,1651.4571799309479,0.0,5093.1176731873165,3582.9086343455374,4518.742911364489,2249.6620023865053,0.0,1328.3145309756712,2559.958300700753,0.0,5608.441493424427,0.0,0.0,1696.4200368412885,0.0,1939.047949873538,3303.2621998864365,3494.9826593870844,4517.098728138421,3302.197150594063,1393.144320275633,3578.0677410004855,0.0,4004.476537713658,4133.809920463908,813.2985275863637,0.0,0.0,4519.199009573436,123.78312762113347,2197.4706498296623,1570.2391363608342,1189.1052802094478,0.0,0.0,0.0,4283.169603966307,1921.2755804621443,4680.834795750599,3496.6387018103587,712.1614729938608,2387.341680770975,2607.9266934915636,3636.7757284586037,305547.4429304024,145886.44972028557,68296.20052501222,354775.41616102186,173692.04771083588,103226.77540329169,425080.14250549296,103232.87466490455,491463.9446735073,233075.81357389386,103571.98666535885,255208.17866140994,107841.47522847242,240296.31470702242
SBS10a,692.0301885417919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.03822963086384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1230.6775362501057,0.0,0.0,0.0,0.0,0.0,0.0,435.0048183907417,0.0,0.0,282.1615107231342,0.0,0.0,0.0,0.0,190.0476821154748,0.0,1218.319771607929,0.0,260.94315936526743,877.9289571934178,268.19527424149794,0.0,279.11575748555134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414.8338445429831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274065.800104184,68628.58688570626,282242.2061135571,796957.4312106946,346191.9951964379,308811.3206475193,922638.8133050987,668394.4809246063,453214.4574368198,698309.3450195725,114262.96059206898,441988.9735054634,167083.42287417263,554675.2316926756
SBS10b,0.0,0.0,0.0,0.0,0.0,409.58781850954625,0.0,217.22546037963156,329.5957089744844,0.0,0.0,0.0,0.0,0.0,0.0,237.78343637379658,0.0,0.0,0.0,0.0,470.1865033161846,0.0,439.9314874810965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,853.3165416203688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466.0560367159335,0.0,595.6940115463224,0.0,637.225302598353,0.0,0.0,292.38958858116735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391.93857733188133,0.0,432.4858215849056,0.0,174.32996325338428,0.0,0.0,0.0,0.0,74847.79288091352,307347.5836688456,86633.26770338345,188341.6980791567,242705.83470240753,377249.56329396437,90452.52367572059,148261.8366075062,150066.1878122028,43873.346892689355,45114.340276148454,316675.0783540561,149005.1546241295,77247.33397728569
SBS17a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.33702986525776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1867.5171579577943,0.0,0.0,0.0,0.0,0.0,1763.531589185778,0.0,0.0,0.0,0.0,0.0,779.7351664082728,1380.4013762359868,0.0,0.0,0.0,1530.7368088013566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS17b,0.0,0.0,0.0,0.0,284.34631297338404,0.0,0.0,0.0,0.0,0.0,0.0,1289.6976080268664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.5710179479195,5449.153822648312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1544.9735204450217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3542.7159734114434,0.0,0.0,0.0,0.0,4487.90747481511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28506.80922231233,0.0,0.0,27469.46875596538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS18,5326.729682164861,3674.894875036735,5864.089308021667,0.0,2889.7809649091,1897.4218867489599,4559.350994265011,0.0,4106.086861788675,4006.7051615648043,5468.688350801652,2647.1604374773015,3389.1478211087556,2889.618915239332,3274.9120918165463,1494.3245405307596,4453.490315662757,2010.2543370611643,5768.800651471367,3203.2813522218016,3461.022546154803,0.0,5031.879895167979,0.0,1685.150034225157,2408.230733814936,4509.787026030765,3017.951668250039,2513.3539908671137,6184.0545455995925,3428.6892083249722,0.0,2348.074638234566,1510.904616238818,3745.8256597792033,7895.260595823345,1918.0271753411803,1172.1331881510898,8002.525542548796,2960.8679709783364,506.0811518912649,2516.434930285083,3548.3929640195925,3880.035612588833,2410.0393877765573,2728.5654726591124,1463.1555539786723,0.0,4533.154222719401,0.0,3647.4931933781836,3281.71028553327,1378.3051739802208,7324.416043212093,0.0,1459.8486808855848,2949.662960120023,4706.217846931942,5348.417393423324,1387.9632587729266,2712.192991864604,2679.796962103983,6329.741403379423,0.0,4325.600843371572,0.0,815.788899841184,3313.5876268039856,3542.2292099164083,4616.469128875407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110973.41822966005,0.0,0.0
SBS28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,445.1645382303933,256.31011396826153,351.32502138153507,578.96872933907,0.0,0.0,0.0,0.0,0.0,0.0,571.2799855907415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,538.772914133204,0.0,0.0,430.8058639580828,0.0,638.8757136596678,0.0,376.927236140931,0.0,857.4346505169291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.1216988719592,419.47646118015746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,902.9941576158512,0.0,171759.01113789622,163387.7232937485,78927.10787686647,113957.42603909854,584298.0743717668,69932.03795169442,202036.2408426953,419485.98511706636,42349.29686081945,64005.6380451409,18588.478434238623,156596.43991261203,102923.76791160356,175917.36900415097
SBS37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1246.757248949075,0.0,2519.706875288328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630.6000789005238,0.0,596.977602683753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1464.1508302593152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.007267310609,0.0,0.0,0.0,0.0,2030.0902676320097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS40,0.0,7666.049683694275,0.0,0.0,17796.09863866347,8250.066253392768,0.0,0.0,7469.797588427572,0.0,8371.60066621485,0.0,11704.51549812613,17828.821946440614,4459.90572414352,925.9617668678839,8593.770143893304,6648.300072079561,4234.922969733567,10987.25482149998,7620.530291825317,0.0,0.0,1257.833746857526,6531.431213096295,10284.83555593436,0.0,11056.668258983287,0.0,6914.717889009529,5660.570456425827,0.0,10775.284435903077,6528.833335714922,0.0,2143.3580037518004,7746.170897032862,5113.430134288632,7940.464146131966,0.0,13826.006066779153,8377.57752371604,7163.9550598647465,12331.215801030687,7880.356352765261,1876.6691436974806,7918.207546285253,18490.699296730087,10225.466501388935,3464.9699112521603,0.0,0.0,13986.590941178885,5288.154486524281,0.0,5664.222439663958,5903.799203285525,0.0,7093.084197898857,9449.567390495946,7015.098297639667,16295.999025294323,6004.641776437643,14547.151473292108,3993.408397983936,3487.52004725818,8105.161030446211,6089.647859493001,7239.226626398787,10200.775186476829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
