,Kidney-RCC::S.1,Kidney-RCC::S.2,Kidney-RCC::S.3,Kidney-RCC::S.4,Kidney-RCC::S.5,Kidney-RCC::S.6,Kidney-RCC::S.7,Kidney-RCC::S.8,Kidney-RCC::S.9,Kidney-RCC::S.10,Kidney-RCC::S.11,Kidney-RCC::S.12,Kidney-RCC::S.13,Kidney-RCC::S.14,Kidney-RCC::S.15,Kidney-RCC::S.16,Kidney-RCC::S.17,Kidney-RCC::S.18,Kidney-RCC::S.19,Kidney-RCC::S.20,Kidney-RCC::S.21,Kidney-RCC::S.22,Kidney-RCC::S.23,Kidney-RCC::S.24,Kidney-RCC::S.25,Kidney-RCC::S.26,Kidney-RCC::S.27,Kidney-RCC::S.28,Kidney-RCC::S.29,Kidney-RCC::S.30,Kidney-RCC::S.31,Kidney-RCC::S.32,Kidney-RCC::S.33,Kidney-RCC::S.34,Kidney-RCC::S.35,Kidney-RCC::S.36,Kidney-RCC::S.37,Kidney-RCC::S.38,Kidney-RCC::S.39,Kidney-RCC::S.40,Kidney-RCC::S.41,Kidney-RCC::S.42,Kidney-RCC::S.43,Kidney-RCC::S.44,Kidney-RCC::S.45,Kidney-RCC::S.46,Kidney-RCC::S.47,Kidney-RCC::S.48,Kidney-RCC::S.49,Kidney-RCC::S.50,Kidney-RCC::S.51,Kidney-RCC::S.52,Kidney-RCC::S.53,Kidney-RCC::S.54,Kidney-RCC::S.55,Kidney-RCC::S.56,Kidney-RCC::S.57,Kidney-RCC::S.58,Kidney-RCC::S.59,Kidney-RCC::S.60,Kidney-RCC::S.61,Kidney-RCC::S.62,Kidney-RCC::S.63,Kidney-RCC::S.64,Kidney-RCC::S.65,Kidney-RCC::S.66,Kidney-RCC::S.67,Kidney-RCC::S.68,Kidney-RCC::S.69,Kidney-RCC::S.70,Kidney-RCC::S.71,Kidney-RCC::S.72,Kidney-RCC::S.73,Kidney-RCC::S.74,Kidney-RCC::S.75,Kidney-RCC::S.76,Kidney-RCC::S.77,Kidney-RCC::S.78,Kidney-RCC::S.79,Kidney-RCC::S.80,Kidney-RCC::S.81,Kidney-RCC::S.82,Kidney-RCC::S.83,Kidney-RCC::S.84,Kidney-RCC::S.85,Kidney-RCC::S.86,Kidney-RCC::S.87,Kidney-RCC::S.88,Kidney-RCC::S.89,Kidney-RCC::S.90,Kidney-RCC::S.91,Kidney-RCC::S.92,Kidney-RCC::S.93,Kidney-RCC::S.94,Kidney-RCC::S.95,Kidney-RCC::S.96,Kidney-RCC::S.97,Kidney-RCC::S.98,Kidney-RCC::S.99
SBS1,239.70994896654796,289.1657541009491,156.56199784136973,331.2427234239103,205.13675728058772,245.02319580302432,123.3361038189469,0.0,152.09213925224054,243.33480872663696,138.88440169930672,155.13150584656452,0.0,68.37199145442364,245.42405095285204,0.0,149.63777923286005,54.39483859440971,179.08441798663995,180.9574806151288,134.84199068765275,0.0,430.78541220072765,0.0,216.97298380678419,118.33491784827797,210.32279346997615,311.3922461332632,293.4756264507223,189.98889325119015,187.24120462390562,0.0,91.16486005856152,176.67586184861193,199.8269483136289,0.0,0.0,117.81311204181388,150.50139686033936,0.0,0.0,232.16377565516277,207.6625151920745,182.42660356946155,0.0,377.1052178161582,116.45030020390647,475.304366818158,191.4247820707728,208.32582000944348,499.2603134770632,317.8245795375206,430.22288835522477,54.973030657168245,271.8529082911456,0.0,143.39366512905553,326.73044347431846,0.0,374.1390117450864,0.0,0.0,84.05019379486204,0.0,99.43181676730413,450.3172852009501,172.30047424675837,203.1499572813108,203.7797151878285,301.7694249124803,181.89799026103148,224.45720698673074,173.51381903476778,79.90565451343905,0.0,209.94296734872643,162.06985052323202,0.0,171.33911625103767,306.35662631346685,140.79923662657984,216.17835357201278,142.10904312189035,0.0,170.03646472775108,551.9326744990393,0.0,307.23906389838544,180.15773620646414,0.0,70.48771826025667,99.67986478034356,0.0,194.4232474045887,441.42740336468995,0.0,0.0,165.34806588982627,370.743253616339
SBS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.80829624684334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.088963918021,0.0,121.7628604143261,0.0,0.0,71.40425068513854,0.0,0.0,0.0,0.0,66.9792202266873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.83020067667482,0.0,0.0,0.0,0.0,0.0,127.90786679337472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.08958723884147,0.0,0.0,0.0,63.47948611811829,0.0,0.0,0.0,32.983463013930944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6719607746349,0.0,0.0,0.0
SBS4,950.0105864095159,748.5537726015258,1040.8308385717512,0.0,0.0,0.0,349.0247960492512,902.9111833651557,0.0,682.4358574407933,1095.1012782431892,748.6598156286403,0.0,532.6762826468162,360.32232126993426,0.0,2019.2322942303138,546.7683269069664,1073.942855044862,0.0,0.0,895.4452101875969,0.0,459.0683560955518,0.0,0.0,225.2451410568097,325.8153392508599,859.7012835999889,494.0063856312506,153.76636969685035,0.0,436.49020964011316,922.2584263931107,772.9193272614694,0.0,0.0,316.755201652112,553.0654830212972,0.0,0.0,0.0,1049.0435808588725,0.0,196.60422824310788,215.31424527533125,461.2977137432588,0.0,471.3365550500191,1209.5854906134514,0.0,0.0,0.0,1187.5769524796779,393.77071947846434,0.0,425.2275218000781,0.0,912.498017858446,1155.0223417408718,1289.4205954807924,0.0,484.26492974899304,1656.3101309594203,1213.5348204837978,0.0,0.0,0.0,109.92302099937567,479.7301489248209,803.0610375157834,0.0,0.0,1034.1969451153393,0.0,458.1099866677569,505.6094260141717,1277.8259479266321,413.3916101154258,169.69668174619235,940.3315020453124,2568.9786438834158,0.0,0.0,0.0,354.7992262972746,0.0,1430.673600520905,0.0,334.892530050958,1838.2162022270131,508.22695810743164,709.2599082989952,904.3111365631853,1059.4011405692593,1178.447291045468,1012.5484061857069,1512.6156605300673,0.0
SBS5,1036.9005817667278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2314.873248929842,0.0,0.0,1020.3046274327742,212.15857376246902,0.0,0.0,0.0,1549.0884859958167,0.0,0.0,0.0,0.0,0.0,100.87237924351383,0.0,1653.2446616500831,2059.425870478158,1493.8553817202258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014.0134951913435,0.0,0.0,0.0,1604.77124779515,245.70433053857423,0.0,0.0,1095.0635741765227,0.0,0.0,0.0,555.0324561141653,0.0,0.0,610.433411150631,0.0,0.0,1568.5088406450843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.49247518644142,2222.233105063814,993.6362711264838,666.243756520473,0.0,0.0,0.0,0.0,0.0,0.0
SBS12,0.0,0.0,0.0,402.29698475866604,0.0,0.0,0.0,507.6858031438575,0.0,0.0,0.0,646.123440071545,0.0,0.0,0.0,0.0,0.0,24.415410391294095,0.0,257.28530463612384,0.0,0.0,0.0,0.0,0.0,0.0,91.00225340117157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,886.0432647627633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS13,0.0,0.0,114.04394832863578,0.0,0.0,0.0,0.0,0.0,0.0,59.55885602216847,0.0,61.98341838872064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.57203256075097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.4809234842805,0.0,0.0,408.2691061419379,0.0,32.95898848001615,0.0,0.0,0.0,0.0,45.39163135441156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.425717905996144,0.0,0.0,409.5478934430228,168.09496591711627,119.89302044714276,84.05824523986688,24.47098244411058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.66280623648183,0.0,0.0,0.0,318.06898081630857,0.0,0.0,0.0,0.0,0.0,0.0,94.03536724196891,0.0,0.0,0.0,0.0,0.0,0.0,155.69399479021868,21.276575407390677,434.4791497238269,0.0
SBS18,262.26070676518486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.93216811259543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.26836160036606,0.0,0.0,0.0,0.0,0.0,0.0,2964.96498535896,0.0,0.0,1433.8574143745004,0.0,0.0,0.0,539.0296715239938,0.0,501.5321262982682,108.57763010542564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.04218996783325,0.0,0.0,0.0,0.0,159.79373723887895,0.0,0.0,216.27634736151694,0.0,0.0,98.76241727263135,0.0,918.2528645823314,0.0,0.0,0.0,0.0,0.0,227.85547853486685,0.0
SBS22a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.14774788407333,451.4789742114016,0.0,0.0,55.15725912205461,0.0,0.0,0.0,0.0,0.0,44.52472009576128,20490.852365331273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,791.0427622691117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1170.565934557345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.7426550800841,6276.781720774708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.77695708397084,0.0,0.0
SBS22b,0.0,1362.6189911882414,0.0,0.0,5026.171266965252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5052.519782154659,65.65239142299014,0.0,0.0,0.0,0.0,0.0,4941.95341334064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7429.156270850362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.3202899693961,0.0,0.0,0.0,2729.300656697551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2363.6533199015826,0.0,0.0,0.0,0.0,0.0,0.0,1553.8977064479695,0.0,0.0,0.0,2286.648038603074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS40a,1495.256398676865,691.9580963598619,1341.2870128123327,3264.1810701115755,1765.5621943691406,880.343948890421,1902.691788585369,1734.8757847467148,1992.7175402970615,1373.6689652038708,3247.7270452042417,1691.6423422304306,2329.0549264947576,146.74339719412012,1950.2961369117183,1356.5161516328096,0.0,0.0,0.0,2057.405831054402,1670.9567156804908,677.0803102826462,2645.136656413798,0.0,1434.1785943414307,1172.4865021059443,923.4517752509862,2135.1544009833556,0.0,3603.1540880435587,422.6745073818736,1370.2364478980421,2689.2945528402333,0.0,2552.352803888183,0.0,1413.1842952389215,1809.9621457381886,964.0732207037215,0.0,1432.2647809512396,416.7340652761095,1390.6048673940102,1559.7106338461272,2918.96213462174,1487.3687319070332,825.6774389155314,1950.5596269137966,1491.157194609253,1396.6693763464068,1731.5611565747938,2092.4527363093616,1856.1683767432214,0.0,1714.2851623340252,525.7114568583987,2088.853756595221,605.4174028067132,2490.080192056968,1098.8574276953536,1098.1421223008247,3204.8096680749586,2591.8258711690987,3161.6450275537222,2415.5518543425223,1251.0140315783196,724.7414583692137,804.8237609353048,2028.6522413133712,0.0,2504.8726530995636,1435.2358433926286,4452.727140070917,1106.795414442826,0.0,0.0,1701.2749049508848,2701.228612975704,0.0,1696.9547110414637,619.3443824489636,1412.5917733980493,1024.687159468793,805.7972761514209,710.3456890034736,1249.4604216452867,1426.998099870708,2019.971530423401,1812.7585177618607,1163.5379701372692,1070.999746089226,1753.5089805781488,1266.8508195055222,2135.642105728044,3361.218923173817,982.997320831058,1120.7637691159796,1157.8922117004,2079.881470558641
