,Ovary-AdenoCA::S.1,Ovary-AdenoCA::S.2,Ovary-AdenoCA::S.3,Ovary-AdenoCA::S.4,Ovary-AdenoCA::S.5,Ovary-AdenoCA::S.6,Ovary-AdenoCA::S.7,Ovary-AdenoCA::S.8,Ovary-AdenoCA::S.9,Ovary-AdenoCA::S.10,Ovary-AdenoCA::S.11,Ovary-AdenoCA::S.12,Ovary-AdenoCA::S.13,Ovary-AdenoCA::S.14,Ovary-AdenoCA::S.15,Ovary-AdenoCA::S.16,Ovary-AdenoCA::S.17,Ovary-AdenoCA::S.18,Ovary-AdenoCA::S.19,Ovary-AdenoCA::S.20,Ovary-AdenoCA::S.21,Ovary-AdenoCA::S.22,Ovary-AdenoCA::S.23,Ovary-AdenoCA::S.24,Ovary-AdenoCA::S.25,Ovary-AdenoCA::S.26,Ovary-AdenoCA::S.27,Ovary-AdenoCA::S.28,Ovary-AdenoCA::S.29,Ovary-AdenoCA::S.30,Ovary-AdenoCA::S.31,Ovary-AdenoCA::S.32,Ovary-AdenoCA::S.33,Ovary-AdenoCA::S.34,Ovary-AdenoCA::S.35,Ovary-AdenoCA::S.36,Ovary-AdenoCA::S.37,Ovary-AdenoCA::S.38,Ovary-AdenoCA::S.39,Ovary-AdenoCA::S.40,Ovary-AdenoCA::S.41,Ovary-AdenoCA::S.42,Ovary-AdenoCA::S.43,Ovary-AdenoCA::S.44,Ovary-AdenoCA::S.45,Ovary-AdenoCA::S.46,Ovary-AdenoCA::S.47,Ovary-AdenoCA::S.48,Ovary-AdenoCA::S.49,Ovary-AdenoCA::S.50,Ovary-AdenoCA::S.51,Ovary-AdenoCA::S.52,Ovary-AdenoCA::S.53,Ovary-AdenoCA::S.54,Ovary-AdenoCA::S.55,Ovary-AdenoCA::S.56,Ovary-AdenoCA::S.57,Ovary-AdenoCA::S.58,Ovary-AdenoCA::S.59,Ovary-AdenoCA::S.60,Ovary-AdenoCA::S.61,Ovary-AdenoCA::S.62,Ovary-AdenoCA::S.63,Ovary-AdenoCA::S.64,Ovary-AdenoCA::S.65,Ovary-AdenoCA::S.66,Ovary-AdenoCA::S.67,Ovary-AdenoCA::S.68,Ovary-AdenoCA::S.69,Ovary-AdenoCA::S.70,Ovary-AdenoCA::S.71,Ovary-AdenoCA::S.72,Ovary-AdenoCA::S.73,Ovary-AdenoCA::S.74,Ovary-AdenoCA::S.75,Ovary-AdenoCA::S.76,Ovary-AdenoCA::S.77,Ovary-AdenoCA::S.78,Ovary-AdenoCA::S.79,Ovary-AdenoCA::S.80,Ovary-AdenoCA::S.81,Ovary-AdenoCA::S.82,Ovary-AdenoCA::S.83,Ovary-AdenoCA::S.84,Ovary-AdenoCA::S.85,Ovary-AdenoCA::S.86,Ovary-AdenoCA::S.87,Ovary-AdenoCA::S.88,Ovary-AdenoCA::S.89,Ovary-AdenoCA::S.90,Ovary-AdenoCA::S.91,Ovary-AdenoCA::S.92,Ovary-AdenoCA::S.93,Ovary-AdenoCA::S.94,Ovary-AdenoCA::S.95,Ovary-AdenoCA::S.96,Ovary-AdenoCA::S.97,Ovary-AdenoCA::S.98,Ovary-AdenoCA::S.99
SBS1,478.0318577341044,1017.4089618196837,766.8014738252973,571.0424092349584,437.945762119063,270.11588215588245,464.75052197841745,380.26868766559033,585.8276286640596,295.0796617832871,562.7719478710472,310.8918447495557,799.8428220709629,613.2002182402994,296.41979118355374,459.66564573666534,404.8678832774044,230.71902950749632,762.452623463356,487.5482231291826,408.18290451952345,376.12313167066185,335.05395859756806,190.86989354487673,379.0973595911404,332.2825345154988,600.6375540687357,242.1241402179196,354.82411569331816,524.0973639748496,352.034849947539,628.9488074407031,330.81903469019784,648.5589149511501,975.939616703603,622.420145920045,1134.870190164721,832.0865567344259,909.333342894612,742.630668167818,527.2729906006888,386.0274514002317,1021.7011562000051,899.4483551287155,489.9009847841979,424.2481572563517,188.46230780820684,954.534426064873,452.81707087441544,1018.8676308737541,1296.9930948741667,565.1430514420142,364.1308383465507,224.4589344556106,846.0205269540229,1010.5231444729914,375.4066322324696,803.6070656377503,440.8402395732977,316.2874142381094,374.3195468457904,927.5287980468328,953.8767457283924,503.5823406366291,578.9965438160574,395.23166404650425,316.46164309921033,725.1960251861078,749.4638377611678,249.53862151575512,758.0654175555543,742.1943548546909,422.1267755499517,331.1361497185742,372.10825775628314,698.0824046657092,335.32579699137716,439.3733235584857,616.3089969104481,206.00571966472953,541.8054533794909,672.2618806911672,241.64451878418456,893.8123228719882,742.4765808204039,504.43453620642833,492.1165339090075,268.07534506929943,413.98691829554883,255.16744504447718,312.02797982704607,572.0232317453994,335.91749363949225,535.3272463973494,317.8904352573133,1044.1321854013795,178.25186327787955,266.25003486172966,853.9653351281527
SBS2,0.0,0.0,0.0,153.91911519939902,0.0,288.1904004845394,274.063950775845,0.0,0.0,0.0,0.0,75.72477760970878,1461.387486043495,0.0,0.0,0.0,448.2366944656489,95.69820497921862,264.64436018386573,0.0,0.0,0.0,0.0,0.0,82.71871052315547,514.0954676019899,0.0,0.0,537.5057356096883,179.40943132537535,71.55566191346222,0.0,208.65123635245686,0.0,0.0,510.0279248116147,0.0,0.0,0.0,553.1390055288157,115.05993482366796,0.0,506.1337813919991,651.2865454029807,207.58450909306504,0.0,0.0,0.0,0.0,451.11245024707625,0.0,0.0,0.0,0.0,342.81071111117143,0.0,0.0,0.0,391.544088677157,0.0,472.2552874924716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401.6236215306163,185.5734848662147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.3390339884222,0.0,0.0,0.0,0.0,0.0,98.4985628269998,357.59044331211743,0.0,0.0,227.78929673439103,703.3508525942369,0.0,0.0,800.9301911705213,235.04088675399257,0.0,181.4361267453607,0.0,627.1587469709402,162.56617937520804,34.6883802656003
SBS3,4582.627465870523,3053.520857771353,2021.1622921755616,1719.2075133951353,8598.797949908807,6806.788993737222,2972.9780827625923,2313.761607769097,4123.33944534372,2544.2382756449288,6224.394296789254,2003.4791634149474,3575.0044059129764,1000.8230373426366,1092.1384136796098,0.0,3520.533739631914,1951.736690159639,4763.660333758651,713.0301665330812,5339.946879464476,7574.827655667024,5108.441517677166,4264.471575955263,2727.045494009625,2349.385966936005,5978.267218187427,3779.9834366325267,2850.8539242681004,4643.360951730741,2059.6093720333947,6381.128161330922,4880.843168675132,11846.679006477101,2489.9940953867435,1003.2813770802495,7666.426695869413,5673.17062945824,0.0,3961.059602821006,3929.989788276447,1449.1224051490735,3412.007785157646,5627.146085170722,4338.58350847702,0.0,0.0,8907.919396025263,5774.346489146878,583.6345895876996,10647.683327219638,4681.672975663429,2627.4549273410016,3978.2073725020014,0.0,3852.6713514486473,3039.9074101596075,5383.134394366869,3211.8644579255015,4888.547607072861,1309.4544795298552,7561.13008870766,4368.624557639108,7264.12835296312,8229.646214523618,2798.020564540985,0.0,1238.0926984809146,1841.0092634099442,4809.580445480231,5521.2949358075,2201.152470072841,1920.1716890408525,7184.517240285864,5276.982613382392,3952.5219972383525,4481.483913996388,1571.2528174139334,2919.4027261422766,2211.9260209409686,2920.8188502380654,7963.689051889343,9242.80952930747,6873.568579252222,7480.944565841418,5637.698751510174,2095.2718548969547,13824.401668441837,1264.5800847231721,8439.905981661836,2841.9478055560903,8097.09288610192,0.0,7271.539526608966,3867.323720865138,5404.876494373932,7409.424593642361,3934.270969450686,2465.721466539668
SBS5,1586.2413105561068,0.0,1570.6314199988942,1520.4611994377854,1356.028885462003,1646.665654920298,2015.2955414979583,2854.1647005337663,0.0,0.0,0.0,1387.74087929456,599.6284592601965,725.400935711303,2225.13603047646,1808.477994981916,634.8088341098264,0.0,2670.6253823298025,3657.5782990631237,3667.3202241412832,7631.634087005261,834.1166722146672,730.6857081040964,712.6857920770158,1017.0155433211833,987.6280742663271,3568.505342369705,726.3013677886252,0.0,1117.9632322604673,948.3877902345992,881.1660405153589,4342.677012158099,3340.213255683925,488.1700111267718,0.0,0.0,600.8667663342301,3097.4262474182956,1504.8542373596597,2620.4682688687144,1203.1063636130993,3947.1969078736547,1507.1765105086279,0.0,5436.500778376674,0.0,0.0,1513.1315685081786,1025.2070641572154,866.4500706487443,0.0,0.0,2139.070021489016,0.0,1933.240043007384,0.0,3279.464607505141,3334.3560511611104,1800.0691972747602,0.0,0.0,1147.6216557024327,0.0,3390.970669308743,1424.8327317036171,1054.7917642667421,565.7051024868688,652.7020132301395,3021.9830213621226,1865.471607033448,1007.5960439147118,0.0,1448.4437536362298,1629.106554797982,1218.6431284939595,1447.0970926898124,1268.1039940414157,0.0,0.0,0.0,5071.362581168054,0.0,1923.8697586627613,2069.6525968159885,1736.8379717428788,0.0,555.325819305554,3360.585590492835,0.0,1298.5953773728288,1128.663376386608,0.0,552.607248688364,1022.855159815781,1963.053692642845,484.2381475719858,0.0
SBS8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.3523495389731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.3735519521888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2587.010596326838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS13,0.0,0.0,0.0,459.6714365932396,447.0567462440025,0.0,0.0,0.0,522.8896791223959,1188.575954539153,0.0,0.0,490.6006228871187,0.0,0.0,658.8780275613,317.1093319724426,196.48041771007934,0.0,0.0,0.0,0.0,0.0,753.0440074864382,0.0,0.0,0.0,0.0,0.0,668.0916467034539,546.2028491643923,731.4498059325589,0.0,0.0,229.88695790636976,105.64447830240668,791.0006849296208,0.0,0.0,324.9549374180332,405.36087815874635,0.0,0.0,0.0,558.3429964401939,0.0,582.3948974472576,346.5178511884168,0.0,973.2633905698552,0.0,80.06387936186296,0.0,743.1806933566542,0.0,152.5584051098021,1705.1251977543714,484.526647103233,0.0,0.0,0.0,0.0,0.0,300.36009852578405,0.0,549.3881144175997,0.0,0.0,366.1376642387108,0.0,0.0,413.82406163137233,0.0,0.0,0.0,0.0,0.0,505.0668611891983,147.69811214161126,811.3288065375497,0.0,606.9931064869031,711.7704484981027,0.0,598.8735906353385,0.0,0.0,0.0,0.0,0.0,0.0,346.6810385006934,379.2729532289557,0.0,0.0,0.0,0.0,0.0,560.0502284247844
SBS18,0.0,1068.395611740744,490.966982745043,0.0,0.0,803.7318493940452,0.0,147.2836052069847,1245.1903565220473,0.0,0.0,0.0,0.0,739.8726630570618,420.2934338319397,0.0,0.0,2220.6257463714346,0.0,1012.2191763054307,0.0,709.8017116259239,1945.9459015336734,267.35150303022624,186.0768344109522,0.0,1446.59179974379,0.0,410.28336560075184,296.56245155536044,0.0,0.0,289.29187089474976,0.0,0.0,0.0,0.0,0.0,0.0,1362.3102592037058,0.0,0.0,190.69207415718347,0.0,479.1885251352928,0.0,0.0,447.32094380542014,0.0,0.0,0.0,0.0,166.70612432327312,0.0,97.4497122852174,0.0,0.0,0.0,0.0,0.0,286.7371054395421,210.52711912556106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,638.4614182404578,0.0,0.0,189.3064205180042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421.18194264428513,0.0,0.0,0.0,573.0046150928175,804.6621615197142,0.0,0.0,0.0,0.0,0.0,289.3255187113698,0.0
SBS35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.130520999804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005.3338743313914,0.0,0.0,0.0,0.0,0.0,0.0,338.1518967198282,505.46202174437576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.88902908048846,0.0,0.0,0.0,0.0,87.27381846571652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1190.235085118894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.25326792099594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488.14052795299153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,914.3560665543644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS40,0.0,2365.536044226036,0.0,758.136385446497,4620.304085095691,0.0,0.0,0.0,1060.6808644006442,3466.0572135998436,3098.186791224687,0.0,3536.6499766987845,3455.7598051594373,5382.115955314324,0.0,0.0,0.0,0.0,0.0,5027.695246449674,0.0,0.0,1339.9662883942863,2763.351074304888,5086.0431747383645,0.0,5079.4931397652645,0.0,2961.766244335044,0.0,5907.012652752328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3404.7400607933496,2841.6265825084106,0.0,0.0,3987.7229403574797,0.0,3514.352926947825,0.0,5100.553802650042,9744.735169114563,0.0,0.0,0.0,0.0,4018.345335373054,0.0,0.0,0.0,714.7959727127145,0.0,1835.7399251811398,5518.069601721815,0.0,3833.500306262807,0.0,0.0,0.0,0.0,0.0,3253.9117256507525,3819.7640707402043,0.0,4178.942775224477,0.0,5907.2589559899325,0.0,0.0,0.0,0.0,0.0,0.0,6878.519597367693,5395.816411480217,0.0,0.0,0.0,0.0,615.6560053765197,0.0,0.0,3750.549887216137,0.0,0.0,0.0,3335.16047279116,0.0,0.0,2344.7681974481093,0.0,0.0
