,Skin-Melanoma::S.1,Skin-Melanoma::S.2,Skin-Melanoma::S.3,Skin-Melanoma::S.4,Skin-Melanoma::S.5,Skin-Melanoma::S.6,Skin-Melanoma::S.7,Skin-Melanoma::S.8,Skin-Melanoma::S.9,Skin-Melanoma::S.10,Skin-Melanoma::S.11,Skin-Melanoma::S.12,Skin-Melanoma::S.13,Skin-Melanoma::S.14,Skin-Melanoma::S.15,Skin-Melanoma::S.16,Skin-Melanoma::S.17,Skin-Melanoma::S.18,Skin-Melanoma::S.19,Skin-Melanoma::S.20,Skin-Melanoma::S.21,Skin-Melanoma::S.22,Skin-Melanoma::S.23,Skin-Melanoma::S.24,Skin-Melanoma::S.25,Skin-Melanoma::S.26,Skin-Melanoma::S.27,Skin-Melanoma::S.28,Skin-Melanoma::S.29,Skin-Melanoma::S.30,Skin-Melanoma::S.31,Skin-Melanoma::S.32,Skin-Melanoma::S.33,Skin-Melanoma::S.34,Skin-Melanoma::S.35,Skin-Melanoma::S.36,Skin-Melanoma::S.37,Skin-Melanoma::S.38,Skin-Melanoma::S.39,Skin-Melanoma::S.40,Skin-Melanoma::S.41,Skin-Melanoma::S.42,Skin-Melanoma::S.43,Skin-Melanoma::S.44,Skin-Melanoma::S.45,Skin-Melanoma::S.46,Skin-Melanoma::S.47,Skin-Melanoma::S.48,Skin-Melanoma::S.49,Skin-Melanoma::S.50,Skin-Melanoma::S.51,Skin-Melanoma::S.52,Skin-Melanoma::S.53,Skin-Melanoma::S.54,Skin-Melanoma::S.55,Skin-Melanoma::S.56,Skin-Melanoma::S.57,Skin-Melanoma::S.58,Skin-Melanoma::S.59,Skin-Melanoma::S.60,Skin-Melanoma::S.61,Skin-Melanoma::S.62,Skin-Melanoma::S.63,Skin-Melanoma::S.64,Skin-Melanoma::S.65,Skin-Melanoma::S.66,Skin-Melanoma::S.67,Skin-Melanoma::S.68,Skin-Melanoma::S.69,Skin-Melanoma::S.70,Skin-Melanoma::S.71,Skin-Melanoma::S.72,Skin-Melanoma::S.73,Skin-Melanoma::S.74,Skin-Melanoma::S.75,Skin-Melanoma::S.76,Skin-Melanoma::S.77,Skin-Melanoma::S.78,Skin-Melanoma::S.79,Skin-Melanoma::S.80,Skin-Melanoma::S.81,Skin-Melanoma::S.82,Skin-Melanoma::S.83,Skin-Melanoma::S.84,Skin-Melanoma::S.85,Skin-Melanoma::S.86,Skin-Melanoma::S.87,Skin-Melanoma::S.88,Skin-Melanoma::S.89,Skin-Melanoma::S.90,Skin-Melanoma::S.91,Skin-Melanoma::S.92,Skin-Melanoma::S.93,Skin-Melanoma::S.94,Skin-Melanoma::S.95,Skin-Melanoma::S.96,Skin-Melanoma::S.97,Skin-Melanoma::S.98,Skin-Melanoma::S.99
SBS1,0.0,878.1317688190754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.82562195318053,0.0,0.0,0.0,0.0,0.0,140.8401083103395,0.0,0.0,48.89805704552892,0.0,0.0,0.0,436.57061854528,0.0,0.0,168.2038799119651,0.0,0.0,0.0,671.5730349715201,0.0,0.0,0.0,1276.3546936856467,0.0,0.0,602.8478856699684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1298.858402007955,0.0,0.0,215.33882505514873,0.0,635.2921678873216,0.0,0.0,0.0,0.0,0.0,0.0,139.16119831851475,1308.8698862506258,0.0,0.0,661.7572554232162,0.0,1116.1611858641845,0.0,624.3966683570584,0.0,0.0,0.0,112.85395930039573,0.0,0.0,0.0,0.0,1448.3686660334652,0.0,0.0,1612.9012262199194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.2252629105284,0.0,0.0,0.0,0.0,877.3620910687176,494.80015804637475,14.695524528364937
SBS2,0.0,0.0,0.0,0.0,0.0,50813.35450498405,0.0,51535.477236879764,0.0,0.0,0.0,0.0,3105.760353927006,72165.03786168012,27021.72061939624,0.0,0.0,0.0,0.0,0.0,18907.20714404792,26272.63881827479,0.0,2372.4221766136116,0.0,10542.272023397327,0.0,2113.144407735248,0.0,2206.2858940426627,0.0,0.0,20439.8926604811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20491.15993955534,0.0,0.0,0.0,7155.9304394302835,0.0,0.0,0.0,0.0,0.0,9495.741786058265,0.0,0.0,0.0,0.0,0.0,0.0,14876.473281808572,0.0,0.0,0.0,19022.19638030131,236.26798958631312,0.0,9326.40112014528,0.0,2127.6859606447956,0.0,445.66848064412886,0.0,0.0,0.0,13983.873769409416,0.0,0.0,40846.320316088866,6547.009013842378,0.0,5602.1626636127,6561.633691666791,42327.162735204474,8647.606059464426,0.0,0.0,18690.98190230331,0.0,0.0,0.0,0.0,0.0,3213.849249694801,0.0,0.0,0.0,0.0
SBS5,724.6317827786046,3471.8895302736655,4127.019235375223,0.0,0.0,20338.522529493555,2631.577738359531,0.0,0.0,0.0,8659.858040196297,11042.187869030186,4983.723651376028,21996.96663336073,13034.123508751753,3761.760539495251,1388.439857702472,4621.285861624833,3014.354931932229,0.0,6810.575749691114,0.0,0.0,2131.31074484405,0.0,5802.905319716956,2211.727765317883,3500.072315962236,2851.908691563129,19348.60030300198,659.1263778965827,7803.371493205246,0.0,1376.3259836206744,9026.314300979973,0.0,2021.8953442970399,0.0,0.0,0.0,0.0,8176.029953859589,3418.517085362068,0.0,26420.557297745036,2312.452431064896,0.0,9173.173676373253,0.0,0.0,0.0,0.0,0.0,2463.2942421294833,15050.584526793942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3989.7337347207344,0.0,0.0,1821.2574594066782,6219.846275816,2609.4942511447653,3041.3096621339864,0.0,0.0,468.39353870239387,0.0,1441.541995158713,0.0,0.0,0.0,4672.005113554907,0.0,11510.735032199222,3541.2892937411293,0.0,5163.705772156418,0.0,0.0,8802.979087115733,10397.032812757856,11417.055433137592,0.0,0.0,849.0231559807709,14818.800858644008,0.0,3738.1522082846727,7647.049340226237,3729.633559387011,329.03093877236836,0.0
SBS7a,0.0,10751.663879084397,40968.37324688019,247610.42160878604,69166.9038703862,65082.61898514873,85142.52025168198,179069.27891009374,0.0,66749.51027116168,12483.815659955897,10169.421408665525,37254.13788865035,64784.10874266108,28260.58424090692,13151.432806704062,15338.360509926577,31068.345973021267,957.4474135024079,0.0,0.0,155682.60428345524,0.0,0.0,0.0,0.0,18988.134214169728,0.0,47293.055751559,0.0,0.0,2237.827032098371,53702.6140023179,4465.9547119459685,61545.93084444837,45633.6441844132,0.0,41047.02180159948,92637.546039839,11327.050838776819,49265.40953122945,21566.254879435928,0.0,168906.7899901705,114750.67788610638,0.0,134651.38840078656,32288.27306920017,12155.35164942047,19727.66821440815,134583.28399034077,31030.45772183051,88431.60183294018,2834.0981184504226,121886.52703024888,53395.42609016563,39146.52108715375,169846.72174054207,289623.9248717191,95298.18913555148,104172.8278281278,30128.992802765693,99953.82293927876,68875.36260368535,71106.41381378516,85601.4793933644,0.0,0.0,41226.77271537302,10001.874610841114,6061.891370965883,17336.478745953333,1838.879642401718,48879.73123208091,0.0,92328.33779626152,90001.3049629041,42624.21193138904,0.0,147719.3837503484,7417.290865554666,154087.5275377059,72885.23013030576,12780.984837043059,151115.38530883682,46543.54029088208,101807.17606655743,0.0,34309.156885240314,54935.77306904436,60288.90307484134,0.0,49122.953623123234,152293.04100340576,34923.19672016041,123016.29275859529,37835.862935957295,0.0,0.0
SBS7b,4506.750614498114,4442.648887033096,0.0,15965.432335656165,17240.44201245313,65836.27568448108,47554.136153984684,38070.56598796768,19686.743122591433,23137.20137665634,3509.4946981846624,46051.996664657876,5529.3636099070645,27158.473738529276,22491.60525525677,2131.205406429852,0.0,4178.435328367832,0.0,15244.38966419021,28817.353960732034,0.0,18532.503242278588,13861.552722485347,35426.16273789149,58382.70167992281,0.0,39265.93106354443,2018.4813018598652,182174.9890007228,0.0,0.0,30088.4250719982,25997.266445933627,0.0,0.0,2481.275457187842,27237.589764602904,0.0,69630.9439988209,32089.69569787028,51944.50135848588,444.1652879976002,0.0,60856.99239687149,57567.414765564565,0.0,14548.062030180132,2284.2337480988626,0.0,74066.78599188225,69754.15241458153,74411.09610380614,33173.5275916344,27820.437679301132,0.0,28741.793049655484,54447.65029119351,6339.429193470161,7668.91472174236,25588.982000193253,16699.852474577503,0.0,32539.425130072406,0.0,34566.610454297406,0.0,14004.110602331486,0.0,2603.6811753943184,3758.2272899176223,43588.77324466778,2327.6362768526897,15742.234280024655,27508.879655203844,37344.948796048164,18526.557057787155,52706.108446072285,1096.9084668190276,0.0,31445.52678047139,40074.23385474968,8102.509953407003,41169.72242474548,7275.342748293158,652.9103246224768,18213.177994104815,31566.37649487188,8339.69070277175,53688.29744367294,34405.34285993597,0.0,0.0,6092.386570378701,0.0,0.0,0.0,2842.484050225355,0.0
SBS7c,886.817441419887,4850.919368840209,589.6774570517491,0.0,0.0,2857.5612740533325,0.0,18978.45754516573,8416.188759580748,0.0,0.0,3817.333326440883,2275.718851830092,6494.7464328259775,1976.3461801616213,1182.105250977077,0.0,751.4752408233117,12510.305786008277,4382.2938517896155,6146.003360078011,5026.422948639629,819.3830656555544,0.0,3895.773456476502,1204.5055877513705,4369.573707793925,6835.453995722892,18565.102094925594,0.0,373.0431596420606,2345.043497912139,1329.098076429058,734.0874588058,0.0,14203.99585410003,1395.305713769009,10808.511094440926,13696.774323193891,0.0,0.0,1513.0814352915386,7003.274335156793,0.0,0.0,0.0,12052.219309554968,4457.516515041931,0.0,6850.1686517821945,0.0,0.0,6453.442837378869,0.0,1509.3241701137104,2001.5227976646374,0.0,3961.53803377887,0.0,1763.1746732168826,0.0,11658.984556197152,11301.784762769994,13992.443915488482,3210.1998919653415,8422.407962593606,0.0,799.2077707043011,1970.7976320056478,332.4604519685658,2606.5813196825306,3742.7402120269817,1641.7910235997556,1907.6050043728924,0.0,7798.558734898057,1845.9304819331692,8468.021882560106,2720.0371296263547,33663.129375539924,0.0,21721.02192515668,4871.118181904955,5169.745685203003,0.0,1626.8804611670791,0.0,4564.499169572977,7049.18629798136,10447.653783871821,264.1998724214027,10113.091347537602,15028.858666010432,3893.3973596914157,19466.312929432537,0.0,0.0,0.0,31688.02206152227
SBS7d,46.233195384998936,0.0,1142.1992775824765,0.0,0.0,0.0,0.0,0.0,2122.6023554288067,6387.1293058926185,769.9881743624597,0.0,2777.6265557535808,9376.341982792062,0.0,2073.7292764304075,0.0,446.14146640733634,0.0,3537.2750803655717,3911.942053455243,0.0,2573.347398647475,3521.5351874553608,1618.642168041275,2364.3284129440926,0.0,3575.707093072156,818.3858359539336,3687.44642044546,1685.4940497244445,23304.033860180785,0.0,0.0,2685.6472281322485,769.1033329611923,5193.8635770079045,2473.405843482793,5661.4971259580125,1341.8227288581056,7966.562276686052,5255.183297304027,0.0,1695.39570993915,0.0,0.0,4347.259302274617,1695.1562764567398,565.4412398839573,2661.184009269439,9232.672042489954,17093.059258712114,0.0,5342.521847634861,4555.890081721821,707.1154245735881,4118.211159791668,0.0,0.0,0.0,0.0,2083.047036776224,0.0,0.0,3457.0791004267408,0.0,2164.2474890694302,0.0,3444.233664590186,5357.566933851926,7650.942472730512,6261.826537083491,0.0,2225.0192725274474,1281.2843137240711,0.0,0.0,7465.826762849576,593.2333909565405,0.0,3726.512518944919,0.0,0.0,0.0,7920.519092178166,0.0,1875.7244307343426,0.0,0.0,0.0,0.0,2306.2957301484366,0.0,0.0,0.0,7011.0414435569965,0.0,1265.1914371037092,0.0
SBS13,0.0,0.0,0.0,494.675837732138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.76533379586664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547.0124369014693,875.1008761300884,0.0,0.0,410.84219323046364,119.69756389811064,0.0,0.0,0.0,271.79149951157535,0.0,0.0,0.0,791.7271096545721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.7506718211151,0.0,0.0,0.0,545.764364125195,0.0,0.0,528.2371920425328,341.02588854980445,0.0,0.0,433.84845796228916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.72938354601524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.2747886953381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS17a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1318.6361338118181,0.0,0.0,0.0,0.0,0.0,331.97561482959344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.19416554890486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS17b,0.0,0.0,0.0,0.0,10777.32541071934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495.07184648770817,1407.7729528210425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1099.304532976828,0.0,0.0,0.0,0.0,191.2668607552242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10255.768487813293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
