Samples	SBS1	SBS2	SBS4	SBS5	SBS12	SBS13	SBS18	SBS22a	SBS22b	SBS40a	SBS40b	SBS40c
Kidney-RCC::S.1	250	0	1149	981	0	0	0	0	0	1594	1389	0
Kidney-RCC::S.2	296	0	881	428	0	0	0	0	1346	0	1718	0
Kidney-RCC::S.3	154	0	1036	0	0	0	0	0	0	1360	868	0
Kidney-RCC::S.4	326	0	0	337	0	0	0	0	0	3122	1984	0
Kidney-RCC::S.5	159	0	0	2073	0	0	0	0	5295	2331	0	0
Kidney-RCC::S.6	246	0	0	0	0	0	0	0	0	883	696	0
Kidney-RCC::S.7	121	0	0	21	0	0	0	0	0	3000	0	0
Kidney-RCC::S.8	0	0	860	1051	0	0	0	0	0	1389	2346	0
Kidney-RCC::S.9	152	0	0	173	0	0	0	0	0	2137	1696	0
Kidney-RCC::S.10	248	0	706	0	0	0	0	0	0	1773	0	0
Kidney-RCC::S.11	136	0	1137	83	0	0	0	0	0	3822	0	0
Kidney-RCC::S.12	153	0	771	79	692	0	0	0	0	2025	0	0
Kidney-RCC::S.13	0	0	0	274	0	0	0	0	0	2133	985	0
Kidney-RCC::S.14	72	0	594	76	0	0	311	0	0	0	1149	0
Kidney-RCC::S.15	215	0	0	1214	0	0	0	0	6094	3246	0	0
Kidney-RCC::S.16	0	0	0	0	0	0	0	0	0	1343	1504	0
Kidney-RCC::S.17	149	0	2113	247	0	0	0	0	0	0	0	0
Kidney-RCC::S.18	55	0	570	0	0	0	0	0	0	0	625	0
Kidney-RCC::S.19	176	0	1053	0	0	0	0	0	0	0	1602	0
Kidney-RCC::S.20	166	0	0	591	0	0	0	0	0	1711	745	0
Kidney-RCC::S.21	110	0	0	646	0	0	0	0	0	2489	1843	0
Kidney-RCC::S.22	18	0	0	498	0	0	0	0	5157	0	4578	0
Kidney-RCC::S.23	392	0	0	0	0	0	0	0	0	2673	0	0
Kidney-RCC::S.24	0	0	480	87	0	0	0	0	0	0	1388	0
Kidney-RCC::S.25	211	0	0	3416	0	0	0	19788	0	0	0	0
