Samples	SBS1	SBS5	SBS10a	SBS10b	SBS15	SBS17a	SBS17b	SBS18	SBS28	SBS37	SBS40	SBS44
ColoRect-AdenoCA::MSI-H.S.1	9626	20166	0	0	0	0	0	0	0	0	0	36316
ColoRect-AdenoCA::MSI-H.S.2	20857	14035	0	0	0	0	0	0	0	0	0	51424
ColoRect-AdenoCA::MSI-H.S.3	14736	14140	0	0	0	0	0	0	0	0	0	46847
ColoRect-AdenoCA::MSI-H.S.4	10501	54216	0	0	0	0	0	0	0	0	0	30611
ColoRect-AdenoCA::MSI-H.S.5	8551	37555	0	0	0	0	0	0	0	0	0	63819
ColoRect-AdenoCA::MSI-H.S.6	20942	43624	0	0	0	0	0	0	0	0	0	61638
ColoRect-AdenoCA::MSI-H.S.7	25594	25916	0	0	0	0	0	0	0	0	0	39041
ColoRect-AdenoCA::MSI-H.S.8	4724	52013	0	0	0	0	0	0	0	0	0	61832
ColoRect-AdenoCA::MSI-H.S.9	13841	33462	0	0	0	0	0	0	0	0	0	78752
ColoRect-AdenoCA::MSI-H.S.10	10330	63242	0	0	0	0	0	0	0	0	0	43497
ColoRect-AdenoCA::MSI-H.S.11	2674	12149	0	0	0	0	0	0	0	0	0	8387
ColoRect-AdenoCA::MSI-H.S.12	17454	52745	0	0	0	0	0	0	0	0	0	61537
ColoRect-AdenoCA::MSI-H.S.13	15895	21702	0	0	0	0	0	0	0	0	0	55882
ColoRect-AdenoCA::MSI-H.S.14	19801	3267	0	0	0	0	0	0	0	0	0	35608
ColoRect-AdenoCA::MSI-H.S.15	53007	27906	0	0	0	0	0	0	0	0	0	22073
ColoRect-AdenoCA::MSI-H.S.16	4642	33660	0	0	20359	0	0	0	0	25765	0	68452
