Samples	SBS1	SBS4	SBS5	SBS9	SBS12	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS22	SBS24	SBS29	SBS30	SBS31	SBS35	SBS40
Liver-HCC::S.1	32	0	1805	0	3763	0	0	0	0	0	8594	0	0	0	0	5240	0
Liver-HCC::S.2	188	4201	5582	0	5794	0	0	0	0	0	0	0	0	0	0	5222	0
Liver-HCC::S.3	0	0	13083	0	4339	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.4	135	0	10975	0	0	0	0	0	0	0	0	0	2287	0	0	0	0
Liver-HCC::S.5	199	2518	5777	0	0	0	0	0	0	0	0	0	1452	0	0	0	0
Liver-HCC::S.6	335	0	11251	0	4077	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.7	216	0	2674	0	1830	0	0	0	0	0	0	0	1246	0	0	0	0
Liver-HCC::S.8	240	0	8291	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.9	54	0	3686	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.10	0	0	11017	0	0	0	0	0	0	0	0	0	1934	0	0	0	0
Liver-HCC::S.11	142	0	10135	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.12	0	0	22715	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.13	80	0	16296	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.14	0	0	14607	0	0	0	0	0	0	0	4064	0	0	0	0	0	0
Liver-HCC::S.15	67	0	4207	0	0	0	0	0	0	0	0	0	1805	0	0	0	0
Liver-HCC::S.16	93	0	6206	0	7570	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.17	111	0	6294	0	0	0	0	0	0	0	0	0	0	0	0	0	6429
Liver-HCC::S.18	0	0	2954	0	0	0	0	0	0	0	0	0	0	0	0	0	4543
Liver-HCC::S.19	64	0	2630	0	5552	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.20	0	0	16336	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.21	18	0	5581	0	2686	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.22	45	3385	8375	0	0	0	0	0	0	0	0	0	2663	0	0	0	0
Liver-HCC::S.23	89	0	10065	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.24	0	0	6330	0	2334	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.25	96	0	6681	0	1061	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.26	261	4063	14997	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.27	0	5104	17644	0	6552	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.28	168	0	11760	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.29	171	0	9288	0	5595	2843	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.30	0	0	6633	0	0	0	0	0	0	0	0	0	2436	0	0	0	0
Liver-HCC::S.31	0	0	25015	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.32	215	0	11671	0	3217	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.33	27	0	7210	0	2529	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.34	217	0	7201	0	0	0	0	0	0	0	0	0	3158	0	0	0	0
Liver-HCC::S.35	0	0	18296	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.36	171	0	5385	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.37	59	0	9118	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.38	0	0	13008	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.39	57	0	7803	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.40	0	0	9418	0	0	0	0	0	0	0	0	0	3061	0	0	12975	0
Liver-HCC::S.41	0	0	7082	0	4531	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.42	319	0	20977	0	6335	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.43	91	4467	4481	0	3567	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.44	26	2443	6298	0	1420	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.45	262	0	9424	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.46	65	4092	5894	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.47	0	0	13233	0	2820	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.48	25	0	5465	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.49	32	0	4145	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.50	31	4938	6678	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.51	0	0	10565	0	0	0	0	0	0	2997	0	0	0	0	0	0	0
Liver-HCC::S.52	63	0	6517	0	0	0	0	0	0	0	7688	0	0	0	0	0	0
Liver-HCC::S.53	125	2725	10281	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.54	233	0	10701	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.55	244	0	6909	0	0	0	0	0	0	0	0	0	0	0	0	0	11778
