Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Liver-HCC::S.1	9587	0.949	2425.231	25.297%	428.286	31.827%	0.05164	0.891
Liver-HCC::S.2	16419	0.961	3968.324	24.169%	589.701	27.867%	0.04857	0.894
Liver-HCC::S.3	16231	0.948	4389.543	27.044%	709.858	31.857%	0.05211	0.879
Liver-HCC::S.4	7301	0.966	1812.527	24.826%	252.222	25.703%	0.05231	0.919
Liver-HCC::S.5	7346	0.987	1364.519	18.575%	193.492	16.088%	0.02703	0.979
Liver-HCC::S.6	15510	0.965	3399.285	21.917%	509.087	26.192%	0.03451	0.892
Liver-HCC::S.7	6214	0.908	2057.799	33.116%	459.186	42.379%	0.08151	0.858
Liver-HCC::S.8	6932	0.956	1780.636	25.687%	279.005	29.204%	0.05117	0.901
Liver-HCC::S.9	10828	0.967	2782.841	25.7%	396.596	25.607%	0.05289	0.931
Liver-HCC::S.10	11456	0.927	3274.321	28.582%	618.642	37.585%	0.0723	0.846
Liver-HCC::S.11	14170	0.982	2600.08	18.349%	357.404	19.075%	0.02868	0.954
Liver-HCC::S.12	5616	0.958	1204.503	21.448%	214.904	28.562%	0.03949	0.898
Liver-HCC::S.13	20270	0.958	4993.066	24.633%	764.111	28.702%	0.04433	0.89
Liver-HCC::S.14	13202	0.967	2776.74	21.033%	443.32	25.916%	0.03718	0.918
Liver-HCC::S.15	5140	0.967	1116.711	21.726%	171.669	25.561%	0.0388	0.913
Liver-HCC::S.16	11154	0.92	3772.188	33.819%	623.635	39.092%	0.0906	0.83
Liver-HCC::S.17	11680	0.963	2636.635	22.574%	495.288	27.446%	0.04437	0.934
Liver-HCC::S.18	5019	0.958	1387.739	27.65%	206.869	28.873%	0.06589	0.912
Liver-HCC::S.19	12049	0.919	4071.058	33.788%	637.875	39.851%	0.09213	0.798
Liver-HCC::S.20	7804	0.984	1487.284	19.058%	218.544	17.725%	0.03288	0.973
Liver-HCC::S.21	14881	0.96	3540.549	23.792%	609.869	28.387%	0.04833	0.919
Liver-HCC::S.22	5424	0.982	1066.426	19.661%	183.189	18.745%	0.03322	0.974
Liver-HCC::S.23	10561	0.948	2953.085	27.962%	594.206	32.841%	0.06724	0.92
Liver-HCC::S.24	5200	0.944	1458.741	28.053%	262.048	33.054%	0.06065	0.896
Liver-HCC::S.25	13497	0.956	3760.338	27.861%	556.926	29.334%	0.05938	0.907
Liver-HCC::S.26	11880	0.973	2480.663	20.881%	396.732	23.065%	0.03596	0.946
Liver-HCC::S.27	10075	0.968	2253.484	22.367%	343.785	25.087%	0.0374	0.926
Liver-HCC::S.28	9089	0.978	1748.179	19.234%	240.385	20.859%	0.03082	0.936
Liver-HCC::S.29	9780	0.971	2220.203	22.701%	330.279	23.936%	0.03836	0.939
Liver-HCC::S.30	3188	0.948	846.343	26.548%	132.475	32.167%	0.05321	0.857
Liver-HCC::S.31	11068	0.974	2209.995	19.967%	351.4	22.703%	0.0315	0.944
Liver-HCC::S.32	10524	0.979	1834.815	17.435%	266.656	20.3%	0.02121	0.936
Liver-HCC::S.33	8129	0.969	1733.817	21.329%	288.772	24.637%	0.03756	0.938
Liver-HCC::S.34	11531	0.979	2093.664	18.157%	384.428	20.66%	0.02959	0.965
Liver-HCC::S.35	10230	0.979	2079.818	20.331%	362.525	20.639%	0.03585	0.967
Liver-HCC::S.37	12576	0.97	2830.899	22.51%	408.986	24.166%	0.03682	0.93
Liver-HCC::S.38	7601	0.983	1396.132	18.368%	226.324	18.665%	0.03148	0.971
Liver-HCC::S.39	20314	0.97	4386.895	21.595%	631.841	24.519%	0.03285	0.913
Liver-HCC::S.40	16896	0.977	3134.449	18.551%	485.772	21.489%	0.03123	0.943
Liver-HCC::S.41	14035	0.963	3269.268	23.294%	594.254	26.978%	0.04294	0.936
Liver-HCC::S.42	10120	0.94	2875.199	28.411%	499.385	34.178%	0.05998	0.879
Liver-HCC::S.43	9600	0.963	2226.819	23.196%	343.007	28.063%	0.04473	0.908
Liver-HCC::S.44	17317	0.976	3747.157	21.639%	587.4	21.732%	0.03594	0.958
Liver-HCC::S.45	9392	0.963	2452.992	26.118%	386.99	27.168%	0.05228	0.932
Liver-HCC::S.46	19115	0.961	4398.734	23.012%	671.136	27.893%	0.04784	0.882
Liver-HCC::S.47	14430	0.963	3048.45	21.126%	501.282	26.817%	0.03878	0.9
Liver-HCC::S.48	13202	0.954	3328.042	25.209%	535.629	30.042%	0.05118	0.889
Liver-HCC::S.49	9290	0.967	2234.145	24.049%	335.516	26.124%	0.04991	0.928
Liver-HCC::S.50	19604	0.921	6149.688	31.37%	1279.526	38.964%	0.08473	0.871
Liver-HCC::S.52	22948	0.962	5375.825	23.426%	828.185	27.413%	0.04222	0.904
Liver-HCC::S.53	14767	0.969	3242.757	21.959%	453.984	24.595%	0.03664	0.906
Liver-HCC::S.54	10114	0.982	1789.753	17.696%	255.293	18.945%	0.02446	0.956
Liver-HCC::S.55	9039	0.975	1817.463	20.107%	276.777	22.389%	0.03524	0.942
Liver-HCC::S.56	14347	0.97	3376.547	23.535%	572.018	24.947%	0.0461	0.952
Liver-HCC::S.57	11781	0.988	1964.329	16.674%	286.444	15.527%	0.02702	0.979
Liver-HCC::S.58	23447	0.956	6341.858	27.048%	974.173	29.487%	0.05904	0.906
Liver-HCC::S.59	24652	0.963	5879.541	23.85%	1002.719	26.971%	0.04265	0.931
