Samples	SBS1	SBS2	SBS3	SBS4	SBS5	SBS9	SBS13	SBS17a	SBS17b	SBS18	SBS28	SBS40
Lung-AdenoCA::S.1	93	0	0	130138	44827	0	0	0	0	0	0	0
Lung-AdenoCA::S.2	444	3650	0	0	11463	0	0	0	0	0	0	0
Lung-AdenoCA::S.3	815	1891	0	0	25145	0	3062	0	0	0	0	0
Lung-AdenoCA::S.4	59	1183	0	0	6352	0	277	0	0	0	0	0
Lung-AdenoCA::S.5	285	3887	0	9619	426	0	0	0	0	0	0	0
Lung-AdenoCA::S.6	902	0	0	41305	3290	0	0	0	0	0	0	0
Lung-AdenoCA::S.7	22	0	0	53161	12952	0	0	0	0	0	0	0
Lung-AdenoCA::S.8	0	0	0	78563	7306	0	0	0	0	0	0	0
Lung-AdenoCA::S.9	485	0	0	0	8878	0	5759	0	0	4825	0	0
Lung-AdenoCA::S.10	282	0	0	44345	4281	0	0	0	0	0	0	0
Lung-AdenoCA::S.11	973	3025	0	0	960	0	0	0	0	3245	0	5993
Lung-AdenoCA::S.12	847	0	0	0	0	0	0	0	0	0	0	7709
Lung-AdenoCA::S.13	0	2572	0	30296	23312	0	0	0	0	9457	0	0
Lung-AdenoCA::S.14	310	2546	0	0	32648	0	4786	0	0	0	0	0
Lung-AdenoCA::S.15	789	3851	0	7015	14808	0	4275	0	0	0	0	0
Lung-AdenoCA::S.16	471	2863	0	0	5573	0	0	0	0	0	0	0
Lung-AdenoCA::S.17	109	4473	0	25743	28653	0	0	0	0	0	0	0
Lung-AdenoCA::S.18	98	0	0	25934	6974	0	0	0	0	0	0	0
Lung-AdenoCA::S.19	489	5252	0	0	11962	0	0	0	0	0	0	0
Lung-AdenoCA::S.20	117	0	0	14706	0	0	2214	0	0	0	0	18249
Lung-AdenoCA::S.21	613	0	0	0	6479	0	0	0	0	0	0	0
Lung-AdenoCA::S.22	78	0	0	81584	8245	0	0	0	0	0	0	0
Lung-AdenoCA::S.23	414	0	0	0	12690	0	0	0	0	0	0	0
Lung-AdenoCA::S.24	1866	0	0	116729	6437	0	0	0	0	0	0	0
Lung-AdenoCA::S.25	605	2667	0	22441	0	0	0	0	0	0	0	20474
Lung-AdenoCA::S.26	1618	0	0	0	21672	0	0	0	3322	6119	0	0
Lung-AdenoCA::S.27	858	0	0	71285	5654	0	0	0	0	0	0	0
Lung-AdenoCA::S.28	725	6025	0	59406	0	0	0	0	0	0	0	0
Lung-AdenoCA::S.29	820	0	0	0	2621	0	0	1108	0	0	0	4562
Lung-AdenoCA::S.30	149	0	0	21734	11554	0	2252	0	0	0	0	0
Lung-AdenoCA::S.31	523	0	0	28446	422	0	0	0	0	0	0	0
Lung-AdenoCA::S.32	574	2428	0	0	18072	0	5705	0	0	0	0	0
Lung-AdenoCA::S.33	339	3338	0	0	10736	0	0	0	0	0	0	0
Lung-AdenoCA::S.34	415	0	0	0	16365	0	0	0	0	0	0	14741
Lung-AdenoCA::S.35	144	0	0	3695	174	0	0	0	0	1242	0	0
Lung-AdenoCA::S.36	977	0	0	0	7285	0	6846	0	0	0	0	0
Lung-AdenoCA::S.37	190	0	0	0	15829	0	0	0	0	0	0	32561
Lung-AdenoCA::S.38	735	3858	0	37939	0	0	0	0	0	0	0	0
Lung-AdenoCA::S.39	118	0	0	0	4660	0	0	0	0	0	0	9172
Lung-AdenoCA::S.40	360	0	0	0	41175	0	0	0	0	0	0	0
Lung-AdenoCA::S.41	118	0	0	9864	31586	0	0	0	0	0	0	0
Lung-AdenoCA::S.42	430	3415	0	0	7398	0	0	0	0	0	0	0
Lung-AdenoCA::S.43	180	0	0	0	14551	0	0	906	0	2408	0	0
Lung-AdenoCA::S.44	52	6249	0	38614	24888	0	0	0	0	0	0	0
Lung-AdenoCA::S.45	1182	0	0	0	5557	0	0	819	2367	0	0	11006
Lung-AdenoCA::S.46	229	984	0	0	4082	0	12453	0	0	0	0	0
Lung-AdenoCA::S.47	464	2982	0	29047	3505	0	0	0	0	0	0	0
Lung-AdenoCA::S.48	0	12716	0	0	7047	0	0	0	0	0	0	28018
Lung-AdenoCA::S.49	0	4270	0	0	18388	0	4644	0	0	0	0	0
Lung-AdenoCA::S.50	36	378	0	0	207	0	4547	0	0	0	0	0
Lung-AdenoCA::S.51	495	630	0	0	7119	0	433	0	0	0	0	0
Lung-AdenoCA::S.52	278	6061	0	0	11637	0	0	0	0	0	0	0
Lung-AdenoCA::S.53	1247	1647	0	10855	4955	0	0	0	0	3770	0	0
Lung-AdenoCA::S.54	892	0	0	23316	3723	0	0	0	0	0	0	0
Lung-AdenoCA::S.55	0	0	0	54407	2651	0	0	0	0	0	0	0
Lung-AdenoCA::S.56	522	3030	0	122501	0	0	18970	0	0	0	0	0
Lung-AdenoCA::S.57	20	0	0	0	1693	0	3418	0	1819	0	0	25100
Lung-AdenoCA::S.58	650	0	0	0	5961	0	0	0	0	0	0	3445
Lung-AdenoCA::S.59	130	9367	0	0	1727	0	0	0	0	0	0	0
Lung-AdenoCA::S.60	763	0	0	118003	0	0	0	0	0	0	0	0
Lung-AdenoCA::S.61	367	0	0	11955	25560	0	0	0	0	0	0	0
Lung-AdenoCA::S.62	875	0	0	22246	5560	0	0	0	0	0	0	0
Lung-AdenoCA::S.63	162	0	0	0	18033	0	1531	0	0	4370	0	0
Lung-AdenoCA::S.64	120	0	0	32364	26105	0	0	0	0	0	0	0
Lung-AdenoCA::S.65	183	4636	0	9457	4695	0	1916	0	0	0	0	0
Lung-AdenoCA::S.66	317	1888	0	13004	8704	0	2417	0	0	0	0	0
Lung-AdenoCA::S.67	175	9746	0	0	13631	0	0	0	0	0	0	0
Lung-AdenoCA::S.68	890	0	0	92485	13630	0	0	0	0	0	0	0
Lung-AdenoCA::S.69	581	5858	0	20491	7782	0	1381	0	0	0	0	0
Lung-AdenoCA::S.70	746	0	0	11258	492	0	0	0	0	0	0	0
Lung-AdenoCA::S.71	596	0	0	0	1234	0	2056	0	0	0	0	17139
Lung-AdenoCA::S.72	165	1441	0	0	2777	0	2638	0	0	0	0	0
Lung-AdenoCA::S.73	167	0	0	24056	4055	0	0	0	0	0	0	0
Lung-AdenoCA::S.74	486	10270	0	20285	17106	0	0	0	0	0	0	0
Lung-AdenoCA::S.75	862	0	0	17366	52388	0	0	0	0	0	0	0
Lung-AdenoCA::S.76	292	0	0	0	956	0	0	0	0	0	0	0
Lung-AdenoCA::S.77	0	3378	0	52070	9561	0	0	0	0	0	0	0
Lung-AdenoCA::S.78	149	0	0	0	5354	0	0	0	0	0	0	4883
Lung-AdenoCA::S.79	1079	0	0	0	7215	0	0	0	0	0	0	0
Lung-AdenoCA::S.80	169	0	0	0	2155	0	0	0	0	0	0	0
Lung-AdenoCA::S.81	0	0	0	27086	12847	0	0	0	0	0	0	0
Lung-AdenoCA::S.82	152	0	8227	15457	4194	0	1933	0	0	0	0	0
Lung-AdenoCA::S.83	125	0	0	0	8533	0	7447	0	0	0	0	0
Lung-AdenoCA::S.84	961	0	0	65295	8172	0	0	0	0	0	0	0
Lung-AdenoCA::S.85	503	4071	0	10499	6811	0	1397	0	0	0	0	0
Lung-AdenoCA::S.86	300	0	0	17488	2218	0	0	0	0	0	0	0
Lung-AdenoCA::S.87	535	0	4319	0	0	0	2686	0	0	0	0	0
Lung-AdenoCA::S.88	32	0	0	11782	887	0	0	0	0	0	0	8198
Lung-AdenoCA::S.89	310	0	0	24772	0	0	0	0	0	0	0	14726
Lung-AdenoCA::S.90	704	0	0	0	7612	0	0	0	0	0	0	0
Lung-AdenoCA::S.91	783	0	0	2201	1545	0	0	0	0	0	0	0
Lung-AdenoCA::S.92	121	3202	0	41004	8756	0	0	0	0	0	0	0
Lung-AdenoCA::S.93	463	0	0	49079	6039	0	0	0	0	0	0	0
Lung-AdenoCA::S.94	714	0	0	0	0	0	3335	0	0	0	0	11605
Lung-AdenoCA::S.95	483	4272	0	8474	0	0	0	0	0	0	0	8767
Lung-AdenoCA::S.96	381	0	0	52995	3551	0	0	0	0	0	0	0
Lung-AdenoCA::S.97	518	0	0	0	25572	0	9637	0	0	0	0	0
Lung-AdenoCA::S.98	704	0	0	0	5513	0	0	0	0	0	0	0
Lung-AdenoCA::S.99	378	0	0	29460	0	0	0	0	0	0	0	0
Lung-AdenoCA::S.100	0	2497	0	0	24694	0	0	0	5009	0	1710	0
