Samples	SBS1	SBS2	SBS3	SBS5	SBS8	SBS13	SBS18	SBS35	SBS39	SBS40	SBS41
Ovary-AdenoCA::S.1	482	0	4617	1598	0	0	0	0	0	0	0
Ovary-AdenoCA::S.2	959	0	4106	1007	0	0	1384	0	0	0	0
Ovary-AdenoCA::S.3	805	0	2499	1579	0	0	0	0	0	0	0
Ovary-AdenoCA::S.4	561	184	2205	1738	0	475	0	0	0	0	0
Ovary-AdenoCA::S.5	449	0	8754	722	0	0	0	0	0	5249	0
Ovary-AdenoCA::S.6	285	0	7024	2272	0	0	0	0	0	0	0
Ovary-AdenoCA::S.7	464	273	2967	2011	0	0	0	0	0	0	0
Ovary-AdenoCA::S.8	394	0	2482	2892	0	0	0	0	0	0	0
Ovary-AdenoCA::S.9	565	0	4656	372	0	545	1391	0	0	0	0
Ovary-AdenoCA::S.10	303	0	0	445	0	1276	0	0	0	5464	0
Ovary-AdenoCA::S.11	527	0	8368	1113	0	0	0	0	0	0	0
Ovary-AdenoCA::S.12	308	0	1909	1583	0	0	0	0	0	0	0
Ovary-AdenoCA::S.13	818	1366	0	1252	0	531	0	0	0	6441	0
Ovary-AdenoCA::S.14	687	0	0	271	0	0	0	0	0	5604	0
Ovary-AdenoCA::S.15	335	0	0	2099	0	0	0	0	0	7031	0
Ovary-AdenoCA::S.16	482	0	0	2270	0	744	0	0	0	0	0
Ovary-AdenoCA::S.17	398	440	3459	624	0	312	0	0	0	0	0
Ovary-AdenoCA::S.18	225	0	2184	0	0	0	2179	0	0	0	0
Ovary-AdenoCA::S.19	741	0	4350	3285	0	0	0	0	0	0	0
Ovary-AdenoCA::S.20	480	0	0	4247	0	0	1110	0	0	0	0
Ovary-AdenoCA::S.21	333	0	8620	5609	0	0	0	0	0	0	0
Ovary-AdenoCA::S.22	415	0	8291	7686	0	0	0	0	0	0	0
Ovary-AdenoCA::S.23	335	0	5106	834	0	0	1945	0	0	0	0
Ovary-AdenoCA::S.24	186	0	5416	1255	0	801	0	0	0	0	0
Ovary-AdenoCA::S.25	394	0	2246	597	0	0	0	0	0	3575	0
