Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Skin-Melanoma::S.1	6181	0.977	1668.61	26.996%	406.015	23.789%	0.06114	0.974
Skin-Melanoma::S.2	24642	0.99	4239.544	17.205%	942.621	14.309%	0.0262	0.988
Skin-Melanoma::S.3	47068	0.988	10265.651	21.81%	3052.317	16.477%	0.09817	0.987
Skin-Melanoma::S.4	269682	0.997	24483.622	9.079%	9865.615	8.724%	0.02721	0.997
Skin-Melanoma::S.5	90287	0.977	20750.756	22.983%	8193.421	22.505%	0.04929	0.975
Skin-Melanoma::S.6	203674	0.99	37418.628	18.372%	10456.192	14.421%	0.03224	0.989
Skin-Melanoma::S.7	133783	0.965	38504.304	28.781%	13822.662	26.24%	0.07524	0.962
Skin-Melanoma::S.8	296336	0.997	27114.339	9.15%	8917.038	7.827%	0.0191	0.997
Skin-Melanoma::S.9	29976	0.942	9444.385	31.506%	2772.181	33.677%	0.08023	0.932
Skin-Melanoma::S.10	92771	0.994	12335.035	13.296%	4195.713	11.63%	0.01433	0.994
Skin-Melanoma::S.11	27863	0.987	5694.881	20.439%	1195.072	16.576%	0.0371	0.984
Skin-Melanoma::S.12	72091	0.984	14945.3	20.731%	3755.9	18.172%	0.05699	0.982
Skin-Melanoma::S.13	56180	0.99	14663.408	26.101%	4205.898	21.282%	0.10983	0.99
Skin-Melanoma::S.14	200350	0.996	26529.64	13.242%	6336.092	8.425%	0.02421	0.996
Skin-Melanoma::S.15	91831	0.97	26597.217	28.963%	8127.539	24.246%	0.06224	0.968
Skin-Melanoma::S.16	23419	0.995	3018.363	12.889%	679.968	10.051%	0.04366	0.995
Skin-Melanoma::S.17	17023	0.996	3014.483	17.708%	831.178	12.163%	0.10399	0.996
Skin-Melanoma::S.18	41048	0.989	12349.801	30.086%	3037.616	20.033%	0.19095	0.989
Skin-Melanoma::S.19	16165	0.99	3710.767	22.956%	611.346	14.599%	0.05113	0.988
Skin-Melanoma::S.20	26321	0.988	5317.351	20.202%	1125.567	18.236%	0.07884	0.987
Skin-Melanoma::S.21	64860	0.976	13276.55	20.47%	4130.794	21.924%	0.0577	0.972
Skin-Melanoma::S.22	176672	0.987	37321.656	21.125%	13402.14	16.323%	0.07192	0.986
Skin-Melanoma::S.23	22117	0.989	3200.104	14.469%	1046.392	15.511%	0.02636	0.987
Skin-Melanoma::S.24	24202	0.983	4380.439	18.099%	1119.082	18.331%	0.02832	0.98
Skin-Melanoma::S.25	40653	0.988	7776.587	19.129%	2016.62	15.735%	0.04213	0.986
Skin-Melanoma::S.26	77850	0.961	21859.516	28.079%	7176.981	29.359%	0.1094	0.957
Skin-Melanoma::S.27	28739	0.993	4627.787	16.103%	1082.811	12.177%	0.02644	0.993
Skin-Melanoma::S.28	59125	0.971	14578.581	24.657%	3745.655	24.211%	0.04622	0.965
Skin-Melanoma::S.29	71557	0.997	10067.303	14.069%	2007.745	8.805%	0.03074	0.997
Skin-Melanoma::S.30	207257	0.889	84477.184	40.76%	34409.529	46.905%	0.19406	0.878
Skin-Melanoma::S.31	6263	0.99	1034.858	16.523%	136.991	13.88%	0.0247	0.983
Skin-Melanoma::S.32	39132	0.995	5264.775	13.454%	899.704	9.775%	0.02548	0.994
Skin-Melanoma::S.33	112016	0.991	18351.654	16.383%	5723.634	13.748%	0.0419	0.99
Skin-Melanoma::S.34	32319	0.975	7651.534	23.675%	2488.457	22.735%	0.06164	0.973
Skin-Melanoma::S.35	75556	0.997	8997.909	11.909%	2025.665	7.317%	0.02753	0.997
Skin-Melanoma::S.36	58457	0.995	8489.114	14.522%	2258.31	10.728%	0.03007	0.994
Skin-Melanoma::S.37	13848	0.991	2044.249	14.762%	349.866	13.38%	0.02081	0.987
Skin-Melanoma::S.38	78423	0.958	24404.236	31.119%	7993.453	28.97%	0.07719	0.954
Skin-Melanoma::S.39	118672	0.983	25521.328	21.506%	8245.12	19.532%	0.07838	0.982
Skin-Melanoma::S.40	77811	0.989	13232.384	17.006%	4432.117	15.563%	0.03041	0.988
Skin-Melanoma::S.41	88702	0.986	18108.025	20.414%	5324.818	16.871%	0.03683	0.985
Skin-Melanoma::S.42	89958	0.982	21912.663	24.359%	5509.202	20.31%	0.06383	0.98
Skin-Melanoma::S.43	14888	0.963	4088.791	27.464%	767.167	28.033%	0.05711	0.948
Skin-Melanoma::S.44	167911	0.99	39498.647	23.524%	10321.941	13.767%	0.27005	0.99
Skin-Melanoma::S.45	222718	0.977	52916.204	23.759%	20625.331	26.21%	0.07609	0.976
Skin-Melanoma::S.46	59810	0.938	20831.874	34.83%	7474.388	34.693%	0.11831	0.933
Skin-Melanoma::S.47	146889	0.973	45751.811	31.147%	14327.038	23.187%	0.16999	0.971
Skin-Melanoma::S.48	68995	0.994	10918.627	15.825%	2108.365	10.818%	0.02512	0.994
Skin-Melanoma::S.49	42946	0.953	17307.12	40.3%	3596.0	32.261%	0.16514	0.945
Skin-Melanoma::S.50	27243	0.989	5084.073	18.662%	1514.274	16.172%	0.02736	0.988
Skin-Melanoma::S.51	223950	0.993	40858.58	18.245%	10524.629	13.042%	0.05003	0.992
Skin-Melanoma::S.52	120925	0.986	21611.418	17.872%	6262.304	16.773%	0.03191	0.984
Skin-Melanoma::S.53	164636	0.995	21007.548	12.76%	5975.124	9.828%	0.04732	0.995
Skin-Melanoma::S.54	44412	0.969	11040.689	24.86%	3367.637	25.073%	0.06237	0.965
Skin-Melanoma::S.55	181496	0.996	25972.95	14.31%	5639.43	8.524%	0.03172	0.996
Skin-Melanoma::S.56	56757	0.99	13207.663	23.271%	3434.466	14.455%	0.13696	0.99
Skin-Melanoma::S.57	62954	0.952	21593.094	34.3%	8498.068	31.661%	0.11777	0.949
Skin-Melanoma::S.58	224090	0.968	72438.448	32.326%	23335.429	25.251%	0.0888	0.966
Skin-Melanoma::S.59	290477	0.995	38567.358	13.277%	12878.069	9.947%	0.06755	0.995
Skin-Melanoma::S.60	97445	0.967	32505.406	33.358%	11685.903	25.76%	0.28941	0.965
Skin-Melanoma::S.61	130098	0.989	21574.145	16.583%	7780.18	14.639%	0.03394	0.989
Skin-Melanoma::S.62	80175	0.99	16975.24	21.173%	3687.029	14.343%	0.04956	0.988
Skin-Melanoma::S.63	97146	0.93	50453.004	51.935%	17533.963	36.886%	0.4856	0.927
Skin-Melanoma::S.64	123145	0.99	19780.508	16.063%	5927.016	14.616%	0.02426	0.988
Skin-Melanoma::S.65	77642	0.982	19928.775	25.668%	6497.557	20.301%	0.14544	0.981
Skin-Melanoma::S.66	145325	0.974	39981.857	27.512%	13865.356	24.472%	0.11382	0.972
Skin-Melanoma::S.67	7636	0.978	1657.599	21.708%	278.309	22.017%	0.04356	0.966
Skin-Melanoma::S.68	21637	0.977	5061.967	23.395%	1183.682	21.71%	0.04868	0.972
Skin-Melanoma::S.69	59322	0.996	7748.68	13.062%	2105.351	9.131%	0.03244	0.996
Skin-Melanoma::S.70	21312	0.995	2983.726	14.0%	579.307	9.955%	0.02282	0.994
Skin-Melanoma::S.71	23227	0.957	7021.177	30.229%	1826.075	30.475%	0.08058	0.949
Skin-Melanoma::S.72	69743	0.978	16563.099	23.749%	4648.975	20.81%	0.05745	0.976
Skin-Melanoma::S.73	6800	0.978	1539.976	22.647%	404.633	21.81%	0.06254	0.975
Skin-Melanoma::S.74	67081	0.989	14981.293	22.333%	3997.081	15.294%	0.08036	0.988
Skin-Melanoma::S.75	30941	0.97	8519.342	27.534%	2629.059	26.179%	0.09197	0.967
Skin-Melanoma::S.76	129962	0.979	35924.244	27.642%	10729.001	20.592%	0.1259	0.977
Skin-Melanoma::S.77	124590	0.988	23823.741	19.122%	8855.88	17.34%	0.06094	0.988
Skin-Melanoma::S.78	110356	0.98	21547.401	19.525%	7179.283	19.965%	0.03318	0.978
Skin-Melanoma::S.79	8956	0.982	1775.657	19.826%	274.031	19.0%	0.03184	0.97
Skin-Melanoma::S.80	217273	0.974	46979.408	21.622%	20109.325	22.654%	0.04898	0.973
Skin-Melanoma::S.81	62761	0.994	7310.004	11.647%	1832.884	10.966%	0.01366	0.993
Skin-Melanoma::S.82	218923	0.977	52091.339	23.794%	17413.032	21.407%	0.05539	0.975
Skin-Melanoma::S.83	104708	0.996	13011.995	12.427%	3712.548	9.938%	0.01999	0.996
Skin-Melanoma::S.84	71460	0.992	9132.977	12.781%	2737.79	12.694%	0.01869	0.991
Skin-Melanoma::S.85	212489	0.986	50028.732	23.544%	16203.058	17.95%	0.10944	0.986
Skin-Melanoma::S.86	68802	0.951	27831.4	40.451%	9395.266	35.657%	0.21722	0.948
Skin-Melanoma::S.87	131536	0.994	20161.981	15.328%	6589.652	13.093%	0.04214	0.993
Skin-Melanoma::S.88	49252	0.938	15119.745	30.699%	4446.16	34.634%	0.06558	0.927
Skin-Melanoma::S.89	79366	0.998	7896.37	9.949%	1837.794	6.691%	0.01297	0.998
Skin-Melanoma::S.90	123756	0.974	28573.939	23.089%	9334.017	22.586%	0.04089	0.972
Skin-Melanoma::S.91	95337	0.994	14919.79	15.65%	3936.724	10.831%	0.05088	0.994
Skin-Melanoma::S.92	13478	0.993	2492.121	18.49%	430.0	12.212%	0.03401	0.991
Skin-Melanoma::S.93	78874	0.988	13301.079	16.864%	3670.322	15.547%	0.03255	0.986
