Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Stomach-AdenoCA::S.1	22678	0.984	4121.311	18.173%	642.355	17.791%	0.02891	0.973
Stomach-AdenoCA::S.2	13558	0.993	1944.961	14.345%	290.497	11.486%	0.02068	0.991
Stomach-AdenoCA::S.3	9892	0.979	2051.421	20.738%	291.749	20.589%	0.03598	0.957
Stomach-AdenoCA::S.4	20681	0.992	3940.552	19.054%	777.57	13.037%	0.03158	0.991
Stomach-AdenoCA::S.5	11524	0.974	2651.143	23.005%	422.829	22.71%	0.04734	0.956
Stomach-AdenoCA::S.6	21382	0.977	4401.979	20.587%	656.622	21.432%	0.03383	0.953
Stomach-AdenoCA::S.7	6208	0.983	1245.886	20.069%	277.291	18.75%	0.04038	0.979
Stomach-AdenoCA::S.8	22070	0.95	5959.749	27.004%	948.687	31.744%	0.05842	0.883
Stomach-AdenoCA::S.9	21615	0.943	6144.189	28.426%	1023.349	33.595%	0.07384	0.879
Stomach-AdenoCA::S.10	4707	0.99	899.509	19.11%	138.526	13.924%	0.0447	0.987
Stomach-AdenoCA::S.11	14581	0.987	2750.963	18.867%	413.286	16.265%	0.02807	0.98
Stomach-AdenoCA::S.12	12644	0.928	5087.728	40.238%	1019.216	38.001%	0.14795	0.906
Stomach-AdenoCA::S.13	18562	0.957	4821.067	25.973%	733.919	28.858%	0.05548	0.902
Stomach-AdenoCA::S.14	15077	0.975	2645.228	17.545%	429.342	22.274%	0.02902	0.931
Stomach-AdenoCA::S.15	2610	0.971	709.177	27.172%	207.157	24.084%	0.09679	0.967
Stomach-AdenoCA::S.16	11834	0.989	2782.234	23.511%	505.187	14.693%	0.05739	0.988
Stomach-AdenoCA::S.17	1323	0.963	474.107	35.836%	151.75	27.744%	0.35484	0.96
Stomach-AdenoCA::S.18	11870	0.964	2601.325	21.915%	433.785	26.729%	0.04168	0.92
Stomach-AdenoCA::S.19	7306	0.951	1997.335	27.338%	439.356	31.692%	0.06089	0.932
Stomach-AdenoCA::S.20	14095	0.975	2813.593	19.962%	446.006	22.154%	0.03617	0.949
Stomach-AdenoCA::S.21	8204	0.941	3646.087	44.443%	1576.839	49.596%	0.18267	0.939
Stomach-AdenoCA::S.22	11500	0.982	2093.523	18.205%	365.098	19.039%	0.03472	0.971
Stomach-AdenoCA::S.23	8322	0.981	1498.437	18.006%	214.65	19.711%	0.0276	0.95
Stomach-AdenoCA::S.24	6643	0.993	1213.697	18.27%	217.818	12.646%	0.03686	0.992
Stomach-AdenoCA::S.25	15505	0.972	3254.667	20.991%	493.905	23.342%	0.0363	0.937
Stomach-AdenoCA::S.26	14486	0.993	3642.115	25.142%	669.949	11.7%	0.09675	0.993
Stomach-AdenoCA::S.27	28902	0.994	5363.698	18.558%	1156.923	11.302%	0.04352	0.993
Stomach-AdenoCA::S.28	8530	0.924	2648.74	31.052%	576.597	38.275%	0.08997	0.883
Stomach-AdenoCA::S.29	12276	0.97	3025.102	24.642%	453.125	25.952%	0.05046	0.946
Stomach-AdenoCA::S.30	9904	0.994	1809.722	18.273%	335.587	11.739%	0.03343	0.993
Stomach-AdenoCA::S.31	5836	0.986	1504.637	25.782%	250.172	17.085%	0.06561	0.983
Stomach-AdenoCA::S.32	9361	0.958	2234.161	23.867%	375.174	28.628%	0.04615	0.909
Stomach-AdenoCA::S.33	17839	0.956	4708.64	26.395%	719.556	29.295%	0.06221	0.9
Stomach-AdenoCA::S.34	19178	0.973	4032.272	21.026%	566.825	23.054%	0.03633	0.925
Stomach-AdenoCA::S.35	10501	0.99	1984.781	18.901%	415.416	14.42%	0.03224	0.988
Stomach-AdenoCA::S.36	15043	0.913	5427.376	36.079%	1538.39	41.039%	0.13081	0.894
Stomach-AdenoCA::S.37	54322	0.972	11097.421	20.429%	1580.559	23.315%	0.03377	0.914
Stomach-AdenoCA::S.38	14757	0.981	3285.409	22.263%	556.159	19.39%	0.03985	0.974
Stomach-AdenoCA::S.39	11406	0.984	2319.132	20.333%	377.602	18.051%	0.03663	0.976
Stomach-AdenoCA::S.40	15959	0.983	4148.207	25.993%	685.489	18.592%	0.07749	0.98
Stomach-AdenoCA::S.41	22660	0.967	4978.578	21.971%	736.863	25.488%	0.03896	0.91
Stomach-AdenoCA::S.42	23693	0.984	7811.68	32.97%	2008.81	19.711%	0.20971	0.983
Stomach-AdenoCA::S.43	4774	0.956	2041.102	42.755%	623.267	31.256%	0.41255	0.954
Stomach-AdenoCA::S.44	26697	0.977	5418.61	20.297%	797.678	21.523%	0.03454	0.948
Stomach-AdenoCA::S.45	11571	0.981	3517.494	30.399%	769.18	19.911%	0.1103	0.979
Stomach-AdenoCA::S.46	12793	0.978	2595.703	20.29%	359.071	20.702%	0.03108	0.949
Stomach-AdenoCA::S.47	13658	0.976	2804.521	20.534%	393.616	21.987%	0.03329	0.937
Stomach-AdenoCA::S.48	11933	0.988	2194.092	18.387%	499.711	15.197%	0.03441	0.987
Stomach-AdenoCA::S.49	7681	0.972	1681.24	21.888%	226.288	23.493%	0.0382	0.918
Stomach-AdenoCA::S.50	3424	0.979	794.247	23.196%	122.214	20.406%	0.04768	0.968
Stomach-AdenoCA::S.51	15269	0.977	2632.989	17.244%	417.461	21.314%	0.02499	0.937
Stomach-AdenoCA::S.52	21495	0.989	9671.518	44.994%	2648.395	27.26%	0.52387	0.989
Stomach-AdenoCA::S.53	9478	0.965	1990.249	20.999%	368.198	26.249%	0.04182	0.932
Stomach-AdenoCA::S.54	12129	0.952	3124.022	25.757%	463.079	30.556%	0.05642	0.849
Stomach-AdenoCA::S.55	7656	0.985	1598.709	20.882%	318.819	17.37%	0.03903	0.982
Stomach-AdenoCA::S.56	16861	0.958	4224.086	25.052%	668.769	28.617%	0.04685	0.906
Stomach-AdenoCA::S.57	16706	0.989	3130.563	18.739%	593.527	14.725%	0.04059	0.987
Stomach-AdenoCA::S.58	22671	0.98	3772.137	16.639%	551.963	19.803%	0.02185	0.936
Stomach-AdenoCA::S.59	8383	0.957	2136.919	25.491%	341.382	29.217%	0.05674	0.907
Stomach-AdenoCA::S.60	17957	0.983	2827.082	15.744%	459.178	18.479%	0.02017	0.962
Stomach-AdenoCA::S.61	12163	0.961	2841.318	23.36%	450.351	27.498%	0.04755	0.907
Stomach-AdenoCA::S.62	13378	0.974	2842.263	21.246%	464.755	22.687%	0.04352	0.954
Stomach-AdenoCA::S.63	13484	0.975	2681.244	19.885%	519.22	22.206%	0.04044	0.962
Stomach-AdenoCA::S.64	7598	0.986	1294.299	17.035%	239.161	16.576%	0.02354	0.981
Stomach-AdenoCA::S.65	11872	0.992	2672.307	22.509%	450.178	13.452%	0.06674	0.991
Stomach-AdenoCA::S.66	42959	0.974	10140.747	23.606%	1506.433	22.574%	0.04371	0.954
Stomach-AdenoCA::S.67	23371	0.987	3427.449	14.665%	546.19	16.516%	0.0202	0.973
