Samples	SBS1	SBS2	SBS5	SBS7a	SBS7b	SBS7c	SBS7d	SBS13	SBS17a	SBS17b	SBS38	SBS40
Skin-Melanoma::S.1	379	0	24006	0	7243	0	2504	0	0	0	0	0
Skin-Melanoma::S.2	732	0	0	43922	14165	0	0	0	0	0	0	0
Skin-Melanoma::S.3	0	0	0	33461	43802	0	0	0	0	0	0	0
Skin-Melanoma::S.4	0	0	0	180228	0	0	0	0	0	0	0	0
Skin-Melanoma::S.5	0	0	0	0	29603	8493	3364	0	0	0	0	0
Skin-Melanoma::S.6	174	4696	1547	4630	21217	8658	0	0	0	0	0	0
Skin-Melanoma::S.7	0	0	0	185465	101809	0	0	0	0	0	0	0
Skin-Melanoma::S.8	263	0	0	20538	12744	0	0	0	0	0	0	0
Skin-Melanoma::S.9	1340	0	34289	141402	37310	0	0	0	0	0	0	0
Skin-Melanoma::S.10	370	0	16898	11914	38674	12821	10164	0	0	0	0	0
Skin-Melanoma::S.11	190	0	2847	2592	11071	0	7794	0	0	0	0	0
Skin-Melanoma::S.12	244	9671	2071	19053	41742	0	0	0	0	0	0	0
Skin-Melanoma::S.13	2183	0	0	151176	26550	0	0	0	0	0	0	0
Skin-Melanoma::S.14	0	0	0	107433	23599	0	0	0	0	0	0	0
Skin-Melanoma::S.15	0	0	0	264476	97409	0	0	0	0	0	0	0
Skin-Melanoma::S.16	950	0	0	22333	0	0	9221	0	0	0	0	0
Skin-Melanoma::S.17	0	0	0	0	77755	0	0	0	0	0	0	0
Skin-Melanoma::S.18	359	0	0	34795	26261	0	0	0	0	0	0	0
Skin-Melanoma::S.19	0	0	23363	0	7068	0	0	0	0	0	0	0
Skin-Melanoma::S.20	0	0	0	62129	0	0	0	0	0	0	0	0
Skin-Melanoma::S.21	689	0	0	36289	0	0	9534	0	0	0	0	0
Skin-Melanoma::S.22	0	0	0	120010	54091	26063	0	0	0	0	0	0
Skin-Melanoma::S.23	86	0	4659	0	5868	10853	9002	0	0	0	0	0
Skin-Melanoma::S.24	0	0	0	83355	68968	12312	0	0	0	0	0	0
Skin-Melanoma::S.25	259	0	0	58879	61897	0	0	0	0	0	0	0
Skin-Melanoma::S.26	0	32293	0	31957	88372	0	0	0	0	0	0	0
Skin-Melanoma::S.27	0	0	0	48486	12649	0	0	0	0	0	0	0
Skin-Melanoma::S.28	0	0	0	0	32773	7253	7105	0	0	0	0	0
Skin-Melanoma::S.29	6475	0	0	213443	0	0	0	0	0	0	0	0
Skin-Melanoma::S.30	0	0	0	317787	93933	27637	0	0	0	0	0	0
Skin-Melanoma::S.31	2320	0	0	109431	54051	0	0	0	0	0	0	0
Skin-Melanoma::S.32	155	0	5733	0	0	0	0	0	0	0	0	8651
Skin-Melanoma::S.33	0	0	0	0	20705	8455	0	0	0	0	0	0
Skin-Melanoma::S.34	0	0	0	159828	0	0	0	0	0	0	0	0
Skin-Melanoma::S.35	615	4964	2416	0	19132	0	3596	0	0	0	0	0
Skin-Melanoma::S.36	0	0	0	39613	41727	0	6598	0	0	0	0	0
Skin-Melanoma::S.37	23	13303	12176	40420	27237	5408	0	0	0	0	0	0
Skin-Melanoma::S.38	0	0	0	46139	62179	0	0	0	0	0	0	0
Skin-Melanoma::S.39	0	18403	40002	81259	46042	16998	0	0	0	0	0	0
Skin-Melanoma::S.40	0	0	0	103090	30168	0	7600	0	0	0	0	0
Skin-Melanoma::S.41	1897	0	0	76360	49790	0	0	0	0	0	0	0
Skin-Melanoma::S.42	0	0	0	78294	25537	0	0	0	0	0	0	0
Skin-Melanoma::S.43	0	0	0	138253	52695	0	0	0	0	0	0	0
Skin-Melanoma::S.44	4421	0	0	301739	0	0	0	0	0	0	0	0
Skin-Melanoma::S.45	648	0	0	148689	27622	0	0	0	0	0	0	0
Skin-Melanoma::S.46	0	0	0	0	69107	0	0	0	0	0	0	0
Skin-Melanoma::S.47	1531	0	0	0	11365	12123	0	0	0	0	0	15532
Skin-Melanoma::S.48	6683	0	0	186203	78834	0	0	0	0	0	0	0
Skin-Melanoma::S.49	0	0	0	185328	99021	0	0	0	0	0	0	0
Skin-Melanoma::S.50	0	0	0	460119	0	0	0	0	0	0	0	0
Skin-Melanoma::S.51	413	0	1261	0	808	0	485	0	0	0	0	0
Skin-Melanoma::S.52	0	0	0	209032	0	0	0	0	0	0	0	0
Skin-Melanoma::S.53	3938	79709	34415	307440	0	0	0	0	0	0	0	0
Skin-Melanoma::S.54	469	30488	10861	62288	26470	0	9184	0	0	0	0	0
Skin-Melanoma::S.55	353	0	5752	0	0	24523	2471	0	0	0	0	0
Skin-Melanoma::S.56	0	0	0	28034	9667	0	6006	0	0	0	0	0
Skin-Melanoma::S.57	277	0	68	11353	25263	0	4425	0	0	0	0	0
Skin-Melanoma::S.58	4518	0	0	106799	40839	0	0	0	0	0	0	0
Skin-Melanoma::S.59	0	0	7770	728	4428	0	0	0	0	0	0	0
Skin-Melanoma::S.60	0	0	0	98841	13898	0	0	0	0	0	0	0
Skin-Melanoma::S.61	48	0	3342	0	5788	1158	470	0	0	0	0	0
Skin-Melanoma::S.62	516	0	0	66585	12034	0	0	0	0	0	0	0
Skin-Melanoma::S.63	271	0	23949	31092	18309	5160	0	0	0	0	0	0
Skin-Melanoma::S.64	652	0	15230	0	28027	0	0	0	0	0	0	0
Skin-Melanoma::S.65	0	0	0	9589	26692	0	0	0	0	0	0	0
Skin-Melanoma::S.66	0	0	17897	16245	20454	0	0	0	0	0	0	0
Skin-Melanoma::S.67	0	0	0	204997	65617	0	0	0	0	0	0	0
Skin-Melanoma::S.68	0	0	7934	15626	11088	0	3951	0	0	0	0	0
Skin-Melanoma::S.69	0	0	1102	0	11230	0	2796	0	0	0	0	0
Skin-Melanoma::S.70	119	0	0	21391	0	22224	0	0	0	0	0	0
Skin-Melanoma::S.71	0	0	0	0	19956	0	0	0	0	0	0	0
Skin-Melanoma::S.72	1186	0	0	101509	9738	20821	0	0	0	0	0	0
Skin-Melanoma::S.73	341	0	0	0	17880	0	2650	0	0	0	0	0
Skin-Melanoma::S.74	882	0	0	234986	52470	0	0	0	0	0	0	0
Skin-Melanoma::S.75	1491	8732	8387	28875	0	14277	0	0	0	0	0	0
Skin-Melanoma::S.76	612	0	0	36923	10145	0	4265	0	0	0	0	0
Skin-Melanoma::S.77	834	0	0	98242	12054	0	0	0	0	0	0	0
Skin-Melanoma::S.78	118	17347	7552	90052	26409	0	0	0	0	0	0	0
Skin-Melanoma::S.79	0	0	0	82007	18349	0	0	0	0	0	0	0
Skin-Melanoma::S.80	2626	0	0	217663	0	0	0	0	0	0	0	0
Skin-Melanoma::S.81	166	0	6536	0	60103	0	0	0	0	0	0	0
Skin-Melanoma::S.82	0	0	0	115555	14521	0	0	0	0	0	0	0
Skin-Melanoma::S.83	0	0	0	0	90818	0	0	0	0	0	0	0
Skin-Melanoma::S.84	2319	0	0	137823	49229	0	0	0	0	0	0	0
Skin-Melanoma::S.85	0	3362	4759	8439	8782	0	0	0	0	0	0	0
