MutationType	Breast-AdenoCA::S.1	Breast-AdenoCA::S.2	Breast-AdenoCA::S.3	Breast-AdenoCA::S.4	Breast-AdenoCA::S.5	Breast-AdenoCA::S.6	Breast-AdenoCA::S.7	Breast-AdenoCA::S.8	Breast-AdenoCA::S.9	Breast-AdenoCA::S.10	Breast-AdenoCA::S.11	Breast-AdenoCA::S.12	Breast-AdenoCA::S.13	Breast-AdenoCA::S.14	Breast-AdenoCA::S.15	Breast-AdenoCA::S.16	Breast-AdenoCA::S.17	Breast-AdenoCA::S.18	Breast-AdenoCA::S.19	Breast-AdenoCA::S.20	Breast-AdenoCA::S.21	Breast-AdenoCA::S.22	Breast-AdenoCA::S.23	Breast-AdenoCA::S.24	Breast-AdenoCA::S.25	Breast-AdenoCA::S.26	Breast-AdenoCA::S.27	Breast-AdenoCA::S.28	Breast-AdenoCA::S.29	Breast-AdenoCA::S.30	Breast-AdenoCA::S.31	Breast-AdenoCA::S.32	Breast-AdenoCA::S.33	Breast-AdenoCA::S.34	Breast-AdenoCA::S.35	Breast-AdenoCA::S.36	Breast-AdenoCA::S.37	Breast-AdenoCA::S.38	Breast-AdenoCA::S.39	Breast-AdenoCA::S.40	Breast-AdenoCA::S.41	Breast-AdenoCA::S.42	Breast-AdenoCA::S.43	Breast-AdenoCA::S.44	Breast-AdenoCA::S.45	Breast-AdenoCA::S.46	Breast-AdenoCA::S.47	Breast-AdenoCA::S.48	Breast-AdenoCA::S.49	Breast-AdenoCA::S.50	Breast-AdenoCA::S.51	Breast-AdenoCA::S.52	Breast-AdenoCA::S.53	Breast-AdenoCA::S.54	Breast-AdenoCA::S.55	Breast-AdenoCA::S.56	Breast-AdenoCA::S.57	Breast-AdenoCA::S.58	Breast-AdenoCA::S.59	Breast-AdenoCA::S.60	Breast-AdenoCA::S.61	Breast-AdenoCA::S.62	Breast-AdenoCA::S.63	Breast-AdenoCA::S.64	Breast-AdenoCA::S.65	Breast-AdenoCA::S.66	Breast-AdenoCA::S.67	Breast-AdenoCA::S.68	Breast-AdenoCA::S.69	Breast-AdenoCA::S.70	Breast-AdenoCA::S.71	Breast-AdenoCA::S.72	Breast-AdenoCA::S.73	Breast-AdenoCA::S.74	Breast-AdenoCA::S.75	Breast-AdenoCA::S.76	Breast-AdenoCA::S.77	Breast-AdenoCA::S.78	Breast-AdenoCA::S.79	Breast-AdenoCA::S.80	Breast-AdenoCA::S.81	Breast-AdenoCA::S.82	Breast-AdenoCA::S.83	Breast-AdenoCA::S.84	Breast-AdenoCA::S.85	Breast-AdenoCA::S.86	Breast-AdenoCA::S.87	Breast-AdenoCA::S.88	Breast-AdenoCA::S.89	Breast-AdenoCA::S.90	Breast-AdenoCA::S.91	Breast-AdenoCA::S.92	Breast-AdenoCA::S.93	Breast-AdenoCA::S.94	Breast-AdenoCA::S.95	Breast-AdenoCA::S.96	Breast-AdenoCA::S.97	Breast-AdenoCA::S.98	Breast-AdenoCA::S.99	Breast-AdenoCA::S.100
AC>CA	0	0	0	1	4	1	0	2	1	3	1	0	10	0	3	2	0	0	1	1	3	2	2	2	1	0	1	3	0	0	0	0	1	0	7	1	1	0	0	0	3	1	1	1	0	4	0	1	0	0	0	1	1	0	1	1	0	1	0	1	0	1	1	0	0	2	1	2	2	2	0	1	1	1	0	4	1	0	0	5	0	1	0	0	0	7	1	1	1	1	1	0	1	0	0	4	0	0	0	1
AC>CG	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC>CT	0	0	0	2	0	3	0	0	6	2	1	0	0	1	2	2	0	0	0	1	1	2	1	1	0	0	0	0	1	0	0	0	2	1	3	0	3	0	0	0	0	0	2	1	3	0	0	2	1	1	0	1	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	1	0	0	4	0	1	2	0	2	0	0	0	0	4	2	1	1	0	4	1	1	2	2	0	0	4	1	2	0	0	1	2
AC>GA	3	1	2	0	3	1	0	0	0	0	3	1	0	0	1	1	0	0	0	0	0	1	0	1	2	1	1	0	4	0	0	0	0	1	2	2	0	3	0	1	1	0	0	2	2	1	0	1	3	0	1	1	1	1	2	1	0	0	0	2	2	1	0	0	1	5	0	0	0	2	0	2	1	3	0	2	0	0	6	1	0	1	3	0	2	1	1	3	1	0	0	3	0	0	0	1	0	1	2	3
AC>GG	1	0	0	0	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	4	1	0	0	0	1	0	0	0	1	0	1	1	0	2	1	0	0	0	0	0	1	1	0	0	0	0	2	0
AC>GT	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	4	0	0	3	2	0	0	1	0	1	0	0	1	0	0	2	0	0	0	1	0	1	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	1	0
AC>TA	0	0	1	0	8	0	0	0	0	0	2	6	3	0	0	2	3	0	1	2	3	1	4	3	18	1	0	0	0	0	0	1	0	0	4	0	5	0	0	0	0	3	1	6	2	0	1	0	2	5	0	2	1	1	6	6	4	3	0	0	5	3	2	1	5	2	1	1	1	4	0	0	2	2	2	4	4	1	0	1	1	0	1	3	2	0	0	1	3	3	2	1	0	0	1	2	0	1	1	4
AC>TG	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	1	0	0	2	5	0	0	0	0	1	0	0	1	0	1	1	2	0	0	0	0	0	1	2	5	0	0	0	0	2	1	3	1	0	0	0	0	3	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
AC>TT	2	0	1	2	3	7	1	0	2	9	1	0	3	4	0	5	6	1	0	3	0	0	1	1	0	1	6	0	2	1	1	0	0	0	6	1	2	0	0	0	0	1	2	2	2	2	0	4	1	1	0	0	2	4	0	2	3	1	7	1	8	0	0	1	1	0	0	1	0	0	0	1	3	0	1	3	5	0	2	2	0	1	0	2	0	1	1	2	3	5	5	3	11	0	2	2	0	0	0	1
AT>CA	1	0	1	0	0	1	0	0	1	6	1	0	1	2	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	5	0	1	1	0	0	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	2	0	1	2	3	1	0	1	2	1	0	0	1	0	0	2	0
