Samples	DBS2	DBS4	DBS5	DBS6	DBS9
Ovary-AdenoCA::S.1	0	69	0	0	0
Ovary-AdenoCA::S.2	0	0	97	79	0
Ovary-AdenoCA::S.3	0	163	0	159	0
Ovary-AdenoCA::S.4	29	24	70	0	0
Ovary-AdenoCA::S.5	8	30	0	0	0
Ovary-AdenoCA::S.6	0	0	121	0	0
Ovary-AdenoCA::S.7	34	0	22	0	0
Ovary-AdenoCA::S.8	59	0	344	0	0
Ovary-AdenoCA::S.9	39	0	194	0	0
Ovary-AdenoCA::S.10	57	0	0	0	0
Ovary-AdenoCA::S.11	25	44	0	0	0
Ovary-AdenoCA::S.12	43	54	0	0	0
Ovary-AdenoCA::S.13	88	176	0	0	0
Ovary-AdenoCA::S.14	0	0	123	0	0
Ovary-AdenoCA::S.15	26	0	0	0	0
Ovary-AdenoCA::S.16	0	73	0	0	0
Ovary-AdenoCA::S.17	76	47	0	47	0
Ovary-AdenoCA::S.18	0	228	0	0	0
Ovary-AdenoCA::S.19	0	0	964	0	0
Ovary-AdenoCA::S.20	128	0	0	0	0
Ovary-AdenoCA::S.21	15	30	0	0	81
Ovary-AdenoCA::S.22	33	0	0	75	0
Ovary-AdenoCA::S.23	0	0	20	10	0
Ovary-AdenoCA::S.24	386	69	0	0	0
Ovary-AdenoCA::S.25	42	25	0	0	63
Ovary-AdenoCA::S.26	44	89	0	69	0
Ovary-AdenoCA::S.27	135	0	326	0	0
Ovary-AdenoCA::S.28	83	131	0	0	0
Ovary-AdenoCA::S.29	71	0	30	68	0
Ovary-AdenoCA::S.30	165	36	0	0	0
Ovary-AdenoCA::S.31	0	187	0	0	0
Ovary-AdenoCA::S.32	8	0	0	51	0
Ovary-AdenoCA::S.33	35	0	0	15	0
Ovary-AdenoCA::S.34	33	0	0	0	0
Ovary-AdenoCA::S.35	0	32	0	0	40
Ovary-AdenoCA::S.36	213	0	66	0	0
Ovary-AdenoCA::S.37	468	0	0	0	0
Ovary-AdenoCA::S.38	42	0	0	0	0
Ovary-AdenoCA::S.39	0	158	0	0	0
Ovary-AdenoCA::S.40	61	83	0	0	0
Ovary-AdenoCA::S.41	0	110	0	0	0
Ovary-AdenoCA::S.42	0	55	0	0	148
Ovary-AdenoCA::S.43	0	0	0	201	0
Ovary-AdenoCA::S.44	0	96	185	0	0
Ovary-AdenoCA::S.45	160	0	0	210	0
Ovary-AdenoCA::S.46	10	41	0	0	72
Ovary-AdenoCA::S.47	35	130	0	0	0
Ovary-AdenoCA::S.48	18	0	0	0	0
Ovary-AdenoCA::S.49	110	30	0	0	0
Ovary-AdenoCA::S.50	44	0	0	0	0
Ovary-AdenoCA::S.51	0	0	0	196	0
Ovary-AdenoCA::S.52	17	0	20	66	0
Ovary-AdenoCA::S.53	46	16	0	24	0
Ovary-AdenoCA::S.54	33	0	0	0	0
Ovary-AdenoCA::S.55	63	41	102	0	0
Ovary-AdenoCA::S.56	39	112	0	50	0
Ovary-AdenoCA::S.57	0	135	0	0	0
Ovary-AdenoCA::S.58	28	0	80	0	0
Ovary-AdenoCA::S.59	44	51	0	0	0
Ovary-AdenoCA::S.60	57	54	25	0	0
Ovary-AdenoCA::S.61	0	51	92	0	0
Ovary-AdenoCA::S.62	54	14	0	0	0
Ovary-AdenoCA::S.63	32	32	46	0	64
Ovary-AdenoCA::S.64	162	46	0	0	0
Ovary-AdenoCA::S.65	0	0	0	61	0
Ovary-AdenoCA::S.66	0	23	0	0	0
Ovary-AdenoCA::S.67	13	26	11	0	0
Ovary-AdenoCA::S.68	11	0	39	0	0
Ovary-AdenoCA::S.69	132	40	0	0	0
Ovary-AdenoCA::S.70	111	0	56	0	0
Ovary-AdenoCA::S.71	254	0	0	0	0
Ovary-AdenoCA::S.72	33	0	0	0	0
Ovary-AdenoCA::S.73	233	0	0	0	0
Ovary-AdenoCA::S.74	32	30	0	39	0
Ovary-AdenoCA::S.75	12	0	0	0	0
Ovary-AdenoCA::S.76	49	0	0	0	0
Ovary-AdenoCA::S.77	40	0	0	75	63
Ovary-AdenoCA::S.78	31	139	0	0	0
Ovary-AdenoCA::S.79	0	38	0	0	0
Ovary-AdenoCA::S.80	0	54	154	0	0
Ovary-AdenoCA::S.81	20	99	0	28	0
Ovary-AdenoCA::S.82	62	0	137	78	0
Ovary-AdenoCA::S.83	0	47	108	0	0
Ovary-AdenoCA::S.84	111	151	0	0	0
Ovary-AdenoCA::S.85	11	23	0	18	0
Ovary-AdenoCA::S.86	0	103	0	104	0
Ovary-AdenoCA::S.87	7	21	13	0	0
Ovary-AdenoCA::S.88	270	0	0	0	0
Ovary-AdenoCA::S.89	57	0	0	0	60
Ovary-AdenoCA::S.90	21	29	0	61	0
Ovary-AdenoCA::S.91	0	62	0	43	0
Ovary-AdenoCA::S.92	26	0	0	0	31
Ovary-AdenoCA::S.93	0	32	0	0	0
Ovary-AdenoCA::S.94	34	42	0	110	0
Ovary-AdenoCA::S.95	32	19	0	0	0
Ovary-AdenoCA::S.96	27	38	0	0	0
Ovary-AdenoCA::S.97	34	0	24	0	0
Ovary-AdenoCA::S.98	157	0	0	0	0
Ovary-AdenoCA::S.99	0	60	0	0	0
Ovary-AdenoCA::S.100	22	9	0	0	0
