"Mutation type","Breast-AdenoCA::S.1","Breast-AdenoCA::S.2","Breast-AdenoCA::S.3","Breast-AdenoCA::S.4","Breast-AdenoCA::S.5","Breast-AdenoCA::S.6","Breast-AdenoCA::S.7","Breast-AdenoCA::S.8","Breast-AdenoCA::S.9","Breast-AdenoCA::S.10","Breast-AdenoCA::S.11","Breast-AdenoCA::S.12","Breast-AdenoCA::S.13","Breast-AdenoCA::S.14","Breast-AdenoCA::S.15","Breast-AdenoCA::S.16","Breast-AdenoCA::S.17","Breast-AdenoCA::S.18","Breast-AdenoCA::S.19","Breast-AdenoCA::S.20","Breast-AdenoCA::S.21","Breast-AdenoCA::S.22","Breast-AdenoCA::S.23","Breast-AdenoCA::S.24","Breast-AdenoCA::S.25","Breast-AdenoCA::S.26","Breast-AdenoCA::S.27","Breast-AdenoCA::S.28","Breast-AdenoCA::S.29","Breast-AdenoCA::S.30","Breast-AdenoCA::S.31","Breast-AdenoCA::S.32","Breast-AdenoCA::S.33","Breast-AdenoCA::S.34","Breast-AdenoCA::S.35","Breast-AdenoCA::S.36","Breast-AdenoCA::S.37","Breast-AdenoCA::S.38","Breast-AdenoCA::S.39","Breast-AdenoCA::S.40","Breast-AdenoCA::S.41","Breast-AdenoCA::S.42","Breast-AdenoCA::S.43","Breast-AdenoCA::S.44","Breast-AdenoCA::S.45","Breast-AdenoCA::S.46","Breast-AdenoCA::S.47","Breast-AdenoCA::S.48","Breast-AdenoCA::S.49","Breast-AdenoCA::S.50","Breast-AdenoCA::S.51","Breast-AdenoCA::S.52","Breast-AdenoCA::S.53","Breast-AdenoCA::S.54","Breast-AdenoCA::S.55","Breast-AdenoCA::S.56","Breast-AdenoCA::S.57","Breast-AdenoCA::S.58","Breast-AdenoCA::S.59","Breast-AdenoCA::S.60","Breast-AdenoCA::S.61","Breast-AdenoCA::S.62","Breast-AdenoCA::S.63","Breast-AdenoCA::S.64","Breast-AdenoCA::S.65","Breast-AdenoCA::S.66","Breast-AdenoCA::S.67","Breast-AdenoCA::S.68","Breast-AdenoCA::S.69","Breast-AdenoCA::S.70","Breast-AdenoCA::S.71","Breast-AdenoCA::S.72","Breast-AdenoCA::S.73","Breast-AdenoCA::S.74","Breast-AdenoCA::S.75","Breast-AdenoCA::S.76","Breast-AdenoCA::S.77","Breast-AdenoCA::S.78","Breast-AdenoCA::S.79","Breast-AdenoCA::S.80","Breast-AdenoCA::S.81","Breast-AdenoCA::S.82","Breast-AdenoCA::S.83","Breast-AdenoCA::S.84","Breast-AdenoCA::S.85","Breast-AdenoCA::S.86","Breast-AdenoCA::S.87","Breast-AdenoCA::S.88","Breast-AdenoCA::S.89","Breast-AdenoCA::S.90","Breast-AdenoCA::S.91","Breast-AdenoCA::S.92","Breast-AdenoCA::S.93","Breast-AdenoCA::S.94","Breast-AdenoCA::S.95","Breast-AdenoCA::S.96","Breast-AdenoCA::S.97","Breast-AdenoCA::S.98","Breast-AdenoCA::S.99","Breast-AdenoCA::S.100"
"DEL_C_1_0",8,39,27,29,8,18,115,12,32,46,14,11,103,39,63,41,39,30,16,21,3,14,22,37,63,48,101,21,19,47,23,69,6,5,21,16,45,45,11,32,15,12,21,36,9,8,18,17,7,13,37,1,6,87,12,7,34,47,19,42,0,34,59,82,20,16,34,3,41,14,14,14,18,36,71,10,29,8,32,25,134,65,16,21,17,31,36,3,29,109,6,18,0,161,57,45,40,47,15,15
"DEL_C_1_1",18,8,5,21,11,4,50,3,21,21,5,12,14,20,7,25,16,2,1,8,0,10,8,11,16,7,13,5,11,10,16,15,7,2,10,37,18,25,7,16,9,4,9,18,3,7,10,5,4,4,6,0,1,11,4,2,6,6,17,15,0,16,14,11,10,15,23,3,22,3,3,5,4,9,30,6,14,11,9,9,48,28,11,7,11,2,10,1,4,60,1,13,0,26,11,19,21,14,8,18
"DEL_C_1_2",0,0,1,12,1,0,1,11,2,0,0,0,1,1,0,3,2,0,1,0,2,2,4,0,16,0,0,1,0,5,1,11,0,0,8,4,0,1,3,2,3,1,2,0,2,3,0,0,0,0,1,0,5,0,0,9,0,0,5,2,0,0,4,0,0,0,12,0,1,1,1,4,0,2,2,0,3,1,2,0,3,4,0,1,2,5,2,1,3,13,0,0,0,12,2,2,0,4,0,3
"DEL_C_1_3",1,1,0,1,0,0,3,0,2,3,0,0,5,6,3,3,1,1,0,2,0,2,0,5,4,3,1,2,2,3,1,10,0,2,1,8,0,4,3,4,1,0,5,1,1,0,5,1,1,0,1,0,0,4,0,2,3,1,1,5,1,2,5,6,4,2,2,0,2,0,1,0,2,3,2,3,1,0,0,2,4,6,0,2,5,0,3,2,4,0,3,2,0,4,1,4,6,1,1,4
"DEL_C_1_4",0,2,3,0,2,0,7,2,1,2,0,2,11,2,3,4,1,0,0,4,0,2,5,0,4,1,4,0,2,0,2,1,2,2,0,3,0,5,1,3,2,1,1,0,1,2,2,1,1,1,2,0,2,4,0,1,0,1,2,3,0,3,2,1,2,5,1,0,0,0,1,0,1,2,4,1,1,4,1,0,8,2,0,2,2,1,1,0,1,1,1,1,0,3,1,3,4,5,1,0
"DEL_C_1_5+",2,0,0,3,0,0,4,0,0,1,0,3,0,7,1,4,1,0,0,2,2,1,1,0,4,0,1,2,1,0,1,1,2,8,0,0,1,1,2,0,0,0,1,1,0,3,1,0,0,1,3,0,1,1,1,0,0,2,5,1,0,0,1,3,4,1,0,0,4,1,1,0,5,4,1,2,2,1,3,1,0,4,0,0,2,1,0,0,0,3,6,2,0,2,1,4,5,1,1,0
"DEL_T_1_0",7,13,15,28,2,5,46,8,12,14,2,8,43,32,22,38,13,16,4,18,5,44,7,22,13,38,12,25,14,20,21,18,3,10,7,36,26,14,20,27,12,5,30,3,0,11,20,4,4,6,10,0,5,13,9,6,4,8,12,10,1,12,22,37,10,17,42,6,7,3,3,2,8,23,50,6,12,11,15,8,14,23,4,20,9,26,6,18,20,48,5,25,0,15,17,13,16,16,6,14
"DEL_T_1_1",2,3,0,7,1,0,20,0,4,6,4,8,16,5,6,8,6,6,4,7,2,15,0,7,7,4,2,5,5,9,1,3,1,0,2,8,6,1,15,14,2,0,12,3,1,3,6,3,3,4,7,0,0,7,3,2,3,7,13,10,0,3,13,3,1,10,10,0,3,3,10,6,4,14,29,2,8,5,3,3,7,2,1,5,4,3,4,8,5,14,1,5,0,17,7,16,4,9,3,13
"DEL_T_1_2",9,2,5,10,6,1,31,10,3,11,3,0,27,10,15,33,12,8,6,4,2,9,5,14,19,8,14,1,3,3,24,11,1,4,5,32,4,11,22,14,3,1,15,7,3,6,8,14,2,5,7,0,8,26,0,10,2,11,25,14,0,15,16,11,7,10,20,1,24,5,6,8,4,28,14,4,14,7,14,4,38,17,0,16,4,6,8,5,3,35,0,0,0,24,18,6,16,13,5,22
"DEL_T_1_3",8,18,12,7,11,3,69,10,14,10,0,6,33,7,15,38,12,4,6,12,3,28,22,12,10,14,54,9,7,6,27,31,3,5,8,25,7,20,21,36,4,7,8,16,2,7,9,19,2,2,10,0,15,14,3,17,6,10,9,18,2,4,37,7,8,15,44,2,10,4,4,12,6,19,26,4,11,26,16,7,63,18,4,13,7,14,5,19,12,32,6,9,0,51,23,11,18,19,3,11
