Mutation type,Stomach-AdenoCA::MSI-H.S.1,Stomach-AdenoCA::MSI-H.S.2,Stomach-AdenoCA::MSI-H.S.3,Stomach-AdenoCA::MSI-H.S.4,Stomach-AdenoCA::MSI-H.S.5,Stomach-AdenoCA::MSI-H.S.6,Stomach-AdenoCA::MSI-H.S.7,Stomach-AdenoCA::MSI-H.S.8,Stomach-AdenoCA::MSI-H.S.9,Stomach-AdenoCA::MSI-H.S.10
DEL_C_1_0,267.0163942231371,-431.58769334742146,87.83472986037685,-157.79596234791438,-216.34918403402617,-68.53025526613607,493.7907841866609,-148.99790905803002,-354.8259875876904,32.626404573960755
DEL_C_1_1,-4.101780854560619,3.2823896713784,-81.97888311280656,-8.61033496827852,-215.74718150145821,-7.62333707859189,-151.77787739883104,8.203125938797571,-12.087938932393477,-9.968803663048362
DEL_C_1_2,0.7508741907195164,0.6918668697048044,-109.2416603598175,-0.3314004693986844,-201.14018217039816,-41.21910673715769,-148.45718378073252,0.8128837691833015,-0.33658695889721524,-26.08419913888252
DEL_C_1_3,72.56386818805069,-164.1551741663426,-66.34729905741864,-43.113059045958266,-160.70913543857114,-266.9834132771401,-30.550133369005607,106.38381695541108,-135.84854504115822,11.908956825198175
DEL_C_1_4,115.78299829547251,-256.13983967375356,-138.15420203738347,-377.0960577466191,213.37069636389117,-207.5550065929856,-21.12292859422223,-102.78675181246055,-236.7082532652106,-302.7177977054116
DEL_C_1_5+,509.50873392476956,-924.436159504111,-287.94043097838176,-288.16576512384404,-656.9250473106588,-217.2291115788621,266.76645979438956,-209.2417132125679,-960.4556492148279,46.73108198095201
DEL_T_1_0,972.7849341663649,-530.0295852167533,-449.02003555671297,41.06700439920053,451.8419478558626,39.65491029474333,164.30600940127374,409.97251752851633,-414.6037237734282,80.96584852018742
DEL_T_1_1,-3.69181666403461e-13,-4.663631911258235e-13,-366.382468886976,-4.776319088070259e-13,-801.1534655577377,-37.03819386992947,-595.4679106526328,-2.738878767961294e-13,-5.460129874197641e-13,-24.395263889094252
DEL_T_1_2,-280.5794756657783,-306.3754338437243,34.84718101482565,89.15446211969538,-178.55146535930407,-248.4637528134615,-476.7093053810436,-146.6037437613544,-427.0624982931721,-15.08989012161939
DEL_T_1_3,1164.500323882246,-1219.8453775317294,943.315916774111,-747.5494510510143,304.5302043943575,-609.3169486010238,1380.2651326101018,-628.5744479008165,-27.155421647563344,102.48703842748967
DEL_T_1_4,-654.9440078466691,-2673.7996198312894,437.1527855295051,1501.3785783943576,2015.3989857749057,1101.364230524041,62.07767412971043,-448.99210728611024,1862.6818404412206,460.8997691412719
DEL_T_1_5+,-35.12692902531853,243.28448308723455,-56.53060974532491,-37.83980339480331,-117.51150378398597,-31.198636667060782,-54.47188428921072,33.934586030387436,-47.4952973931795,-28.293108400433994
INS_C_1_0,-3.69181666403461e-13,-4.663631911258235e-13,-3.527306966819317,-4.776319088070259e-13,-4.09452084612814,-3.2205023840550004,-3.0433067797693405,-2.738878767961294e-13,-5.460129874197641e-13,-2.1211888946416124
INS_C_1_1,-7.185863658419713,-13.493322198830558,-3.8001602235191037,18.80819197245194,-3.8660332967598094,-10.390708839076435,-9.55194823178179,-0.6592441856505484,-0.5704150902102256,-5.404644114315637
INS_C_1_2,2.9012552401455136,-2.5958482359268147,-11.005251849925445,2.2081375246803145,-21.392520200729827,-0.8852634002332742,-16.25503624418695,0.4236510458531626,1.1644442690982948,0.3044203969138758
INS_C_1_3,43.06427997660378,-28.778559643599138,-10.705017692433792,8.676909431439611,8.862758406105876,-20.910812437884978,-14.299390532236067,-1.134790813198471,-19.83382264865321,-0.856439159316146
INS_C_1_4,118.28251797038422,-241.960277625596,-10.841753027498612,-216.8826467049846,395.16616114475494,-107.59770494776433,89.12433538795761,272.2610296928893,-195.07229222489644,-20.703497579220453
INS_C_1_5+,352.3182446364017,-978.9990078263431,546.6462861792096,-406.2594955348088,8.776111664025052,-225.42747396941422,180.6882439831594,389.4941289130844,-482.8851083303871,-287.3038870869864
INS_T_1_0,-22.832271825157363,-61.3822149090488,91.36135807281983,-81.70686991505568,-41.59751125375146,9.921020527492175,-27.386213671950145,10.06671652405754,-143.55873764847598,-2.624281808099667
INS_T_1_1,0.35753938226335025,-0.913195469963191,-44.124054539846526,2.309404775036694,-101.65622904408023,-2.526243688190469,-73.09080129711528,-0.44113541348358287,-0.4429479702209369,-2.1400577700977226
INS_T_1_2,-42.90506870229737,-27.477158854366095,-122.28438713493324,4.747395066711761,-231.4946756194767,-25.08082768739746,-20.051606329693186,-19.040537275442333,-50.93220851997421,-62.762166302925394
INS_T_1_3,45.61028182055918,70.55815900195643,-27.315659698282957,174.89466528206796,-169.49263141078293,-39.954160346006745,-114.66476101538154,-14.60051114128811,-79.12794605700742,-84.65049295431547
INS_T_1_4,-144.78179648622245,-291.79945062897184,44.30898206520095,-159.92797599004507,-84.43130837895916,400.9628597175258,-78.18764958811562,334.9273121824093,-237.56321584189982,-113.22652961355709
INS_T_1_5+,-34.72200278862874,69.74464601715954,-31.540375191461862,28.30082347071766,-131.06775788631745,5.9845677550802066,-17.631563388460563,-16.593972310887693,40.91974734653559,4.863687547665904
DEL_repeats_2_0,-5.058792517018929,-16.775656376952902,-74.49036600905596,-10.211757308272144,-214.05856648394445,0.335333067288925,-149.32843971604566,-4.365387974691188,-16.292595905517878,-6.277704838949894
DEL_repeats_2_1,95.66663129826463,-97.24304047220903,-58.53294547757389,-303.2049136358825,-269.87644986873886,-32.46004227954239,-130.42645291180077,145.92036633988226,-243.9320376179947,44.424160536645786
DEL_repeats_2_2,-12.696226055063903,-120.96488270336923,-36.2648382695007,-119.19112913018986,80.39612289867048,-100.07314801169917,-43.47123166511673,105.54370128306388,-78.10128725872522,-60.00107716474078
DEL_repeats_2_3,-9.00369284993323,-32.8925806117077,-179.75156130537022,-30.064686629798672,88.82752598598489,-351.9906494171669,-20.066208207553785,-21.13631445938376,-69.26352809476649,-218.06636180347164
DEL_repeats_2_4,28.482616678481634,-55.61744732057035,-118.8136389360906,-70.91399844820549,-3.883142351005475,-214.5699600673638,67.66779739438462,-4.659979770597232,98.5959032390384,-121.81817165363779
DEL_repeats_2_5+,-4.268570949185447e-13,-5.376994785253371e-13,-219.07559592705505,-5.543548470600844e-13,-161.7926672016102,-273.2404252247643,-120.25454003421065,-3.172073900398583e-13,-6.239366563605711e-13,-179.97023024220036
DEL_repeats_3_0,-2.0425966145934833,-1.1399688731206634,-58.56709392209819,-1.5262204081479402,-130.63376808704868,-2.176317986745074,-96.61775308892545,0.8463076478310625,3.0624867425339524,-2.3203210152575853
DEL_repeats_3_1,-24.671261032886548,-323.26455292300693,64.27571087373207,-133.017099833884,-92.06595464248574,-166.9921303343695,259.2991713544495,30.121245637869265,-429.91189743026564,-22.692598447474154
DEL_repeats_3_2,141.30336089451416,-81.31239615801283,40.41354329695196,97.80562502048235,15.883143663716368,46.74275906426405,216.1481647198743,-58.19544845385926,-87.37664322179148,21.69584625743059
DEL_repeats_3_3,93.83231935977827,-18.300223673776394,10.810347960827738,25.738499932245567,-2.555987735885388,-28.412334478905386,3.5243354804255205,-13.285920827220412,-40.86379194659202,-14.198415541441001
DEL_repeats_3_4,-3.7078376163999117e-13,-4.68344754664699e-13,-20.429938456616544,-4.797631015362776e-13,-44.30202358552641,-2.359152936915906,-32.928065041560856,-2.7509119660845526e-13,-5.481775337792311e-13,-1.55385974415775
DEL_repeats_3_5+,-3.69181666403461e-13,-4.663631911258235e-13,-28.478802877398756,-4.776319088070259e-13,-63.268786020807205,-2.0911732957629656,-47.02536210725962,-2.738878767961294e-13,-5.460129874197641e-13,-1.3773545375110952
DEL_repeats_4_0,3.4413198859113865,-2.4580416818456836,-34.40518361096384,0.0021335122320573774,-82.68255163484869,1.7373498463891757,-57.6076849692825,1.18064658241908,-1.8793250544497777,2.925328058399567
DEL_repeats_4_1,44.159611757044615,-155.0336602076713,114.94579383946567,-118.88883528586803,-129.98482336027982,-13.993502298770522,-41.405444286210866,-73.1555861292075,-51.22860690485663,11.20547357320072
DEL_repeats_4_2,23.428231236634772,-22.901572505349172,-1.402007602770162,-34.94834844916782,19.957970084994727,-30.893082166923847,44.54382155228437,9.276942115289913,-18.914686704948785,-12.575125786804392
DEL_repeats_4_3,-0.5823616184787448,1.2797016536187265,-13.983059600416956,0.2253114429169777,-29.001104491947665,-2.594362733493949,-22.19839355968152,0.5625932482195346,0.21318739833367795,-0.5572342673244901
DEL_repeats_4_4,-3.69181666403461e-13,-4.663631911258235e-13,-15.396282672302963,-4.776319088070259e-13,-34.411623201209025,-0.9666292160773193,-25.576894129172118,-2.738878767961294e-13,-5.460129874197641e-13,-0.6366718337272383
DEL_repeats_4_5+,-0.3158056286700983,-15.502208630917178,3.75352613514713,-11.916773531445084,-23.799890081113077,-5.877460282275621,2.1421362497319336,-6.976054311820381,-11.807203796651386,7.586997282380285
DEL_repeats_5+_0,-1.2171486196032846,-4.003720288121431,-61.4211126131014,-3.245634592604417,-141.11206051205218,1.849125072406736,-97.94917325745126,-1.4077921449948105,-2.465724832577706,1.62856800089223
DEL_repeats_5+_1,258.4473629913566,-221.32716697753176,5.063551374326764,-51.55008846944156,-156.9428208072967,-33.34547900965501,256.1149438587952,-31.23215349608853,-170.07532278672915,53.68399834193745
DEL_repeats_5+_2,19.14200936003251,-19.24924865698957,-3.23304651642823,-21.525383992230907,-3.920349441856459,-18.63768901383463,-1.087973784675416,9.699396337813528,-17.54722563881677,-3.020441838546283
DEL_repeats_5+_3,-0.9699510579758979,-2.097585575289866,1.038550871333844,-7.176390231250078,-7.602561478107084,5.072894889044049,6.848922409710648,-5.722196428478503,-13.79297609922255,7.558975588387475
DEL_repeats_5+_4,7.165547206268716,-6.46239399189116,0.21830893464171863,-6.078895281572555,1.8779805111703816,0.6449870382270566,4.347609262702676,3.8698976385735966,-1.2782078816569342,2.543130006439976
DEL_repeats_5+_5+,-1.1972040111473983,0.1902866138085888,-1.666659446529318,-1.795432296513876,-5.5167484866513155,-0.09717079017496077,7.034566811523198,2.3818621790331926,1.5848793337070148,0.6908110935756027
INS_repeats_2_0,66.00775633681093,-20.989500773465345,-17.32146294003283,-21.251567839589192,-63.8057740640439,-1.8072202174626604,-31.802354383489742,-5.367066397018014,-12.310523678837313,4.535024565930826
INS_repeats_2_1,2.1127173060086513,-21.09463324471298,-44.86796386354962,12.916441859838994,-148.74555733952315,-11.315307717649173,-80.54797841034915,-11.431250591594075,-14.683719002363343,9.189181406094612
INS_repeats_2_2,3.5355527993349796,-49.595407918950755,-4.814651026846569,-77.11864199563995,-3.950273227368541,-12.997498659910434,-3.2979607003252056,-21.71524493949839,-17.977544490398287,51.22842295341639
INS_repeats_2_3,-15.744463568596771,-17.43436549546707,-5.439063247015952,-19.446640458567487,37.387745092795896,11.886931274538973,14.809494179535513,1.4278177346819092,-25.683338559931045,11.865817137049813
INS_repeats_2_4,152.15850464339374,-55.93012900202268,41.40407833151829,-122.63340032637336,136.66865645264545,152.03966329426413,90.80041400809401,17.13875425274489,-177.31520099101186,37.39123975412315
INS_repeats_2_5+,1132.0082618595532,-617.4039954344519,625.7799553000875,-793.3055401728666,305.4654328131687,-405.0799674008813,422.2503033251644,137.37034685030267,-1083.3499439674215,148.38002036359387
INS_repeats_3_0,-2.634933470520563,-1.7336525681391253,-13.820331180186724,-1.1643907130666902,-25.36040614459258,-1.8920615397923966,-20.745251323710775,1.5190561781966472,0.7335046420120532,3.6377420593151815
INS_repeats_3_1,-5.3528831613548675,-81.34524972907758,-22.08352695968376,27.881453393183307,-42.73978782613648,-19.188115003117318,-65.11331193433023,-35.614643652644645,-89.9197258858213,39.142666958923726
INS_repeats_3_2,33.46895212847781,-6.81315125285575,2.6291137581260386,-18.14122901500451,10.563309791912133,6.806570245533177,6.436007314819477,3.877898212734607,-20.314861403560364,20.850901671457933
INS_repeats_3_3,-1.8994714650300004,-4.07667294880433,2.502169906747309,-2.1784752433510075,-0.3760714688525294,1.8984131705011622,2.5554658209009093,-1.0064694231371294,-3.2956383745135467,-2.6081428853984265
INS_repeats_3_4,14.223344612457268,-8.064447456711786,-0.1637691787716653,-12.634324588668612,-3.131361978492551,5.8494359855470055,0.27678112519569176,-2.5050836501472684,-7.530470052858757,3.2440470419441594
INS_repeats_3_5+,108.7214396772521,49.95285693895596,116.10718992744442,5.8993983571214414,-58.42480869233461,69.11066503387372,67.38365195835837,-55.86053012405263,-67.5219981759738,66.07529031172386
INS_repeats_4_0,0.6542400013146616,-0.6645133726553889,-8.378198053071362,-1.7902018925714211,-18.081784476032063,1.870368896819336,-12.6942161106995,0.9892113576462898,0.18178105804771927,0.6061710959841196
INS_repeats_4_1,-51.29123003151233,-101.13080250386358,34.92212198793375,50.97520266079533,-100.47396099098421,45.33166085409587,1.8888223036200316,-10.57169649112592,-52.92893422580346,15.944019748868612
INS_repeats_4_2,1.8191046193867821,-2.9195790188179824,-1.4612067425416484,0.4061774107223206,-3.0507149743711324,0.8666587290824053,0.158191097072784,-0.5604698427890267,-2.023662900903779,-1.7014955300129007
INS_repeats_4_3,6.740865511726168,-10.863157071740982,0.05007691480735321,3.003269760229781,3.6999624027970377,-1.2120466895206636,10.880608200836319,-2.796932819358341,-14.161639239068087,-5.766693595352209
INS_repeats_4_4,-3.0728184311107256,-20.95192806927907,2.295019778879002,-8.052063163662226,-7.743439141238458,12.149816987891278,4.819210594747354,-7.503509424090378,-6.435496678508969,-3.2870972212535623
INS_repeats_4_5+,81.32360603189713,-168.0222879811618,86.50454983323499,-101.90233569631022,96.98471746568717,166.16361021112598,51.99977883626974,-13.937545162562714,-57.25391556713237,-15.33342599183942
INS_repeats_5+_0,-3.69181666403461e-13,-4.663631911258235e-13,-15.497665813602362,-4.776319088070259e-13,-35.86757583206692,-3.2609318022160805e-13,-26.65905018088762,-2.738878767961294e-13,-5.460129874197641e-13,-1.715496232862933e-13
INS_repeats_5+_1,31.12690451216958,-20.141891888268056,-14.030383002719603,21.814409148928398,-18.628348943964227,11.502994213236185,3.881985285965513,6.041128975038632,-51.35325962748952,0.39720482962928827
INS_repeats_5+_2,-0.5054985423044158,4.677620559874524,5.451219169198154,-2.956167156083003,-2.8037966971956747,4.928370673094553,0.6190584426388384,-3.1221824365145525,-0.7227977420206138,-1.2359943198033951
INS_repeats_5+_3,3.3941354773117887,1.9476855769357542,-0.3088385348481877,-4.473684177201552,-2.924650743788943,1.0761615468118482,10.08994582285147,-1.473439907938623,-8.062747065638025,1.0404253657336193
INS_repeats_5+_4,-2.3468641873926552,-1.1468625405215453,1.0536070402066942,-2.716515590226882,-0.16966000682776183,-2.9813273511601697,2.693910851489867,-1.9958066329708322,-3.6088071014258745,-5.33006927898182
