Sample,SBS1,SBS2,SBS3,SBS5,SBS13,SBS17a,SBS17b,SBS18,SBS28,SBS40,SBS41
Stomach-AdenoCA::S.1,248.09606005265903,270.7059565073154,0.0,2029.2916508199019,242.18382627830684,0.0,1222.6754684968632,1127.026379635043,0.0,5974.317923039219,0.0
Stomach-AdenoCA::S.2,0.0,0.0,0.0,12034.577206379297,0.0,2434.0840356238677,15259.920576268281,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.3,1373.4834803531685,0.0,0.0,0.0,0.0,0.0,10021.07534253709,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.4,1695.2883976430523,0.0,21930.6364730668,0.0,0.0,776.7403526425635,5822.582734783085,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.5,2287.9048658354664,0.0,0.0,3477.7162732423058,1164.6463868977019,0.0,0.0,0.0,0.0,0.0,1655.2522109506046
Stomach-AdenoCA::S.6,570.8674168103323,0.0,0.0,4870.148243718056,465.95798056179314,1537.715276204339,491.73391460591773,1390.0079349942116,0.0,0.0,2218.542830040375
Stomach-AdenoCA::S.7,825.2025412954445,0.0,0.0,3626.9665832297046,0.0,0.0,2116.0127935102214,6651.311446589695,548.946492492111,0.0,0.0
Stomach-AdenoCA::S.8,939.6801679647918,657.1641826094431,0.0,5312.896309605542,0.0,962.385136620728,1544.199578482001,897.7249186126191,289.5487625962796,0.0,0.0
Stomach-AdenoCA::S.9,393.5278924846572,0.0,0.0,7055.576650755333,0.0,0.0,0.0,1027.0434316895291,0.0,9781.02649708973,0.0
Stomach-AdenoCA::S.10,737.8379350667977,0.0,2460.9712958685886,2164.944170049906,0.0,0.0,0.0,0.0,0.0,5929.990966125297,0.0
Stomach-AdenoCA::S.11,1810.5521822342018,532.1515924920355,0.0,4113.000196303058,767.3916592153706,0.0,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.12,779.3094455690415,275.12379931522827,0.0,2113.1411190594745,495.68964547298594,151.27342773686254,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.13,2503.130177859587,0.0,0.0,0.0,0.0,0.0,0.0,4370.070515576313,0.0,0.0,0.0
Stomach-AdenoCA::S.14,1234.5075788709082,827.8905393100237,0.0,6531.0038563015105,905.7983524958569,1647.5808029094917,0.0,2864.390185055183,0.0,14869.288748276193,0.0
Stomach-AdenoCA::S.15,853.7388412662068,1122.69935293984,0.0,0.0,0.0,4242.756945698128,0.0,0.0,0.0,0.0,2340.7942798436247
Stomach-AdenoCA::S.16,0.0,0.0,0.0,6669.58181270566,0.0,13349.39046378612,0.0,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.17,395.96145179996637,0.0,0.0,0.0,132.16381251878553,206.74052803166603,260.5423185769356,1365.4795886398692,0.0,3866.8427035047275,421.93330292865926
Stomach-AdenoCA::S.18,0.0,0.0,0.0,3019.8949635442928,0.0,1380.3866275900564,2331.8951599896495,8402.68343758919,0.0,0.0,0.0
Stomach-AdenoCA::S.19,938.1743636079469,0.0,0.0,6181.628882651409,0.0,0.0,0.0,0.0,0.0,0.0,870.5042589881044
Stomach-AdenoCA::S.20,1199.6997583899745,0.0,0.0,15239.358820583302,0.0,0.0,7781.9822007547,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.21,1581.1751153738799,0.0,0.0,5746.900227578681,0.0,0.0,8960.579968976654,2223.2014275563447,0.0,0.0,0.0
Stomach-AdenoCA::S.22,0.0,1344.9469906261265,74591.28683063343,0.0,0.0,0.0,2050.277879548141,0.0,0.0,0.0,0.0
Stomach-AdenoCA::S.23,1262.556584146571,0.0,0.0,3295.416537892593,0.0,1256.7691912180624,1888.1565113436395,1613.4909583191948,0.0,5957.885982605608,5427.771482208042
Stomach-AdenoCA::S.24,704.3469831816986,0.0,0.0,3839.9802218477166,1285.5456463478324,3497.406275760119,507.8666543387241,2049.4734635600526,0.0,0.0,1142.9026493732486
Stomach-AdenoCA::S.25,663.8464276285421,0.0,0.0,0.0,0.0,5128.980031500542,4044.1167238617027,0.0,0.0,2966.8503747176246,0.0
