Sample.ID,Tool,MD,SMD,sens,prec,F1,Combined,spec,scaled_L2,KL,cancer.type
Breast-AdenoCA::S.1,deconstruct_0.00,29.1769800788594,0.194513200525729,0.75,1,0.857142857142857,2.55548679947427,1,0.104979189649056,0.359623332381291,Breast-AdenoCA
Breast-AdenoCA::S.2,deconstruct_0.00,29.296127804048,0.344660327106447,0.75,1,0.857142857142857,2.40533967289355,1,0.177260610158937,0.479234708797873,Breast-AdenoCA
Breast-AdenoCA::S.3,deconstruct_0.00,87.304358566541,0.41772420366766,0.8,1,0.888888888888889,2.38227579633234,1,0.240256548251828,1.07161325091509,Breast-AdenoCA
Breast-AdenoCA::S.4,deconstruct_0.00,9.2604586807484,0.0752882819573041,1,1,1,2.9247117180427,1,0.0447965239087871,0.00717546592133039,Breast-AdenoCA
Breast-AdenoCA::S.5,deconstruct_0.00,36.377340729326,0.250878211926386,1,1,1,2.74912178807361,1,0.134735778558189,0.0473227998645577,Breast-AdenoCA
Breast-AdenoCA::S.6,deconstruct_0.00,37.8406260355153,0.288859740729124,0.8,1,0.888888888888889,2.51114025927088,1,0.141578545185848,0.371538964079717,Breast-AdenoCA
Breast-AdenoCA::S.7,deconstruct_0.00,18.4163576085944,0.186023814228226,1,0.75,0.857142857142857,2.56397618577177,0.5,0.114855831036418,0.0430467298716296,Breast-AdenoCA
Breast-AdenoCA::S.8,deconstruct_0.00,44.298270256104,0.46144031516775,1,1,1,2.53855968483225,1,0.287618203748505,0.215334507603964,Breast-AdenoCA
Breast-AdenoCA::S.9,deconstruct_0.00,67.0649348506833,0.515884114236025,0.6,1,0.75,2.08411588576397,1,0.287192527631806,1.50108748805864,Breast-AdenoCA
Breast-AdenoCA::S.10,deconstruct_0.00,31.5015741012643,0.184219731586341,1,1,1,2.81578026841366,1,0.099242328503543,0.0500252296728619,Breast-AdenoCA
Breast-AdenoCA::S.11,deconstruct_0.00,39.5684895089808,0.271017051431375,1,1,1,2.72898294856862,1,0.154319204853126,0.105469122652553,Breast-AdenoCA
Breast-AdenoCA::S.12,deconstruct_0.00,36.7131152384288,0.28459779254596,0.8,1,0.888888888888889,2.51540220745404,1,0.132847358374081,0.369117315402732,Breast-AdenoCA
Breast-AdenoCA::S.13,deconstruct_0.00,28.1682558126295,0.176051598828934,1,1,1,2.82394840117107,1,0.0981829288824182,0.0235524545440545,Breast-AdenoCA
Breast-AdenoCA::S.14,deconstruct_0.00,45.3703264752878,0.378086053960732,0.8,1,0.888888888888889,2.42191394603927,1,0.208953463837999,0.912062320021965,Breast-AdenoCA
Breast-AdenoCA::S.15,deconstruct_0.00,54.61678916496,0.262580717139231,0.8,1,0.888888888888889,2.53741928286077,1,0.160014921967374,0.739681966488234,Breast-AdenoCA
Breast-AdenoCA::S.16,deconstruct_0.00,31.7619431627043,0.33433624381794,1,1,1,2.66566375618206,1,0.200266330048535,0.149879659951331,Breast-AdenoCA
Breast-AdenoCA::S.17,deconstruct_0.00,13.1463239464535,0.0973801773811371,1,1,1,2.90261982261886,1,0.0565895854241375,0.0114017389530451,Breast-AdenoCA
Breast-AdenoCA::S.18,deconstruct_0.00,41.79368240422,0.200931165404904,1,1,1,2.7990688345951,1,0.118691197897569,0.108616271775211,Breast-AdenoCA
Breast-AdenoCA::S.19,deconstruct_0.00,34,0.576271186440678,0.666666666666667,0.666666666666667,0.666666666666667,1.75706214689265,0.5,0.342770641938358,2.18751147484266,Breast-AdenoCA
Breast-AdenoCA::S.20,deconstruct_0.00,10.6583324882493,0.101507928459517,1,1,1,2.89849207154048,1,0.0628834503103507,0.00788451274631201,Breast-AdenoCA
Breast-AdenoCA::S.21,deconstruct_0.00,68.9574785436434,0.439219608558238,0.8,1,0.888888888888889,2.36078039144176,1,0.250631853238751,1.36121230820981,Breast-AdenoCA
Breast-AdenoCA::S.22,deconstruct_0.00,47.6082019780902,0.380865615824722,1,1,1,2.61913438417528,1,0.233536446242708,0.172541121593566,Breast-AdenoCA
