base_tool,Tool,tool_rank,m.Combined,med.Combined,sd.Combined,m.F1,med.F1,sd.F1,m.SMD,med.SMD,sd.SMD,m.sens,med.sens,sd.sens,m.prec,med.prec,sd.prec,m.scaled_L2,m.KL,med.KL,mean.multiLLH,med.multiLLH
pasa,pasa,1,2.78043793629042,2.91792050303166,0.289710404416409,0.939380354213688,1,0.10666941653481,0.118155979053495,0.0725877270012996,0.144486460518242,0.920260582010582,1,0.142380104471165,0.978333333333333,1,0.0961966762372552,0.931007713143944,0.173468407979409,0.0123355163904204,-61.9670075190184,-57.5816796994762
fitms,fitms_0.010,1,2.74037579138848,2.88005808176344,0.299338292640862,0.920450019116686,1,0.126535028561947,0.129097753585061,0.0921061627545426,0.143293257000958,0.903708994708995,1,0.163974418858864,0.96576455026455,1,0.112524943386959,0.922561872934604,,,-66.9180645767911,-57.8978147741703
musical,musical,1,2.56937148107418,2.6662570461418,0.335814874468746,0.905912553495887,1,0.137006339746933,0.276470229684197,0.238655605975608,0.196895186360708,0.963337301587302,1,0.10145906771781,0.882504409171076,1,0.189183081824247,0.806601813000482,0.181851393354423,0.0766896408493141,-74.4677545649448,-60.223129827288
mp,mp,1,2.5292210850807,2.62432227638975,0.389749707500338,0.887876167042834,1,0.149002514366249,0.289751137141527,0.245732251518727,0.215166218437032,0.869583333333333,1,0.192282041731541,0.949388888888889,1,0.139046083258278,0.799507267694363,0.322398317256153,0.110509179456192,-81.1934737024684,-60.0039202067028
msa,msa_thresholdx100,1,2.49075505843572,2.55521680216803,0.406439982787904,0.86722804972805,0.888888888888889,0.160311127744169,0.292709227278566,0.246794344895611,0.211039643673613,0.90521164021164,1,0.164751274831657,0.878252645502645,1,0.2032221283263,0.800355477863884,,,-88.4328303263466,-63.671878583895
yapsa,yapsa_0.06,1,2.47825765152056,2.5570321942839,0.415721235516083,0.861415208248542,0.888888888888889,0.159632838013145,0.297748962236051,0.250974401325661,0.217428083275783,0.867988095238095,1,0.190625670124243,0.908018518518519,1,0.184448758089273,0.799190952877857,0.326665713119544,0.177594270826758,-90.2097304202805,-62.2549773578829
deconstruct,deconstruct_0.03,1,2.41628180012162,2.50516898268226,0.577531937517998,0.843831908831909,0.857142857142857,0.172483088133526,0.314884866545048,0.250738820422531,0.326396459212271,0.849603174603175,1,0.20584007844859,0.881563492063492,1,0.190740350454837,0.812569082043802,0.497714665494671,0.225911003819406,-103.194085823383,-68.4970739571072
mutsig,mutsig,1,2.38540655209853,2.41133848457562,0.380674691398682,0.795109576697812,0.8,0.181491023019585,0.303338597813284,0.257870965799574,0.215531472363808,0.976973544973545,1,0.084734672318953,0.711771604938272,0.714285714285714,0.243926655478218,0.801439038489992,0.232304217253009,0.137767296796103,-108.0920339808,-69.8064640566226
sigpro,sigpro,1,2.38240380489334,2.4140508862207,0.551912346322464,0.799648067981401,0.8,0.197390268032656,0.324145136905602,0.25,0.318953252460475,0.711271164021164,0.666666666666667,0.264668310884735,0.995277777777778,1,0.0456782271172975,0.809213405718937,0.701434979595522,0.477829890997345,-72.9112587689364,-64.9121815904743
sigfit,sigfit,1,2.34452707433984,2.37575444079705,0.263320922010419,0.660765812437381,0.666666666666667,0.179240342783681,0.175845500616072,0.146803611468756,0.156324873973806,1,1,0,0.520372574955908,0.5,0.20495341330628,0.908210764600169,0.152516985589762,0.112200519735286,-88.4358262416249,-75.4591790070428
sigspack,sigspack,1,2.30981306181138,2.35305813219894,0.444540524253514,0.749564575402811,0.75,0.196977378042909,0.312579795331473,0.262741874849163,0.278692506699239,0.965994708994709,1,0.112943186641774,0.656398148148148,0.666666666666667,0.250648825660123,0.817591829709042,0.345412998376782,0.204553221646331,-208.83941915206,-76.4804523660166
sigest,sigest,1,2.30484921701421,2.34925279811376,0.444172183142681,0.747318811907047,0.75,0.193197266750538,0.312579795331473,0.262741874849163,0.278692506699239,0.968296296296296,1,0.10570759705143,0.649132716049383,0.6,0.245922736223981,0.817591829709042,0.352935819655526,0.20514617829511,-208.83941915206,-76.4804523660166
