"","Tool","m.Combined","med.Combined","sd.Combined","m.F1","med.F1","sd.F1","m.SMD","med.SMD","sd.SMD","m.sens","med.sens","sd.sens","m.prec","med.prec","sd.prec","m.scaled_L2","m.KL","med.KL","mean.multiLLH","med.multiLLH"
"1","pasa",2.81497211190622,2.90461515885245,0.192823679979285,0.948068505568506,1,0.0869389097802809,0.0954485230144138,0.0747960372960373,0.0783261989114877,0.919846560846561,1,0.132145145576016,0.990574074074074,1,0.0521302839096551,0.942472114725922,0.0926670982912058,0.0136914904036305,-162.262081314191,-102.53739153596
"2","fitms_0.060",2.73465582824694,2.8373291933111,0.260814239858157,0.906138102638103,1,0.129963900685758,0.109976446885335,0.0854469082586775,0.0902058032907847,0.866002645502645,1,0.182285406277224,0.97862962962963,1,0.077327749732013,0.93533505159996,NA,NA,-115.395651318609,-104.457496307122
"3","fitms_0.100",2.73399970215029,2.83037794039581,0.261305310524079,0.905468056634723,1,0.129339380776196,0.109547916897334,0.0841080903414023,0.0937266462552033,0.862769841269841,1,0.182011069908569,0.980777777777778,1,0.0733379679662645,0.935482887820069,NA,NA,-115.615800122825,-104.521298219939
"4","fitms_0.030",2.73322506876794,2.83645729728956,0.260762175587681,0.905602829269496,1,0.130048903025267,0.110536835993969,0.0876215739162708,0.0900467030017872,0.865724867724868,1,0.182684626686525,0.978037037037037,1,0.0778470567385094,0.934939136605157,NA,NA,-115.416619653469,-104.457496307122
"5","fitms_0.050",2.73322506876681,2.83645729728963,0.26076217557802,0.905602829269496,1,0.130048903025267,0.110536835995096,0.0876215739162715,0.090046702977148,0.865724867724868,1,0.182684626686525,0.978037037037037,1,0.0778470567385094,0.934939136604984,NA,NA,-115.416619653469,-104.457496307122
"6","fitms_0.200",2.73015256152384,2.83037794039579,0.268212457238148,0.903270137270137,1,0.133184743520985,0.111143734772453,0.0856190481011914,0.100774261245052,0.857462962962963,1,0.185330215970939,0.983833333333333,1,0.0698980267894202,0.934348134694063,NA,NA,-117.010191530267,-104.735318975347
"7","fitms_0.001",2.72671889573861,2.83037794039581,0.264259685300106,0.903168485835153,1,0.131358913738239,0.112820786801072,0.0886767222834109,0.0912962717571587,0.864539682539682,1,0.183720367591965,0.975,1,0.0812152019927916,0.933624895428139,NA,NA,-115.548547010475,-104.470048173299
"8","fitms_0.005",2.7267188956851,2.83037794039581,0.26425968525699,0.903168485835153,1,0.131358913738239,0.112820786854583,0.0886767222834945,0.0912962717311352,0.864539682539682,1,0.183720367591965,0.975,1,0.0812152019927916,0.933624895400985,NA,NA,-115.548547010475,-104.470048173299
"9","fitms_0.010",2.72639666684994,2.83037794039581,0.264455842907677,0.903069720403054,1,0.131403071374642,0.112920793467517,0.0887180951300507,0.0912807564682853,0.864539682539682,1,0.183720367591965,0.974777777777778,1,0.0814200835706497,0.93358446007118,NA,NA,-115.561857232953,-104.497953721632
"10","musical",2.68462286012994,2.71962290574495,0.262556863462577,0.91611848645182,0.923076923076923,0.10196936885156,0.168057034049953,0.138392044204159,0.125571984716719,0.965277777777778,1,0.0964640736790855,0.887402116402116,1,0.144336436404349,0.896992504579089,0.119209835589887,0.0492880104593964,-131.659590710642,-108.380164932095
