Sample.ID,Tool,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10,ID11,ID13,ID14
Breast-AdenoCA::S.1,Ground-Truth,44,93,0,0,0,0,0,86,45,0,0,0,0
Breast-AdenoCA::S.2,Ground-Truth,171,0,0,0,0,80,0,138,73,0,0,0,0
Breast-AdenoCA::S.3,Ground-Truth,41,14,0,0,0,0,0,144,58,0,0,0,0
Breast-AdenoCA::S.4,Ground-Truth,105,0,0,0,0,294,0,207,71,0,0,0,0
Breast-AdenoCA::S.5,Ground-Truth,75,23,0,0,0,244,0,0,39,0,0,0,0
Breast-AdenoCA::S.6,Ground-Truth,36,0,0,0,0,0,0,50,28,0,0,0,0
Breast-AdenoCA::S.7,Ground-Truth,68,47,0,369,0,0,0,198,362,0,0,0,0
Breast-AdenoCA::S.8,Ground-Truth,18,0,0,0,0,744,0,0,13,0,0,0,0
Breast-AdenoCA::S.9,Ground-Truth,365,0,0,0,0,162,0,3,90,0,0,0,0
Breast-AdenoCA::S.10,Ground-Truth,118,0,0,0,0,0,0,177,112,0,0,0,0
Breast-AdenoCA::S.11,Ground-Truth,10,5,0,0,0,0,0,32,26,0,0,0,0
Breast-AdenoCA::S.12,Ground-Truth,71,44,0,0,0,68,0,344,14,0,0,0,0
Breast-AdenoCA::S.13,Ground-Truth,134,1,0,0,0,353,0,56,239,0,0,0,0
Breast-AdenoCA::S.14,Ground-Truth,426,115,0,0,0,0,0,765,10,0,0,0,0
Breast-AdenoCA::S.15,Ground-Truth,16,21,0,0,0,0,0,209,123,0,0,0,0
Breast-AdenoCA::S.16,Ground-Truth,44,4,0,0,0,429,0,140,134,0,0,0,0
Breast-AdenoCA::S.17,Ground-Truth,177,20,0,0,0,195,0,120,63,0,0,0,0
Breast-AdenoCA::S.18,Ground-Truth,8,82,0,207,0,0,0,36,72,0,0,0,0
Breast-AdenoCA::S.19,Ground-Truth,29,143,0,244,0,0,0,177,24,0,0,0,0
Breast-AdenoCA::S.20,Ground-Truth,55,0,0,0,0,0,0,138,77,0,0,0,0
Breast-AdenoCA::S.21,Ground-Truth,42,35,0,0,0,0,0,79,0,0,0,0,0
Breast-AdenoCA::S.22,Ground-Truth,0,57,0,0,142,0,0,142,20,0,0,0,0
Breast-AdenoCA::S.23,Ground-Truth,316,35,0,0,0,487,0,32,23,0,0,0,0
Breast-AdenoCA::S.24,Ground-Truth,188,7,0,0,0,0,0,211,108,0,0,0,0
Breast-AdenoCA::S.25,Ground-Truth,52,112,0,0,0,707,0,313,40,0,0,0,0
Breast-AdenoCA::S.26,Ground-Truth,24,7,0,0,0,16,0,28,140,0,0,0,0
Breast-AdenoCA::S.27,Ground-Truth,49,58,0,0,0,0,0,13,225,0,0,0,0
Breast-AdenoCA::S.28,Ground-Truth,109,0,0,0,0,0,0,277,35,0,0,0,0
Breast-AdenoCA::S.29,Ground-Truth,139,27,0,0,0,0,0,99,48,0,0,0,0
Breast-AdenoCA::S.30,Ground-Truth,91,19,0,0,0,46,0,367,49,0,0,0,0
Breast-AdenoCA::S.31,Ground-Truth,3,18,0,0,0,0,0,149,135,0,0,0,0
Breast-AdenoCA::S.32,Ground-Truth,0,86,0,0,0,882,0,483,48,0,0,0,0
Breast-AdenoCA::S.33,Ground-Truth,0,16,0,0,0,0,0,34,29,0,0,0,0
Breast-AdenoCA::S.34,Ground-Truth,56,111,0,0,0,43,0,56,0,0,0,0,0
Breast-AdenoCA::S.35,Ground-Truth,30,35,0,0,0,447,0,238,17,0,0,0,0
Breast-AdenoCA::S.36,Ground-Truth,110,53,0,0,0,87,0,0,202,0,0,0,0
Breast-AdenoCA::S.37,Ground-Truth,20,14,0,0,0,0,0,90,112,0,0,0,0
Breast-AdenoCA::S.38,Ground-Truth,143,88,0,79,0,115,0,85,139,0,0,0,0
Breast-AdenoCA::S.39,Ground-Truth,36,0,0,172,149,0,0,0,26,0,0,0,0
Breast-AdenoCA::S.40,Ground-Truth,243,39,0,49,20,44,0,129,125,0,0,0,0
Breast-AdenoCA::S.41,Ground-Truth,0,0,0,0,0,119,0,115,22,0,0,0,0
Breast-AdenoCA::S.42,Ground-Truth,38,28,0,0,0,0,0,40,32,0,0,0,0
