"tool_name","total_cpu_sec","sum_of_cpu_by_cancer_type"
"deconstruct_0.00",65.8119999999998,57.2869999999995
"deconstruct_0.03",65.2869999999999,56.7800000000001
"deconstruct_0.06",66.0519999999999,57.5639999999992
"deconstruct_0.10",65.257,56.7429999999998
"fitms_0.010",28.509,20.0359999999999
"fitms_0.030",44.3549999999999,35.8850000000003
"fitms_0.050",47.947,37.6279999999999
"fitms_0.060",47.5869999999999,39.0979999999998
"fitms_0.100",55.35,47.5279999999999
"fitms_0.200",56.722,47.196
"mp",23.775,15.0810000000004
"musical",726.309999999999,717.933
"mutsig",16.0449999999998,7.65199999999976
"pasa",43390.5,43382.43
"sigest",12.343,0.388999999999973
"sigpro",427.367999999998,418.984999999998
"yapsa_0.00",8.59499999999997,0.247000000000753
"yapsa_0.01",8.57099999999993,0.228000000000293
"yapsa_0.03",8.59299999999992,0.225999999999885
"yapsa_0.06",8.59899999999995,0.229999999999109
"yapsa_0.10",8.60099999999981,0.228999999999836
"msa_default",631440,631440
"msa_thresholdx10",653400,653400
"msa_thresholdx100",666000,666000
"msa_thresholdx1000",686880,686880
