"tool_name","total_cpu_sec","sum_of_cpu_by_cancer_type"
"deconstruct_0.00",191.253,182.299000000001
"deconstruct_0.03",192.088,182.865000000001
"deconstruct_0.06",192.353999999997,183.201
"deconstruct_0.10",193.411,184.641
"fitms_0.005",58.471,48.6320000000001
"fitms_0.010",99.7800000000002,89.3630000000002
"fitms_0.030",124.158,113.997
"fitms_0.060",132.065,121.067
"mp",31.5160000000001,22.7459999999999
"musical",726.108,718.904
"mutsig",49.461,39.002
"pasa",72031.343,72022.832
"QP_null",5.383,0.125000000000014
"sigest",5.61,0.106999999999985
"sigpro",541.920999999991,524.311999999985
"yapsa_0.00",8.52900000000016,0.250999999999792
"yapsa_0.01",9.44499999999984,0.447999999999915
"yapsa_0.03",9.54999999999993,0.461999999999797
"yapsa_0.06",10.3230000000001,0.476999999999563
"yapsa_0.10",9.92099999999991,0.491999999999791
"msa",373.4,NA
"msa_opt",412.1,NA
