cancer.type,Tool,rank_in_cancer_type,m.Combined
Breast-AdenoCA,sigfit,1,2.67756007138744
Breast-AdenoCA,fitms_0.010,2,2.67542696768022
Breast-AdenoCA,musical,3,2.66342744943843
Breast-AdenoCA,pasa,4,2.65817253438384
Breast-AdenoCA,mutsig,5,2.63396538231525
Breast-AdenoCA,sigest,6,2.62824630938674
Breast-AdenoCA,sigspack,7,2.62224630938674
Breast-AdenoCA,msa_thresholdx100,8,2.6011763281207
Breast-AdenoCA,mp,9,2.54071119881302
Breast-AdenoCA,yapsa_0.06,10,2.51054344768389
Breast-AdenoCA,deconstruct_0.03,11,2.4176373400266
Breast-AdenoCA,sigpro,12,2.00860654338232
ColoRect-AdenoCA,pasa,1,2.60696156863908
ColoRect-AdenoCA,fitms_0.010,2,2.58362052408592
ColoRect-AdenoCA,musical,3,2.38565049654495
ColoRect-AdenoCA,mp,4,2.32119676632308
ColoRect-AdenoCA,yapsa_0.06,5,2.26564232508643
ColoRect-AdenoCA,msa_thresholdx100,6,2.22690078769751
ColoRect-AdenoCA,mutsig,7,2.2160760353959
ColoRect-AdenoCA,sigfit,8,2.20109930837422
ColoRect-AdenoCA,deconstruct_0.03,9,2.1757282967362
ColoRect-AdenoCA,sigpro,10,2.13907204257138
ColoRect-AdenoCA,sigspack,11,2.11987562755017
ColoRect-AdenoCA,sigest,12,2.10691134183588
Eso-AdenoCA,fitms_0.010,1,2.51532509387147
Eso-AdenoCA,pasa,2,2.47261199067528
Eso-AdenoCA,musical,3,2.46909119750217
Eso-AdenoCA,mutsig,4,2.39544419676971
Eso-AdenoCA,sigfit,5,2.38013355890963
Eso-AdenoCA,msa_thresholdx100,6,2.35714438504806
Eso-AdenoCA,sigest,7,2.33837159113221
Eso-AdenoCA,sigspack,8,2.32855809906872
Eso-AdenoCA,mp,9,2.32234689001666
Eso-AdenoCA,yapsa_0.06,10,2.28086627146583
Eso-AdenoCA,deconstruct_0.03,11,2.16304610757127
Eso-AdenoCA,sigpro,12,1.83398054102851
Kidney-RCC,pasa,1,2.87082197761104
Kidney-RCC,fitms_0.010,2,2.81080235323632
Kidney-RCC,musical,3,2.6734436155155
Kidney-RCC,mp,4,2.6151390096034
Kidney-RCC,yapsa_0.06,5,2.58591133867112
Kidney-RCC,msa_thresholdx100,6,2.54297225009642
Kidney-RCC,deconstruct_0.03,7,2.5058590984919
Kidney-RCC,sigpro,8,2.4566091480878
Kidney-RCC,mutsig,9,2.37846726912112
Kidney-RCC,sigspack,10,2.34661571284064
Kidney-RCC,sigest,11,2.34111571284064
Kidney-RCC,sigfit,12,2.25906421531601
Liver-HCC,pasa,1,2.95351714466303
Liver-HCC,fitms_0.010,2,2.89638338767779
Liver-HCC,mp,3,2.64507180648514
Liver-HCC,sigpro,4,2.64188975291445
Liver-HCC,musical,5,2.63532959041308
Liver-HCC,yapsa_0.06,6,2.5711315935125
Liver-HCC,msa_thresholdx100,7,2.54419770404375
Liver-HCC,mutsig,8,2.40086740664382
Liver-HCC,deconstruct_0.03,9,2.38704752549138
Liver-HCC,sigfit,10,2.32449681159274
Liver-HCC,sigest,11,2.31760012314781
Liver-HCC,sigspack,12,2.29926678981447
Lung-AdenoCA,pasa,1,2.84697797132982
Lung-AdenoCA,fitms_0.010,2,2.73628924978136
Lung-AdenoCA,sigpro,3,2.69028318830904
Lung-AdenoCA,deconstruct_0.03,4,2.62883554969851
Lung-AdenoCA,msa_thresholdx100,5,2.52878377976885
Lung-AdenoCA,mp,6,2.49118612008023
Lung-AdenoCA,musical,7,2.47882483613925
Lung-AdenoCA,yapsa_0.06,8,2.44538000297587
Lung-AdenoCA,mutsig,9,2.21049329846195
Lung-AdenoCA,sigfit,10,2.166399972338
Lung-AdenoCA,sigest,11,2.0736717254511
Lung-AdenoCA,sigspack,12,2.06700505878443
Ovary-AdenoCA,pasa,1,2.86239342227867
Ovary-AdenoCA,fitms_0.010,2,2.75154192050951
Ovary-AdenoCA,musical,3,2.56100568029301
Ovary-AdenoCA,mp,4,2.53801673098933
Ovary-AdenoCA,msa_thresholdx100,5,2.53718116535675
Ovary-AdenoCA,yapsa_0.06,6,2.49900270396908
Ovary-AdenoCA,sigpro,7,2.42520046457531
Ovary-AdenoCA,mutsig,8,2.38129339058459
Ovary-AdenoCA,sigspack,9,2.36156131711487
Ovary-AdenoCA,sigfit,10,2.33569125762193
Ovary-AdenoCA,sigest,11,2.31606131711487
Ovary-AdenoCA,deconstruct_0.03,12,2.268234530887
Skin-Melanoma,deconstruct_0.03,1,3
Skin-Melanoma,sigpro,2,3
Skin-Melanoma,fitms_0.010,3,2.97342422040009
Skin-Melanoma,pasa,4,2.95182024202571
Skin-Melanoma,mp,5,2.81143830413461
Skin-Melanoma,yapsa_0.06,6,2.73958104201444
Skin-Melanoma,musical,7,2.67790969788282
Skin-Melanoma,msa_thresholdx100,8,2.6219548799575
Skin-Melanoma,mutsig,9,2.5087142770168
Skin-Melanoma,sigfit,10,2.47449640662535
Skin-Melanoma,sigspack,11,2.39687560313171
Skin-Melanoma,sigest,12,2.39187560313171
Stomach-AdenoCA,pasa,1,2.8006645750073
Stomach-AdenoCA,fitms_0.010,2,2.72056840525367
Stomach-AdenoCA,musical,3,2.57966076593842
Stomach-AdenoCA,mp,4,2.47788293928077
Stomach-AdenoCA,msa_thresholdx100,5,2.45648424583193
Stomach-AdenoCA,yapsa_0.06,6,2.40626013830589
Stomach-AdenoCA,mutsig,7,2.34333771257764
Stomach-AdenoCA,sigfit,8,2.2818020668932
Stomach-AdenoCA,sigspack,9,2.24631303861069
Stomach-AdenoCA,sigpro,10,2.24599256317125
Stomach-AdenoCA,sigest,11,2.22978922908688
Stomach-AdenoCA,deconstruct_0.03,12,2.20014775219171
