"","Tool","m.Combined","med.Combined","sd.Combined","m.F1","med.F1","sd.F1","m.SMD","med.SMD","sd.SMD","m.sens","med.sens","sd.sens","m.prec","med.prec","sd.prec","m.scaled_L2","m.KL","med.KL","mean.multiLLH","med.multiLLH"
"1","pasa",2.6425731605358,2.68359763651458,0.298064408561936,0.86686605986606,0.888888888888889,0.133827497964446,0.138473576677608,0.089878337906915,0.134476623826715,0.797390652557319,0.8,0.191056813027466,0.983656084656085,1,0.0653039938533218,0.917997325051505,0.233335279880884,0.0520977070536861,-510.080246416275,-337.230499810685
"2","musical",2.61661612910313,2.68606075447273,0.326176009723102,0.882238626660195,0.888888888888889,0.125437573711987,0.172654594000925,0.128862479008795,0.153710595494101,0.892752645502646,1,0.150670460884946,0.896518077601411,1,0.151803235978733,0.89948422106962,0.176837601833686,0.0653597477746711,-675.092599684667,-335.571529263121
"3","fitms_0.010",2.57032153407416,2.60638203591469,0.315977220384779,0.822214150047483,0.857142857142857,0.155503998138778,0.136427584091629,0.104883153857576,0.117010760925899,0.750667107583774,0.75,0.208219735545255,0.956082010582011,1,0.108655777024643,0.920574421403742,NA,NA,-712.725379008171,-356.283410835676
"4","fitms_0.030",2.57004922227124,2.60532574885007,0.322939429650119,0.82145251045251,0.857142857142857,0.157068823643717,0.135078202772851,0.104275079600205,0.120041092953025,0.750045414462081,0.75,0.209146766212242,0.955082010582011,1,0.110751528046699,0.921893991271417,NA,NA,-725.348260279584,-356.120100520798
"5","fitms_0.050",2.56776235430525,2.60434037887918,0.323201355596232,0.820733957400624,0.857142857142857,0.154876056040631,0.135022478146251,0.103763483445106,0.119981635672409,0.749165784832452,0.75,0.207536896334327,0.953619047619048,1,0.112146400999154,0.921999439872588,0.192011813903374,0.138667784609422,-727.279293657517,-356.120100520798
"6","fitms_0.060",2.56636393562342,2.60252856504927,0.323218433098629,0.820143609476943,0.857142857142857,0.154753212284524,0.135569044976225,0.104127470275836,0.120744432126979,0.748128747795414,0.75,0.207476523029218,0.953804232804233,1,0.112085144576292,0.921730425468569,0.195497527882803,0.14070362671366,-737.564340206537,-356.120100520798
"7","fitms_0.200",2.56404380737176,2.60515580624631,0.332181950061519,0.818127989294656,0.857142857142857,0.15916891349623,0.140912982751693,0.101432205741539,0.142465171141827,0.734652557319224,0.75,0.211177939454759,0.970304232804233,1,0.0916204123000429,0.918980028122309,NA,NA,-1980.51801740648,-361.389352364676
"8","fitms_0.005",2.56300857009351,2.60057868808615,0.312697895639847,0.822047323047323,0.857142857142857,0.153459028785754,0.14201215301055,0.114721827327915,0.113360093152819,0.753253527336861,0.75,0.206890608847469,0.951767195767196,1,0.114197238393347,0.916544659331026,0.182874054177716,0.143054738186139,-710.643605404393,-358.576467446772
"9","fitms_0.001",2.55802024491541,2.59719624358336,0.317529279471906,0.820286059619393,0.857142857142857,0.154693206820622,0.143870848559019,0.115959651360871,0.114688442089361,0.751327601410935,0.75,0.20725215089676,0.950563492063492,1,0.117507184728175,0.91559949541698,0.187592230148306,0.145335864690321,-711.865655624395,-361.385908179829
"10","fitms_0.100",2.55612129020453,2.60098069838681,0.340281834442714,0.816198283198283,0.857142857142857,0.157802430088389,0.140819626903052,0.104347211265944,0.139897774594101,0.741470017636684,0.75,0.209495661623681,0.955470899470899,1,0.110200132004802,0.918717684357887,NA,NA,-761.363529434394,-358.236755263221
"11","msa_thresholdx10",2.5043519820644,2.58391702481509,0.384395754076854,0.835279758367994,0.857142857142857,0.157308670231686,0.209697841568754,0.165785394699754,0.169199127408887,0.821965608465609,0.833333333333333,0.203815801308727,0.892084215167549,1,0.155618782528434,0.874600633734987,0.30966430649646,0.121865203756285,-875.348800635528,-351.247044732263
"12","msa_default",2.48579801716454,2.55132058618126,0.369322760662217,0.836356767959709,0.857142857142857,0.143767750857818,0.222551189184662,0.181930740558355,0.170083020159847,0.884915784832451,1,0.162715924259448,0.823433421516755,0.833333333333333,0.175496718113761,0.872056736683657,0.265639841005957,0.129733457231973,-859.52601126815,-351.233683916864
"13","sigpro",2.4702508320995,2.52226742882891,0.39673528029116,0.829040434873768,0.857142857142857,0.152927126500547,0.245087792239125,0.175053653928766,0.21522439543816,0.76842328042328,0.75,0.206445280175306,0.946915343915344,1,0.121179996224665,0.854915045478898,0.47963146066524,0.241574418413339,-1006.05211727843,-375.163949138332
"14","mp",2.4623045658771,2.54029543189981,0.412234743035993,0.800031931031931,0.857142857142857,0.185962594097357,0.214351959696096,0.16027902078828,0.178580219031468,0.748416666666667,0.8,0.24314191706382,0.928239858906526,1,0.137217203833401,0.876672291177064,0.338479090985644,0.160569484427582,-1435.7831948562,-359.906206906067
"15","msa_thresholdx100",2.44279940901715,2.50309930474929,0.410194064743603,0.786083345666679,0.833333333333333,0.188842440268054,0.221743359942283,0.171873734315528,0.184640069268379,0.717195767195767,0.75,0.246179831435527,0.947347001763668,1,0.128613942450146,0.865599001110483,0.482946294841742,0.23043542300479,-1261.28671906384,-375.499365548181
"16","msa_thresholdx100_unpruned",2.43943000508392,2.4920341309223,0.420344891534302,0.785230988147655,0.8,0.18701573582395,0.217608354704444,0.158756345791861,0.190873343029179,0.760618165784832,0.8,0.241406137884155,0.896420194003527,1,0.183660310391041,0.874826310344701,0.385890811859608,0.16342394229203,-1159.13200351068,-355.203323194975
"17","msa_thresholdx10_unpruned",2.43002870782986,2.47888023438088,0.386422883109837,0.797013728101963,0.833333333333333,0.160302086347548,0.223621484570336,0.181711836772841,0.17683274443987,0.860989417989418,1,0.19216415009459,0.792660774410774,0.8,0.200141184511276,0.875230087840955,0.27869624094449,0.145217860360758,-840.12254576444,-347.094182745324
"18","yapsa_0.03",2.42657489558731,2.48107844965611,0.386106266710882,0.805784215784216,0.833333333333333,0.157564406918611,0.228266374253957,0.187854105648829,0.164884074713552,0.809808201058201,0.8,0.200086267267493,0.845033068783069,0.845238095238095,0.17466912386206,0.870630312446963,0.259905941595335,0.167673462422948,-878.333099497352,-362.848462828283
"19","deconstruct_0.03",2.41768952712943,2.47336272809951,0.38850686266204,0.800107158273825,0.8,0.157919676190843,0.22789601078944,0.188878970954761,0.169676676784614,0.793382275132275,0.8,0.202558016499136,0.852203262786596,1,0.171730118911653,0.872491160443598,0.2766202807866,0.191321536732927,-955.979630875102,-366.485053437765
"20","yapsa_0.01",2.39792150118489,2.43347153481134,0.337277748955794,0.788167264108441,0.8,0.141801970424717,0.238548235868182,0.200134003106639,0.167206968416864,0.902544973544974,1,0.152251605438762,0.733924763508097,0.75,0.185595586554075,0.87021377374631,0.251112999206933,0.167587745676514,-843.801563029141,-349.048344751638
"21","deconstruct_0.06",2.38185252333716,2.43930313222183,0.395440860725737,0.768572532405866,0.8,0.168604212430864,0.230894390243087,0.194466056435144,0.169486148545639,0.692111992945326,0.666666666666667,0.217437191692273,0.920634920634921,1,0.143267723980676,0.868814843039416,0.374163427797253,0.281365201200896,-1227.73313203843,-431.989360162555
"22","msa_default_unpruned",2.37946521501559,2.41580753306159,0.337781554536196,0.770670628935335,0.8,0.148300111312437,0.238371565487856,0.197459047347384,0.169134022566732,0.916172839506173,1,0.145880364464702,0.701663940997274,0.714285714285714,0.196206160533515,0.870956206003491,0.261509240105488,0.162539655355642,-852.468364685098,-349.145356375106
"23","yapsa_0.06",2.37368074500075,2.4342164122389,0.392994608703241,0.763897065897066,0.8,0.173322711059258,0.232834687098019,0.195579701531863,0.162446238528179,0.692487654320988,0.666666666666667,0.221857073542885,0.914027777777778,1,0.153861722277673,0.866452270210991,0.368805585712969,0.290777403797858,-1104.6312733217,-445.050416239624
"24","mutsig",2.30664573593308,2.33333998183805,0.315473570779516,0.718145816401234,0.727272727272727,0.149576567188193,0.243415801295123,0.205614382319047,0.167438860647266,0.948619047619048,1,0.112420573009819,0.601442489609156,0.6,0.181787126056303,0.870106207934681,0.257091898163025,0.173488973453451,-835.62822432787,-349.546361047825
"25","yapsa_0.00",2.30664471993881,2.33333831191349,0.315474120731622,0.718145816401234,0.727272727272727,0.149576567188193,0.243416817289396,0.205614401314702,0.167439009863764,0.948619047619048,1,0.112420573009819,0.601442489609156,0.6,0.181787126056303,0.870105726016075,0.257092474417994,0.173493078297785,-835.628386347595,-349.546361047825
"26","deconstruct_0.10",2.29348027473216,2.32064535880478,0.397857240557025,0.70588608305275,0.666666666666667,0.18376240986553,0.251939037437149,0.214440548509386,0.170460644186537,0.591123015873016,0.6,0.224013337738749,0.954296296296296,1,0.125797659573745,0.856451477170666,0.56436513835158,0.49760909066098,-1716.82525359106,-531.45368130903
"27","deconstruct_0.00",2.29072578353266,2.33561867174469,0.357812035094545,0.729393460569931,0.75,0.154742959058397,0.240184469794264,0.200344289404568,0.169350274055425,0.856141093474427,1,0.17937138223312,0.674769159852493,0.666666666666667,0.195579693750677,0.872049018221465,0.273216927290735,0.185537047514858,-907.67199085217,-363.411072538394
"28","yapsa_0.10",2.28838698839489,2.32016673652854,0.381476322375181,0.700434583934584,0.666666666666667,0.185220974704278,0.253131089206523,0.221456378510502,0.160832158843944,0.586369929453263,0.6,0.226138597165009,0.955148148148148,1,0.123839476027612,0.853796206219334,0.567728618166737,0.509999216842694,-1734.7722899914,-551.004853825114
"29","sigest",2.21682954969687,2.24224072869425,0.273581701574823,0.634090324202037,0.666666666666667,0.150660185954101,0.241803599833337,0.205262508662692,0.167093828095602,0.966918430335097,1,0.0895236237374268,0.491714719195111,0.5,0.164828833818172,0.871522389059012,0.360141360928132,0.188396360366136,-840.884850107667,-350.323306584148
"30","sigspack",2.21682954969687,2.24224072869425,0.273581701574823,0.634090324202037,0.666666666666667,0.150660185954101,0.241803599833337,0.205262508662692,0.167093828095602,0.966918430335097,1,0.0895236237374268,0.491714719195111,0.5,0.164828833818172,0.871522389059012,0.360141360928132,0.188396360366136,-840.884850107667,-350.323306584148
"31","sigfit",2.21111065288576,2.2287317257769,0.196489844901871,0.544870916807808,0.555555555555556,0.143925347954414,0.176728010357316,0.152905993068659,0.11975680357195,1,1,0,0.387838663243075,0.384615384615385,0.136671473935211,0.910618588480973,0.157497484107965,0.13051019462406,-453.318252559153,-323.129354176395
"32","siglasso",2.19473183345446,2.19756075684125,0.371813490937179,0.680638447971781,0.666666666666667,0.212293593048198,0.351584304111673,0.31140369404005,0.195971261876026,0.560160052910053,0.5,0.248574699063538,0.986156084656085,1,0.0671320207563069,0.795814086486942,NA,NA,-2109.15210713949,-649.431709016812
"33","siglasso_wprior",2.15519329148814,2.16936816119286,0.387498008685113,0.709429259012592,0.75,0.197682607033817,0.426918260540079,0.389236512102785,0.25366026360779,0.587685626102293,0.6,0.237595599636151,0.994425925925926,1,0.041990150388451,0.739110080336845,NA,NA,-2516.42001720422,-703.337191900217
"34","msa_thresholdx1000_unpruned",2.06617475337341,2.07821476792548,0.43130236696322,0.603317377067377,0.615384615384615,0.197599523041793,0.387747645215653,0.334698238024163,0.270854051546224,0.514335537918871,0.5,0.268244163998976,0.939586860670194,1,0.16400180526522,0.767964756089657,1.02556576204087,0.995594170164148,-3713.80192602802,-711.964747623315
"35","msa_thresholdx1000",2.05327760893023,2.02998476468716,0.46035762641522,0.589566399649733,0.571428571428571,0.228329742890659,0.398458722639436,0.357801942889396,0.266935082846732,0.479512345679012,0.4,0.275219767243688,0.972223985890653,1,0.0967572658234757,0.757680641726695,NA,NA,-3846.93099856517,-782.907961939796
