"","Tool","m.Combined","med.Combined","sd.Combined","m.F1","med.F1","sd.F1","m.SMD","med.SMD","sd.SMD","m.sens","med.sens","sd.sens","m.prec","med.prec","sd.prec","m.spec","med.spec","m.scaled_L2","med.scaled_L2","m.KL","med.KL","m.sum_sens_spec","med.sum_sens_spec"
"1","pasa",2.81497211190622,2.90461515885245,0.192823679979285,0.948068505568506,1,0.0869389097802809,0.0954485230144138,0.0747960372960373,0.0783261989114877,0.919846560846561,1,0.132145145576016,0.990574074074074,1,0.0521302839096551,0.991203703703704,1,0.942472114725922,0.954700855405695,0.0926670982912058,0.0136914904036305,1.91105026455026,2
"2","fitms_0.060",2.73465582824694,2.8373291933111,0.260814239858157,0.906138102638103,1,0.129963900685758,0.109976446885335,0.0854469082586775,0.0902058032907847,0.866002645502645,1,0.182285406277224,0.97862962962963,1,0.077327749732013,0.976296296296296,1,0.93533505159996,0.948974713645723,0.13677083149498,0.0323657675377021,1.84229894179894,2
"3","fitms_0.100",2.73399970215029,2.83037794039581,0.261305310524079,0.905468056634723,1,0.129339380776196,0.109547916897334,0.0841080903414023,0.0937266462552033,0.862769841269841,1,0.182011069908569,0.980777777777778,1,0.0733379679662645,0.979166666666667,1,0.935482887820069,0.949145881094827,0.144093400966998,0.036267988925674,1.84193650793651,2
"4","fitms_0.030",2.73322506876794,2.83645729728956,0.260762175587681,0.905602829269496,1,0.130048903025267,0.110536835993969,0.0876215739162708,0.0900467030017872,0.865724867724868,1,0.182684626686525,0.978037037037037,1,0.0778470567385094,0.975277777777778,1,0.934939136605157,0.947982474128624,0.137554560352086,0.0331017100385896,1.84100264550265,2
"5","fitms_0.050",2.73322506876681,2.83645729728963,0.26076217557802,0.905602829269496,1,0.130048903025267,0.110536835995096,0.0876215739162715,0.090046702977148,0.865724867724868,1,0.182684626686525,0.978037037037037,1,0.0778470567385094,0.975277777777778,1,0.934939136604984,0.947982474128624,0.137554560346641,0.033101708027121,1.84100264550265,2
"6","fitms_0.200",2.73015256152384,2.83037794039579,0.268212457238148,0.903270137270137,1,0.133184743520985,0.111143734772453,0.0856190481011914,0.100774261245052,0.857462962962963,1,0.185330215970939,0.983833333333333,1,0.0698980267894202,0.98412962962963,1,0.934348134694063,0.948537689287295,0.156504744376304,0.0359381660519835,1.84159259259259,2
"7","fitms_0.001",2.72671889573861,2.83037794039581,0.264259685300106,0.903168485835153,1,0.131358913738239,0.112820786801072,0.0886767222834109,0.0912962717571587,0.864539682539682,1,0.183720367591965,0.975,1,0.0812152019927916,0.970203703703704,1,0.933624895428139,0.946515791603944,0.14228680437863,0.0363578571813531,1.83474338624339,2
"8","fitms_0.005",2.7267188956851,2.83037794039581,0.26425968525699,0.903168485835153,1,0.131358913738239,0.112820786854583,0.0886767222834945,0.0912962717311352,0.864539682539682,1,0.183720367591965,0.975,1,0.0812152019927916,0.970203703703704,1,0.933624895400985,0.946515791603965,0.14228680437997,0.0363578571813533,1.83474338624339,2
"9","fitms_0.010",2.72639666684994,2.83037794039581,0.264455842907677,0.903069720403054,1,0.131403071374642,0.112920793467517,0.0887180951300507,0.0912807564682853,0.864539682539682,1,0.183720367591965,0.974777777777778,1,0.0814200835706497,0.969833333333333,1,0.93358446007118,0.946422722291832,0.142417196310605,0.0365603281636438,1.83437301587302,2
"10","musical",2.68462286012994,2.71962290574495,0.262556863462577,0.91611848645182,0.923076923076923,0.10196936885156,0.168057034049953,0.138392044204159,0.125571984716719,0.965277777777778,1,0.0964640736790855,0.887402116402116,1,0.144336436404349,0.847306878306878,1,0.896992504579089,0.916754947619833,0.119209835589887,0.0492880104593965,1.81258465608466,1.85714285714286
"11","msa_default",2.65073479369781,2.72270319530671,0.311474206383922,0.906129234962568,1,0.117816870314848,0.18409986238685,0.148523838453972,0.148850651260122,0.932108465608466,1,0.13014209370958,0.902726190476191,1,0.148599652365551,0.868484126984127,1,0.887710377771261,0.909008765764185,0.18004560088815,0.064261688266963,1.80059259259259,2
"12","mp",2.59640678018254,2.62862564528668,0.32814051949422,0.874245205411872,0.888888888888889,0.14243117982044,0.194828669552905,0.156165391679302,0.150777819868123,0.830880952380952,1,0.198136145190126,0.960354497354497,1,0.10128445855401,0.94837037037037,1,0.879330132014874,0.900852145528678,0.291893225603396,0.148278091091135,1.77925132275132,1.8
"13","yapsa",2.58104734864399,2.61616884135478,0.342987744414362,0.864475216141883,0.888888888888889,0.147256494489763,0.19304788945125,0.153207594913686,0.150855902133842,0.821150793650794,0.833333333333333,0.202352654879751,0.952944444444444,1,0.111922048437569,0.945007936507936,1,0.883329041697464,0.903549135867581,0.268962241017072,0.168800797118138,1.76615873015873,1.8
"14","deconstruct",2.57691040383972,2.60671823409087,0.335454504486719,0.858553619220286,0.888888888888889,0.145907733333176,0.187385892456577,0.15018039466272,0.147813584960175,0.817373015873016,0.8,0.202822057713802,0.94692328042328,1,0.117774219901766,0.936992063492064,1,0.889769275022876,0.910554870273626,0.280846063343001,0.1929634385016,1.75436507936508,1.8
"15","sigest",2.53387224466952,2.54398030643446,0.295359985444478,0.827967554050887,0.857142857142857,0.143712722007309,0.188696538399265,0.154269279493008,0.145517388781763,0.967970899470899,1,0.0949091512444968,0.754597883597884,0.75,0.203310924893153,0.578664021164021,0.6,0.894086714939085,0.914704501799472,0.20680654703636,0.107265682875936,1.54663492063492,1.5
"16","sigspack",2.53387224466952,2.54398030643446,0.295359985444478,0.827967554050887,0.857142857142857,0.143712722007309,0.188696538399265,0.154269279493008,0.145517388781763,0.967970899470899,1,0.0949091512444968,0.754597883597884,0.75,0.203310924893153,0.578664021164021,0.6,0.894086714939085,0.914704501799472,0.203864272062377,0.107456393961572,1.54663492063492,1.5
"17","mutsig",2.52313666352113,2.54225935079395,0.273225019354916,0.827790367040367,0.833333333333333,0.126717044532519,0.193582031364234,0.161655242737884,0.147250437923253,0.975322751322751,1,0.0803688844104361,0.74139594356261,0.75,0.180783279199016,0.582566137566138,0.6,0.88730954162689,0.90825192879912,0.159454586330287,0.0904273453713337,1.55788888888889,1.56071428571429
"18","sigpro",2.4605684485814,2.47965429050181,0.42351957432599,0.810354497354497,0.857142857142857,0.177812281622484,0.248153773640821,0.2,0.205255920442363,0.720611111111111,0.75,0.236017430204225,0.988111111111111,1,0.0693028119409612,0.989074074074074,1,0.85448991218288,0.881029288731807,0.522852709572577,0.422222907800593,1.70968518518519,1.75
"19","sigfit",2.38727195521074,2.38768934975712,0.175357968637713,0.674769585352919,0.666666666666667,0.138468672945176,0.138184393995608,0.121773249748681,0.090255841633987,1,1,0,0.525456349206349,0.5,0.15768081623276,0.0111111111111111,0,0.930088075785177,0.941083100303207,0.110421676145815,0.08879336396338,1.01111111111111,1
