Cancer type,Tool,Rank within cancer type,mean (Combined Score)
Breast-AdenoCA,sigfit,1,2.67756007138744
Breast-AdenoCA,FitMS,2,2.67542696768022
Breast-AdenoCA,MuSiCal,3,2.65942744943843
Breast-AdenoCA,PASA,4,2.65817253438384
Breast-AdenoCA,mutSig,5,2.63946538231525
Breast-AdenoCA,SigEstQP,6,2.62991297605341
Breast-AdenoCA,SigsPack,6,2.62991297605341
Breast-AdenoCA,MSA,8,2.59932050929414
Breast-AdenoCA,MutPat,9,2.54071119881302
Breast-AdenoCA,YAPSA,10,2.51054344768389
Breast-AdenoCA,DeconSig,11,2.34886108201483
Breast-AdenoCA,SigPro,12,2.00860654338232
ColoRect-AdenoCA,PASA,1,2.60696156863908
ColoRect-AdenoCA,FitMS,2,2.58362052408592
ColoRect-AdenoCA,MuSiCal,3,2.38317430606876
ColoRect-AdenoCA,MutPat,4,2.32119676632308
ColoRect-AdenoCA,YAPSA,5,2.26564232508643
ColoRect-AdenoCA,MSA,6,2.229029747856
ColoRect-AdenoCA,mutSig,7,2.22286174968161
ColoRect-AdenoCA,SigEstQP,8,2.21723277040731
ColoRect-AdenoCA,SigsPack,8,2.21723277040731
ColoRect-AdenoCA,sigfit,10,2.20109930837422
ColoRect-AdenoCA,DeconSig,11,2.15895618181768
ColoRect-AdenoCA,SigPro,12,2.13907204257138
Eso-AdenoCA,FitMS,1,2.51532509387147
Eso-AdenoCA,MuSiCal,2,2.47671024512121
Eso-AdenoCA,PASA,3,2.47261199067528
Eso-AdenoCA,mutSig,4,2.42278546661098
Eso-AdenoCA,SigEstQP,5,2.41655016256079
Eso-AdenoCA,SigsPack,6,2.41655016256078
Eso-AdenoCA,sigfit,7,2.38013355890963
Eso-AdenoCA,MSA,8,2.34851388919161
Eso-AdenoCA,MutPat,9,2.32234689001666
Eso-AdenoCA,YAPSA,10,2.28086627146583
Eso-AdenoCA,DeconSig,11,2.12771668962959
Eso-AdenoCA,SigPro,12,1.83398054102851
Kidney-RCC,PASA,1,2.87082197761104
Kidney-RCC,FitMS,2,2.81080235323632
Kidney-RCC,MuSiCal,3,2.6734436155155
Kidney-RCC,MutPat,4,2.6151390096034
Kidney-RCC,YAPSA,5,2.59257800533779
Kidney-RCC,MSA,6,2.54677500651978
Kidney-RCC,DeconSig,7,2.48945967540575
Kidney-RCC,SigPro,8,2.4566091480878
