Cancer type,Tool,Rank within cancer type,mean (Combined Score)
Breast-AdenoCA,PASA,1,2.73333818965919
Breast-AdenoCA,MuSiCal,2,2.72589358396422
Breast-AdenoCA,MSA,3,2.66350016731033
Breast-AdenoCA,SigPro,4,2.66035523218146
Breast-AdenoCA,FitMS,5,2.63551293972184
Breast-AdenoCA,MutPat,6,2.52597314090432
Breast-AdenoCA,SigEstQP,7,2.45793142096677
Breast-AdenoCA,SigsPack,7,2.45793142096677
Breast-AdenoCA,YAPSA,9,2.45131677281451
Breast-AdenoCA,mutSig,10,2.44591372099909
Breast-AdenoCA,DeconSig,11,2.40581451968012
Breast-AdenoCA,sigfit,12,2.21432680270347
Breast-AdenoCA,sigLASSO,13,2.16816401482167
ColoRect-AdenoCA,FitMS,1,2.8186780090048
ColoRect-AdenoCA,PASA,2,2.81377987443928
ColoRect-AdenoCA,MuSiCal,3,2.68654454878225
ColoRect-AdenoCA,SigPro,4,2.67097146996381
ColoRect-AdenoCA,YAPSA,5,2.65510362235098
ColoRect-AdenoCA,DeconSig,6,2.65228818046687
ColoRect-AdenoCA,MutPat,7,2.62355624403695
ColoRect-AdenoCA,MSA,8,2.54739448181592
ColoRect-AdenoCA,SigEstQP,9,2.38171420734891
ColoRect-AdenoCA,SigsPack,9,2.38171420734891
ColoRect-AdenoCA,mutSig,11,2.37720978064986
ColoRect-AdenoCA,sigLASSO,12,2.34890597977555
ColoRect-AdenoCA,sigfit,13,2.26868961376948
Eso-AdenoCA,PASA,1,2.69457962757379
Eso-AdenoCA,MuSiCal,2,2.66591303165954
Eso-AdenoCA,FitMS,3,2.56758597211169
Eso-AdenoCA,MSA,4,2.53222162560855
Eso-AdenoCA,SigEstQP,5,2.45268600705944
Eso-AdenoCA,SigsPack,5,2.45268600705944
Eso-AdenoCA,mutSig,7,2.45223228476322
Eso-AdenoCA,sigfit,8,2.42770404533489
Eso-AdenoCA,SigPro,9,2.42234626288834
Eso-AdenoCA,MutPat,10,2.41067503717861
Eso-AdenoCA,DeconSig,11,2.33959526292126
Eso-AdenoCA,YAPSA,12,2.32194690693202
Eso-AdenoCA,sigLASSO,13,2.19273159845167
Kidney-RCC,PASA,1,2.71981085615089
Kidney-RCC,MuSiCal,2,2.71304278201095
Kidney-RCC,FitMS,3,2.66561375946355
Kidney-RCC,MutPat,4,2.65735228122227
Kidney-RCC,MSA,5,2.58927488424034
Kidney-RCC,YAPSA,6,2.56526913284611
Kidney-RCC,DeconSig,7,2.54488002548284
Kidney-RCC,sigLASSO,8,2.38723060091618
Kidney-RCC,SigPro,9,2.33588782752901
Kidney-RCC,SigEstQP,10,2.31772798654778
Kidney-RCC,SigsPack,10,2.31772798654778
Kidney-RCC,mutSig,12,2.31237965183696
Kidney-RCC,sigfit,13,2.09486097592756
Liver-HCC,FitMS,1,2.53690453354797
Liver-HCC,PASA,2,2.53619395638502
Liver-HCC,MuSiCal,3,2.48614265040588
Liver-HCC,SigPro,4,2.48512361907121
Liver-HCC,MutPat,5,2.4836394192621
Liver-HCC,DeconSig,6,2.4392591724369
Liver-HCC,YAPSA,7,2.30006206967785
Liver-HCC,MSA,8,2.1986126629558
Liver-HCC,sigLASSO,9,2.1955815832759
Liver-HCC,mutSig,10,1.97521271781826
Liver-HCC,SigEstQP,11,1.97059097316525
Liver-HCC,SigsPack,11,1.97059097316525
Liver-HCC,sigfit,13,1.91373390084468
Lung-AdenoCA,MuSiCal,1,2.6123665469529
Lung-AdenoCA,SigPro,2,2.57607190960888
Lung-AdenoCA,PASA,3,2.51209494070264
Lung-AdenoCA,MSA,4,2.48719409331656
Lung-AdenoCA,FitMS,5,2.46548920856759
Lung-AdenoCA,MutPat,6,2.40508548979031
Lung-AdenoCA,SigEstQP,7,2.34707765573033
Lung-AdenoCA,SigsPack,7,2.34707765573033
Lung-AdenoCA,mutSig,9,2.34564910237253
Lung-AdenoCA,YAPSA,10,2.29449720870839
Lung-AdenoCA,DeconSig,11,2.28799675582317
Lung-AdenoCA,sigfit,12,2.22713228330721
Lung-AdenoCA,sigLASSO,13,2.17455702374373
Ovary-AdenoCA,MuSiCal,1,2.68205043323037
Ovary-AdenoCA,FitMS,2,2.62941177586535
Ovary-AdenoCA,PASA,3,2.61818163398198
Ovary-AdenoCA,MutPat,4,2.61352408202109
Ovary-AdenoCA,MSA,5,2.60156328765526
Ovary-AdenoCA,SigPro,6,2.57767052479621
Ovary-AdenoCA,YAPSA,7,2.40987279295754
Ovary-AdenoCA,DeconSig,8,2.40031731733554
Ovary-AdenoCA,SigEstQP,9,2.31806462993962
Ovary-AdenoCA,SigsPack,9,2.31806462993962
Ovary-AdenoCA,mutSig,11,2.31659137825489
Ovary-AdenoCA,sigLASSO,12,2.25682800757814
Ovary-AdenoCA,sigfit,13,2.17627453185717
Skin-Melanoma,PASA,1,2.58528728165628
Skin-Melanoma,MuSiCal,2,2.35617663118927
Skin-Melanoma,FitMS,3,2.2692557799037
Skin-Melanoma,sigfit,4,2.22923397971978
Skin-Melanoma,MSA,5,2.22876610092329
Skin-Melanoma,SigEstQP,6,2.18178534094962
Skin-Melanoma,SigsPack,6,2.18178534094962
Skin-Melanoma,mutSig,8,2.1446161557727
Skin-Melanoma,SigPro,9,2.0865385818791
Skin-Melanoma,YAPSA,10,2.05229399265971
Skin-Melanoma,DeconSig,11,2.04024066457536
Skin-Melanoma,MutPat,12,1.98642069664346
Skin-Melanoma,sigLASSO,13,1.90822105937438
Stomach-AdenoCA,MuSiCal,1,2.6214149537328
Stomach-AdenoCA,PASA,2,2.56989208427309
Stomach-AdenoCA,FitMS,3,2.5444418284809
Stomach-AdenoCA,MSA,4,2.52365485065485
Stomach-AdenoCA,MutPat,5,2.45451470183476
