"tool_name","cancer_type","cpu_seconds"
"deconstruct","Total all cancer types",19.6490000000004
"fitms_0.001","Total all cancer types",11.487
"fitms_0.005","Total all cancer types",11.606
"fitms_0.010","Total all cancer types",12.784
"fitms_0.030","Total all cancer types",15.473
"fitms_0.050","Total all cancer types",15.837
"fitms_0.060","Total all cancer types",15.805
"fitms_0.100","Total all cancer types",24.629
"fitms_0.200","Total all cancer types",25.852
"mp","Total all cancer types",13.381
"msa_default","Total all cancer types",480600
"musical","Total all cancer types",653.291999999998
"mutsig","Total all cancer types",6.20800000000018
"pasa","Total all cancer types",33458.676
"sigest","Total all cancer types",0.215000000000003
"sigfit","Total all cancer types",3120.575
"sigpro","Total all cancer types",384.759999999997
"sigspack","Total all cancer types",0.0799999999999947
"yapsa","Total all cancer types",0.228000000000975
